"","id","occult.prob","","","unicode","unicode"
"1","405","0.001444","222548.396907511","8180655.79304192","1.24.5.232","1.24.5.232"
"2","402","0.001389","222530.073585129","8180668.70953497","1.24.5.227","1.24.5.227"
"3","403","0.0013","222534.707552007","8180680.08601262","1.24.5.228","1.24.5.228"
"4","417","0.00127","222486.341236777","8180594.49784268","1.24.5.265","1.24.5.265"
"5","549","0.00126","222923.366350555","8180726.12170953","1.24.5.4","1.24.5.4"
"6","411","0.001244","222531.662224353","8180593.11003047","1.24.5.250","1.24.5.250"
"7","416","0.001244","222492.965796674","8180600.23699381","1.24.5.264","1.24.5.264"
"8","293","0.001237","222878.283246485","8180709.45506136","1.24.5.100","1.24.5.100"
"9","444","0.001234","222522.33851013","8180613.22682653","1.24.5.297","1.24.5.297"
"10","772","0.001231","222846.669631949","8180685.69368211","1.24.5.91","1.24.5.91"
"11","401","0.001225","222524.325170092","8180659.40163917","1.24.5.226","1.24.5.226"
"12","439","0.001211","222490.093579633","8180623.09093548","1.24.5.292","1.24.5.292"
"13","574","0.001202","222794.704309077","8180569.6883025","1.24.5.42D","1.24.5.42D"
"14","415","0.001194","222502.191272232","8180602.66207664","1.24.5.263","1.24.5.263"
"15","239","0.001175","222240.724761705","8180557.46231498","1.24.4.16","1.24.4.16"
"16","290","0.001167","222269.539851952","8180514.06638559","1.24.4.98","1.24.4.98"
"17","447","0.001157","222911.49447938","8180730.4729724","1.24.5.3","1.24.5.3"
"18","389","0.001147","222899.925149409","8180684.23965232","1.24.5.20","1.24.5.20"
"19","238","0.001131","222250.535797474","8180554.15460419","1.24.4.15","1.24.4.15"
"20","440","0.001129","222481.553765751","8180616.53765145","1.24.5.293","1.24.5.293"
"21","196","0.00111","222274.199916746","8180526.97362361","1.24.4.100","1.24.4.100"
"22","749","0.001085","222943.230195059","8180717.13908704","1.24.5.6","1.24.5.6"
"23","443","0.00108","222515.113718535","8180605.79571996","1.24.5.296","1.24.5.296"
"24","647","0.001077","222933.6913429","8180722.56227759","1.24.5.5","1.24.5.5"
"25","751","0.00106","222772.030457761","8180609.52820369","1.24.5.60A","1.24.5.60A"
"26","773","0.001058","222859.648011963","8180683.22250547","1.24.5.92","1.24.5.92"
"27","236","0.001055","222262.204865422","8180547.71486594","1.24.4.14","1.24.4.14"
"28","759","0.00105","222955.098852286","8180708.45367249","1.24.5.7","1.24.5.7"
"29","291","0.001036","222265.58502417","8180529.92465552","1.24.4.99","1.24.4.99"
"30","575","0.00103","222798.35105631","8180594.54821105","1.24.5.43","1.24.5.43"
"31","225","0.00102","222271.451311856","8180545.59691978","1.24.4.13","1.24.4.13"
"32","388","0.001017","222896.120285605","8180732.43508803","1.24.5.2","1.24.5.2"
"33","750","0.000986","222766.300997951","8180613.22736359","1.24.5.60","1.24.5.60"
"34","303","0.000963","222880.307754086","8180723.91399516","1.24.5.110","1.24.5.110"
"35","817","0.000919","223078.492924109","8180626.13210008","1.24.6.42","1.24.6.42"
"36","302","0.000913","222879.066354913","8180730.8000728","1.24.5.109","1.24.5.109"
"37","823","0.000909","223018.544203857","8180572.19840518","1.24.6.52","1.24.6.52"
"38","289","0.000879","222269.790273492","8180502.48464231","1.24.4.97","1.24.4.97"
"39","864","0.000878","223009.424895094","8180654.59204296","1.24.6.96","1.24.6.96"
"40","824","0.000873","223012.516520605","8180562.57260502","1.24.6.53","1.24.6.53"
"41","378","0.000865","222892.624111749","8180684.99200951","1.24.5.19","1.24.5.19"
"42","812","0.00079","223049.681058891","8180578.0456672","1.24.6.38","1.24.6.38"
"43","801","0.000783","223053.698562756","8180556.58505575","1.24.6.18","1.24.6.18"
"44","800","0.000776","223047.038532472","8180540.7678247","1.24.6.17","1.24.6.17"
"45","760","0.000738","222762.146088351","8180695.58841654","1.24.5.70","1.24.5.70"
"46","764","0.000682","222780.168818842","8180713.41520157","1.24.5.83","1.24.5.83"
"47","280","0.000656","222145.049903593","8180523.30305104","1.24.4.74","1.24.4.74"
"48","718","0.000635","222813.045047551","8180798.77385884","1.24.5.559","1.24.5.559"
"49","487","0.000633","222411.094092614","8180674.04328745","1.24.5.339A","1.24.5.339A"
"50","849","0.000633","223081.881974833","8180523.31007108","1.24.6.8","1.24.6.8"
"51","324","0.000629","222726.881844005","8180704.65339639","1.24.5.136","1.24.5.136"
"52","249","0.000626","222111.812354314","8180547.18381673","1.24.4.37","1.24.4.37"
"53","822","0.000607","222982.849996648","8180491.40161973","1.24.6.50","1.24.6.50"
"54","512","0.000606","222466.213840494","8180768.5671076","1.24.5.363","1.24.5.363"
"55","364","0.000601","222657.563641175","8180722.39677221","1.24.5.176","1.24.5.176"
"56","679","0.00059","222453.20674924","8180902.46180149","1.24.5.522","1.24.5.522"
"57","787","0.000588","222948.678571878","8180634.44146015","1.24.6.104","1.24.6.104"
"58","816","0.000588","223058.574270806","8180605.05673824","1.24.6.41","1.24.6.41"
