"","id","occult.prob","","","unicode","unicode"
"67","649","0.006182","222465.234537408","8181033.17554488","1.24.5.501","1.24.5.501"
"68","592","0.006146","222603.633210207","8180973.51330474","1.24.5.446","1.24.5.446"
"69","657","0.006108","222562.358439836","8181093.85004761","1.24.5.509","1.24.5.509"
"70","642","0.006105","222459.279433434","8180962.40677939","1.24.5.495","1.24.5.495"
"71","626","0.006096","222571.975069368","8181035.94144488","1.24.5.479","1.24.5.479"
"72","631","0.006095","222549.616774436","8181056.13674996","1.24.5.484","1.24.5.484"
"73","690","0.006047","222447.768109504","8181056.56291744","1.24.5.532","1.24.5.532"
"74","686","0.006045","222441.18544456","8181019.01278442","1.24.5.529","1.24.5.529"
"75","616","0.006043","222573.500828423","8181013.32379934","1.24.5.469","1.24.5.469"
"76","622","0.006042","222521.597762274","8181009.99644639","1.24.5.475","1.24.5.475"
"77","645","0.006032","222459.5680678","8180998.67571557","1.24.5.498","1.24.5.498"
"78","646","0.006008","222460.703350967","8181009.63076891","1.24.5.499","1.24.5.499"
"79","623","0.005984","222535.394809651","8181016.528604","1.24.5.476","1.24.5.476"
"80","591","0.005948","222608.893093374","8180965.02888755","1.24.5.445","1.24.5.445"
"81","693","0.005929","222486.39452917","8181077.16931548","1.24.5.535","1.24.5.535"
"82","656","0.005926","222550.632359182","8181088.23812529","1.24.5.508","1.24.5.508"
"83","685","0.00591","222440.040301008","8181002.00379954","1.24.5.528","1.24.5.528"
"84","561","0.005904","222635.058293449","8180970.68882507","1.24.5.419","1.24.5.419"
"85","654","0.005903","222527.896234038","8181073.93398926","1.24.5.506","1.24.5.506"
"86","634","0.005866","222515.233352364","8181038.24698594","1.24.5.487","1.24.5.487"
"87","691","0.005849","222459.06559365","8181064.17367454","1.24.5.533","1.24.5.533"
"88","612","0.005829","222544.044109937","8180961.38699172","1.24.5.465","1.24.5.465"
"89","562","0.005825","222639.364285796","8180962.58636904","1.24.5.420","1.24.5.420"
"90","651","0.005823","222489.424420044","8181051.43943532","1.24.5.503","1.24.5.503"
"91","627","0.005745","222577.886743288","8181040.53526492","1.24.5.480","1.24.5.480"
"92","666","0.005726","222330.472423755","8180829.15277978","1.24.5.510G","1.24.5.510G"
"93","704","0.005721","222590.884551336","8181097.84056738","1.24.5.545","1.24.5.545"
"94","594","0.005707","222570.31027798","8180978.90896529","1.24.5.448","1.24.5.448"
"95","684","0.005605","222437.204681577","8180986.89654126","1.24.5.527","1.24.5.527"
"96","700","0.005582","222564.878776199","8181143.01371694","1.24.5.541","1.24.5.541"
"97","590","0.005488","222617.666123502","8180949.76617648","1.24.5.444","1.24.5.444"
"98","614","0.005454","222597.645040363","8181027.82314348","1.24.5.467","1.24.5.467"
"99","609","0.005445","222507.095532556","8180949.19692273","1.24.5.462","1.24.5.462"
"100","625","0.005445","222560.13778899","8181031.50186949","1.24.5.478","1.24.5.478"
"101","702","0.005222","222575.146118666","8181118.74320545","1.24.5.543","1.24.5.543"
"102","605","0.005196","222469.457195893","8180941.62215641","1.24.5.459","1.24.5.459"
"103","608","0.005137","222494.211188532","8180946.9075871","1.24.5.461","1.24.5.461"
"104","563","0.005081","222642.106653961","8180954.58011215","1.24.5.421","1.24.5.421"
"105","681","0.005078","222445.384757242","8180931.61491334","1.24.5.524","1.24.5.524"
"106","610","0.005035","222521.985215311","8180954.69115995","1.24.5.463","1.24.5.463"
"107","607","0.004962","222480.379424479","8180941.6683152","1.24.5.460","1.24.5.460"
"108","595","0.004954","222582.785344643","8180954.97796621","1.24.5.449","1.24.5.449"
"109","604","0.004806","222462.208293511","8180938.22254727","1.24.5.458","1.24.5.458"
"110","707","0.004801","222669.483058314","8180958.70861071","1.24.5.548","1.24.5.548"
"111","589","0.004765","222621.168556448","8180939.660207","1.24.5.443","1.24.5.443"
"112","596","0.004696","222568.822570249","8180947.87232199","1.24.5.450","1.24.5.450"
"113","823","0.004511","223018.544203857","8180572.19840518","1.24.6.52","1.24.6.52"
"114","564","0.004467","222646.747068745","8180947.98127797","1.24.5.422","1.24.5.422"
"115","565","0.003915","222649.304715418","8180940.04573377","1.24.5.423","1.24.5.423"
"116","597","0.003618","222554.825427564","8180940.78062132","1.24.5.451","1.24.5.451"
"117","598","0.003246","222544.214369716","8180935.72669928","1.24.5.452","1.24.5.452"
"118","680","0.003208","222449.094204038","8180913.30294093","1.24.5.523","1.24.5.523"
"119","567","0.003025","222650.743376015","8180926.03981852","1.24.5.425","1.24.5.425"
"120","566","0.002771","222650.480078192","8180932.89858592","1.24.5.424","1.24.5.424"
"121","602","0.002766","222486.183907469","8180920.65588258","1.24.5.456","1.24.5.456"
"122","296","0.002709","222806.710370192","8180737.19465875","1.24.5.103","1.24.5.103"
"123","851","0.002706","223025.703388179","8180641.93688287","1.24.6.81","1.24.6.81"
"124","600","0.002635","222514.816126271","8180926.43514332","1.24.5.454","1.24.5.454"
"125","599","0.002561","222530.291638439","8180931.41313105","1.24.5.453","1.24.5.453"
"126","601","0.002534","222500.667505148","8180923.56815469","1.24.5.455","1.24.5.455"
"127","708","0.002529","222674.435321372","8180940.13464051","1.24.5.549","1.24.5.549"
"128","783","0.002507","222983.138931714","8180626.79319437","1.24.6.100","1.24.6.100"
"129","603","0.002498","222471.541449429","8180914.71964198","1.24.5.457","1.24.5.457"
"130","588","0.002444","222621.319130586","8180923.01891063","1.24.5.442","1.24.5.442"
"131","791","0.002256","222977.188164982","8180659.67217688","1.24.6.108","1.24.6.108"
"132","709","0.002095","222674.606339635","8180929.05796369","1.24.5.550","1.24.5.550"
"133","568","0.002054","222650.803673999","8180920.01005307","1.24.5.426","1.24.5.426"
"134","295","0.001831","222799.351182665","8180729.56705533","1.24.5.102","1.24.5.102"
"135","679","0.001774","222453.20674924","8180902.46180149","1.24.5.522","1.24.5.522"
"136","415","0.001664","222502.191272232","8180602.66207664","1.24.5.263","1.24.5.263"
"137","867","0.001637","222988.710309868","8180634.33579708","1.24.6.99","1.24.6.99"
"138","569","0.001579","222650.24292689","8180914.90801295","1.24.5.427","1.24.5.427"
"139","811","0.001567","223090.596157827","8180578.29442981","1.24.6.37","1.24.6.37"
"140","770","0.001505","222829.538999567","8180692.45564698","1.24.5.89","1.24.5.89"
"141","416","0.00135","222492.965796674","8180600.23699381","1.24.5.264","1.24.5.264"
"142","405","0.001326","222548.396907511","8180655.79304192","1.24.5.232","1.24.5.232"
"143","710","0.001173","222674.884528265","8180913.46141948","1.24.5.551","1.24.5.551"
"144","333","0.001125","222784.252503593","8180769.52189449","1.24.5.145","1.24.5.145"
"145","766","0.001105","222793.704104209","8180704.77228958","1.24.5.85","1.24.5.85"
"146","790","0.001061","222968.985523266","8180654.31603053","1.24.6.107","1.24.6.107"
"147","254","0.00105","222082.304136941","8180532.53505058","1.24.4.41","1.24.4.41"
"148","248","0.000964","222113.102394621","8180539.19435335","1.24.4.36","1.24.4.36"
"149","775","0.000956","222816.237302272","8180710.38102184","1.24.5.94","1.24.5.94"
"150","809","0.000798","223073.82727101","8180593.61532812","1.24.6.27","1.24.6.27"
"151","270","0.000713","222112.467410713","8180513.70632461","1.24.4.65","1.24.4.65"
"152","570","0.000708","222645.658445614","8180906.49322616","1.24.5.428","1.24.5.428"
"153","245","0.00069","222161.843800168","8180543.8176653","1.24.4.28","1.24.4.28"
"154","269","0.000682","222096.406769234","8180508.80128132","1.24.4.64","1.24.4.64"
"155","807","0.000668","223065.726191004","8180581.5877452","1.24.6.25","1.24.6.25"
"156","808","0.000654","223069.526997557","8180587.53411075","1.24.6.26","1.24.6.26"
"157","759","0.000633","222955.098852286","8180708.45367249","1.24.5.7","1.24.5.7"
"158","776","0.000628","222819.331430807","8180716.34826947","1.24.5.95","1.24.5.95"
"159","814","0.000623","223095.80949073","8180555.7451369","1.24.6.4","1.24.6.4"
"160","247","0.000605","222115.105373713","8180530.86081984","1.24.4.35","1.24.4.35"
"161","443","0.000578","222515.113718535","8180605.79571996","1.24.5.296","1.24.5.296"
"162","763","0.000578","222967.105228075","8180702.52838122","1.24.5.8","1.24.5.8"
"163","278","0.000577","222128.70341335","8180505.56030472","1.24.4.72","1.24.4.72"
"164","572","0.000576","222815.16779229","8180590.67460667","1.24.5.42B","1.24.5.42B"
"165","810","0.000569","223100.627789205","8180563.09756024","1.24.6.3","1.24.6.3"
"166","289","0.000552","222269.790273492","8180502.48464231","1.24.4.97","1.24.4.97"
"167","789","0.000545","222961.27178735","8180646.66843709","1.24.6.106","1.24.6.106"
"168","800","0.000539","223047.038532472","8180540.7678247","1.24.6.17","1.24.6.17"
"169","293","0.000526","222878.283246485","8180709.45506136","1.24.5.100","1.24.5.100"
"170","417","0.000523","222486.341236777","8180594.49784268","1.24.5.265","1.24.5.265"
"171","575","0.000519","222798.35105631","8180594.54821105","1.24.5.43","1.24.5.43"
"172","388","0.00051","222896.120285605","8180732.43508803","1.24.5.2","1.24.5.2"
"173","771","0.00051","222836.949074349","8180687.7028097","1.24.5.90","1.24.5.90"
"174","291","0.000508","222265.58502417","8180529.92465552","1.24.4.99","1.24.4.99"
"175","271","0.000496","222114.632477405","8180507.55965535","1.24.4.66","1.24.4.66"
"176","848","0.000493","222990.619002278","8180602.99179137","1.24.6.79","1.24.6.79"
"177","765","0.000487","222787.56623393","8180708.6511426","1.24.5.84","1.24.5.84"
"178","735","0.000484","222854.573393264","8180866.22378161","1.24.5.574","1.24.5.574"
"179","290","0.000483","222269.539851952","8180514.06638559","1.24.4.98","1.24.4.98"
"180","280","0.000481","222145.049903593","8180523.30305104","1.24.4.74","1.24.4.74"
"181","447","0.000476","222911.49447938","8180730.4729724","1.24.5.3","1.24.5.3"
"182","549","0.000466","222923.366350555","8180726.12170953","1.24.5.4","1.24.5.4"
"183","781","0.000454","223108.848226439","8180578.40324854","1.24.6.1","1.24.6.1"
"184","832","0.000453","223109.950412976","8180534.43200021","1.24.6.5A","1.24.6.5A"
"185","251","0.000443","222096.091510099","8180526.41277005","1.24.4.39","1.24.4.39"
"186","716","0.00044","222777.42114358","8180812.53938657","1.24.5.557","1.24.5.557"
"187","241","0.000438","222185.164787266","8180549.80930524","1.24.4.24","1.24.4.24"
"188","236","0.000432","222262.204865422","8180547.71486594","1.24.4.14","1.24.4.14"
"189","838","0.000428","222975.441768343","8180550.76810344","1.24.6.64","1.24.6.64"
"190","196","0.000424","222274.199916746","8180526.97362361","1.24.4.100","1.24.4.100"
"191","209","0.000424","222339.877856268","8180505.68554788","1.24.4.111B","1.24.4.111B"
"192","571","0.000422","222645.031238391","8180900.40812743","1.24.5.429","1.24.5.429"
"193","259","0.000419","222049.002929912","8180503.54833113","1.24.4.46","1.24.4.46"
"194","378","0.000416","222892.624111749","8180684.99200951","1.24.5.19","1.24.5.19"
"195","821","0.000414","223109.608594988","8180537.08853381","1.24.6.5","1.24.6.5"
