"","id","occult.prob","","","unicode","unicode"
"1","304","0.994879","222802.851159012","8180756.37619117","1.24.5.111","1.24.5.111"
"2","245","0.98855","222161.843800168","8180543.8176653","1.24.4.28","1.24.4.28"
"3","572","0.985463","222815.16779229","8180590.67460667","1.24.5.42B","1.24.5.42B"
"4","864","0.917781","223009.424895094","8180654.59204296","1.24.6.96","1.24.6.96"
"5","806","0.784527","223084.107237122","8180567.21656919","1.24.6.24","1.24.6.24"
"6","809","0.200994","223073.82727101","8180593.61532812","1.24.6.27","1.24.6.27"
"7","447","0.062321","222911.49447938","8180730.4729724","1.24.5.3","1.24.5.3"
"8","292","0.026941","222982.902734625","8180692.21904797","1.24.5.1","1.24.5.1"
"9","802","0.022428","223074.824230651","8180538.76762766","1.24.6.19","1.24.6.19"
"10","800","0.020966","223047.038532472","8180540.7678247","1.24.6.17","1.24.6.17"
"11","491","0.019276","221885.529971017","8180710.06838701","1.24.5.343","1.24.5.343"
"12","790","0.017099","222968.985523266","8180654.31603053","1.24.6.107","1.24.6.107"
"13","627","0.011106","222577.886743288","8181040.53526492","1.24.5.480","1.24.5.480"
"14","555","0.008364","222588.354867051","8180991.04890484","1.24.5.413","1.24.5.413"
"15","644","0.008057","222457.079239776","8180988.43411795","1.24.5.497","1.24.5.497"
"16","650","0.007554","222474.647619908","8181043.72421395","1.24.5.502","1.24.5.502"
"17","621","0.007548","222509.397555268","8180985.71981248","1.24.5.474","1.24.5.474"
"18","615","0.007429","222586.322606641","8181019.65736841","1.24.5.468","1.24.5.468"
"19","695","0.007309","222524.399696479","8181096.39345319","1.24.5.537","1.24.5.537"
"20","866","0.0073","222996.160110197","8180641.39864697","1.24.6.98","1.24.6.98"
"21","626","0.007293","222571.975069368","8181035.94144488","1.24.5.479","1.24.5.479"
"22","690","0.007284","222447.768109504","8181056.56291744","1.24.5.532","1.24.5.532"
"23","628","0.007172","222587.057836883","8181043.79893994","1.24.5.481","1.24.5.481"
"24","622","0.00717","222521.597762274","8181009.99644639","1.24.5.475","1.24.5.475"
"25","640","0.007152","222486.531915983","8180967.53163014","1.24.5.493","1.24.5.493"
"26","686","0.007136","222441.18544456","8181019.01278442","1.24.5.529","1.24.5.529"
"27","656","0.007116","222550.632359182","8181088.23812529","1.24.5.508","1.24.5.508"
"28","688","0.007114","222443.482626959","8181031.11224594","1.24.5.530","1.24.5.530"
"29","691","0.007103","222459.06559365","8181064.17367454","1.24.5.533","1.24.5.533"
"30","649","0.007086","222465.234537408","8181033.17554488","1.24.5.501","1.24.5.501"
"31","636","0.007047","222493.663673396","8181015.16996987","1.24.5.489","1.24.5.489"
"32","613","0.006955","222557.417345126","8180968.71430042","1.24.5.466","1.24.5.466"
"33","594","0.00689","222570.31027798","8180978.90896529","1.24.5.448","1.24.5.448"
"34","617","0.006853","222563.062680145","8181006.70191314","1.24.5.470","1.24.5.470"
"35","642","0.006853","222459.279433434","8180962.40677939","1.24.5.495","1.24.5.495"
"36","556","0.006851","222596.188540705","8180994.60103351","1.24.5.414","1.24.5.414"
"37","559","0.006837","222623.053102192","8180992.2362511","1.24.5.417","1.24.5.417"
"38","704","0.006811","222590.884551336","8181097.84056738","1.24.5.545","1.24.5.545"
"39","620","0.006804","222529.552538247","8180987.88878199","1.24.5.473","1.24.5.473"
"40","618","0.006797","222551.840634671","8181001.03998078","1.24.5.471","1.24.5.471"
"41","635","0.006795","222502.229659302","8181028.52037801","1.24.5.488","1.24.5.488"
"42","653","0.006775","222516.161598485","8181067.40838405","1.24.5.505","1.24.5.505"
"43","702","0.006771","222575.146118666","8181118.74320545","1.24.5.543","1.24.5.543"
"44","641","0.006743","222471.625588978","8180964.4146034","1.24.5.494","1.24.5.494"
"45","629","0.006685","222574.107692079","8181071.68588954","1.24.5.482","1.24.5.482"
"46","648","0.006671","222463.923930175","8181023.38980139","1.24.5.500","1.24.5.500"
"47","693","0.006668","222486.39452917","8181077.16931548","1.24.5.535","1.24.5.535"
"48","694","0.006667","222503.978293319","8181086.5018436","1.24.5.536","1.24.5.536"
"49","651","0.006613","222489.424420044","8181051.43943532","1.24.5.503","1.24.5.503"
"50","699","0.006611","222483.856617827","8181114.1028843","1.24.5.540","1.24.5.540"
"51","700","0.006596","222564.878776199","8181143.01371694","1.24.5.541","1.24.5.541"
"52","697","0.006584","222515.230991502","8181115.1635293","1.24.5.539","1.24.5.539"
"53","657","0.006572","222562.358439836","8181093.85004761","1.24.5.509","1.24.5.509"
"54","616","0.006569","222573.500828423","8181013.32379934","1.24.5.469","1.24.5.469"
"55","631","0.006552","222549.616774436","8181056.13674996","1.24.5.484","1.24.5.484"
"56","625","0.006538","222560.13778899","8181031.50186949","1.24.5.478","1.24.5.478"
"57","683","0.006538","222436.938535667","8180971.42586142","1.24.5.526","1.24.5.526"
"58","643","0.006495","222456.366658782","8180973.93991288","1.24.5.496","1.24.5.496"
"59","557","0.00648","222606.343250786","8181001.07531117","1.24.5.415","1.24.5.415"
"60","592","0.006458","222603.633210207","8180973.51330474","1.24.5.446","1.24.5.446"
"61","705","0.006453","222598.709133558","8181084.28869131","1.24.5.546","1.24.5.546"
"62","630","0.006435","222557.903288624","8181062.3755601","1.24.5.483","1.24.5.483"
"63","623","0.006422","222535.394809651","8181016.528604","1.24.5.476","1.24.5.476"
"64","682","0.00642","222441.892017243","8180954.02127379","1.24.5.525","1.24.5.525"
"65","593","0.006416","222598.926097657","8180982.30933445","1.24.5.447","1.24.5.447"
"66","655","0.006405","222542.429617021","8181079.88538059","1.24.5.507","1.24.5.507"
"67","685","0.006393","222440.040301008","8181002.00379954","1.24.5.528","1.24.5.528"
"68","638","0.006385","222487.710276027","8180990.5272871","1.24.5.491","1.24.5.491"
"69","611","0.006374","222536.328484681","8180957.21514189","1.24.5.464","1.24.5.464"
"70","637","0.006373","222490.729051554","8181000.94510696","1.24.5.490","1.24.5.490"
"71","701","0.006373","222569.878869659","8181126.2165307","1.24.5.542","1.24.5.542"
"72","558","0.006353","222615.880428529","8181003.6250159","1.24.5.416","1.24.5.416"
"73","632","0.006333","222540.144282259","8181049.9624361","1.24.5.485","1.24.5.485"
"74","610","0.006324","222521.985215311","8180954.69115995","1.24.5.463","1.24.5.463"
"75","646","0.006317","222460.703350967","8181009.63076891","1.24.5.499","1.24.5.499"
"76","624","0.006314","222548.108624685","8181022.4477751","1.24.5.477","1.24.5.477"
"77","692","0.006271","222470.02747385","8181070.45684887","1.24.5.534","1.24.5.534"
"78","684","0.006252","222437.204681577","8180986.89654126","1.24.5.527","1.24.5.527"
"79","703","0.006216","222584.839993887","8181103.59640714","1.24.5.544","1.24.5.544"
"80","696","0.006207","222540.75364056","8181106.37677028","1.24.5.538","1.24.5.538"
"81","639","0.0062","222486.170185044","8180980.30341589","1.24.5.492","1.24.5.492"
"82","614","0.006156","222597.645040363","8181027.82314348","1.24.5.467","1.24.5.467"
"83","612","0.006092","222544.044109937","8180961.38699172","1.24.5.465","1.24.5.465"
"84","619","0.006086","222541.943086365","8180993.5147945","1.24.5.472","1.24.5.472"
"85","654","0.006065","222527.896234038","8181073.93398926","1.24.5.506","1.24.5.506"
"86","605","0.006022","222469.457195893","8180941.62215641","1.24.5.459","1.24.5.459"
"87","591","0.005936","222608.893093374","8180965.02888755","1.24.5.445","1.24.5.445"
"88","652","0.005906","222503.074963627","8181059.06266855","1.24.5.504","1.24.5.504"
"89","689","0.005893","222443.584939008","8181044.27977686","1.24.5.531","1.24.5.531"
"90","645","0.005873","222459.5680678","8180998.67571557","1.24.5.498","1.24.5.498"
"91","595","0.005836","222582.785344643","8180954.97796621","1.24.5.449","1.24.5.449"
"92","666","0.005824","222330.472423755","8180829.15277978","1.24.5.510G","1.24.5.510G"
"93","634","0.005764","222515.233352364","8181038.24698594","1.24.5.487","1.24.5.487"
"94","607","0.005702","222480.379424479","8180941.6683152","1.24.5.460","1.24.5.460"
"95","633","0.005666","222532.027435385","8181046.15750281","1.24.5.486","1.24.5.486"
"96","608","0.005626","222494.211188532","8180946.9075871","1.24.5.461","1.24.5.461"
"97","560","0.005595","222630.148514343","8180979.62288938","1.24.5.418","1.24.5.418"
"98","604","0.005561","222462.208293511","8180938.22254727","1.24.5.458","1.24.5.458"
"99","681","0.005528","222445.384757242","8180931.61491334","1.24.5.524","1.24.5.524"
"100","596","0.005341","222568.822570249","8180947.87232199","1.24.5.450","1.24.5.450"
"101","609","0.005341","222507.095532556","8180949.19692273","1.24.5.462","1.24.5.462"
"102","561","0.004967","222635.058293449","8180970.68882507","1.24.5.419","1.24.5.419"
"103","597","0.00464","222554.825427564","8180940.78062132","1.24.5.451","1.24.5.451"
"104","286","0.00418","222164.82109368","8180524.62038585","1.24.4.82","1.24.4.82"
