"bandit.run","site_num","arm","arm_name","chiris","reward","total_reward","tiabaya_1","tiabaya_3","tiabaya_2"
2,1,1,"tiabaya_1",0,0,0,0.0197505780155138,0,0.109684061403314
2,2,1,"tiabaya_1",0,0,0,0.0197505780155138,0,0.109684061403314
2,3,1,"tiabaya_1",1,0.301029995663981,0.301029995663981,0.0197505780155138,0,0.109684061403314
2,4,1,"tiabaya_1",0,0,0.301029995663981,0.0197505780155138,0,0.109684061403314
2,5,1,"tiabaya_1",0,0,0.301029995663981,0.0197505780155138,0,0.109684061403314
2,6,1,"tiabaya_1",0,0,0.301029995663981,0.0197505780155138,0,0.109684061403314
2,7,1,"tiabaya_1",0,0,0.301029995663981,0.0197505780155138,0,0.109684061403314
3,8,3,"tiabaya_2",1,0.301029995663981,0.602059991327962,0.0197505780155138,0,0.109684061403314
3,9,3,"tiabaya_2",2,0.477121254719662,1.07918124604762,0.0197505780155138,0,0.109684061403314
3,10,3,"tiabaya_2",2,0.477121254719662,1.55630250076729,0.0197505780155138,0,0.109684061403314
