"","0.03","0.02","0.02"
"1",188,93,119
"2",214,151,35
"3",44,37,319
"4",51,283,66
"5",235,95,70
"6",344,21,35
"7",343,25,32
"8",197,55,148
"9",62,275,63
"10",320,33,47
