"","T","ChosenArm","Reward","CumulativeReward"
"1",1,1,0,0
"2",2,1,0,0
"3",3,1,0,0
"4",4,1,0,0
"5",5,2,0,0
"6",6,1,0,0
"7",7,2,0,0
"8",8,2,0,0
"9",9,2,0,0
"10",10,1,0,0
"11",11,2,0,0
"12",12,1,0,0
"13",13,1,0,0
"14",14,1,1,1
"15",15,1,0,1
"16",16,1,0,1
"17",17,1,0,1
"18",18,1,0,1
"19",19,1,0,1
"20",20,1,0,1
"21",21,1,0,1
"22",22,1,0,1
"23",23,1,0,1
"24",24,2,0,1
"25",25,1,0,1
"26",26,2,0,1
"27",27,1,0,1
"28",28,1,0,1
"29",29,1,0,1
"30",30,1,0,1
"31",31,1,0,1
"32",32,2,0,1
"33",33,2,0,1
"34",34,2,0,1
"35",35,2,0,1
"36",36,2,0,1
"37",37,1,1,2
"38",38,2,0,2
"39",39,1,0,2
"40",40,1,0,2
"41",41,2,0,2
"42",42,2,0,2
"43",43,2,0,2
"44",44,1,0,2
"45",45,1,0,2
"46",46,1,0,2
"47",47,1,0,2
"48",48,2,0,2
"49",49,1,0,2
"50",50,1,0,2
"51",51,1,0,2
"52",52,1,0,2
"53",53,1,0,2
"54",54,2,0,2
"55",55,2,0,2
"56",56,2,1,3
"57",57,2,1,4
"58",58,2,1,5
"59",59,1,0,5
"60",60,2,0,5
"61",61,1,0,5
"62",62,1,0,5
"63",63,2,1,6
"64",64,1,0,6
"65",65,1,0,6
"66",66,2,1,7
"67",67,2,1,8
"68",68,2,1,9
"69",69,1,0,9
"70",70,2,0,9
"71",71,2,0,9
"72",72,2,1,10
"73",73,2,1,11
"74",74,2,1,12
"75",75,2,1,13
"76",76,2,1,14
"77",77,1,1,15
"78",78,2,1,16
"79",79,1,0,16
"80",80,1,0,16
"81",81,2,0,16
"82",82,1,0,16
"83",83,2,0,16
"84",84,1,0,16
"85",85,2,0,16
"86",86,2,0,16
"87",87,2,0,16
"88",88,2,0,16
"89",89,1,0,16
"90",90,2,0,16
"91",91,2,0,16
"92",92,2,0,16
"93",93,2,0,16
"94",94,2,1,17
"95",95,2,0,17
"96",96,1,0,17
"97",97,2,0,17
"98",98,2,1,18
"99",99,2,1,19
"100",100,2,0,19
