"","T","ChosenArm","Reward","CumulativeReward"
"1",1,1,0,0
"2",2,2,0,0
"3",3,2,0,0
"4",4,1,0,0
"5",5,1,0,0
"6",6,1,0,0
"7",7,1,0,0
"8",8,1,0,0
"9",9,1,0,0
"10",10,2,0,0
"11",11,2,0,0
"12",12,2,1,1
"13",13,1,0,1
"14",14,2,0,1
"15",15,1,0,1
"16",16,1,0,1
"17",17,1,0,1
"18",18,2,0,1
"19",19,1,0,1
"20",20,2,0,1
"21",21,2,0,1
"22",22,2,0,1
"23",23,2,0,1
"24",24,1,0,1
"25",25,1,0,1
"26",26,2,0,1
"27",27,2,0,1
"28",28,1,0,1
"29",29,1,0,1
"30",30,1,0,1
"31",31,1,0,1
"32",32,1,0,1
"33",33,1,0,1
"34",34,2,0,1
"35",35,1,0,1
"36",36,1,0,1
"37",37,1,0,1
"38",38,2,0,1
"39",39,1,0,1
"40",40,2,0,1
"41",41,2,0,1
"42",42,2,0,1
"43",43,1,0,1
"44",44,2,0,1
"45",45,2,0,1
"46",46,2,0,1
"47",47,2,0,1
"48",48,2,0,1
"49",49,2,0,1
"50",50,2,0,1
"51",51,1,0,1
"52",52,1,0,1
"53",53,1,0,1
"54",54,1,0,1
"55",55,2,0,1
"56",56,2,0,1
"57",57,1,0,1
"58",58,1,1,2
"59",59,1,0,2
"60",60,2,0,2
"61",61,1,0,2
"62",62,1,0,2
"63",63,1,0,2
"64",64,2,0,2
"65",65,2,0,2
"66",66,1,0,2
"67",67,1,0,2
"68",68,1,0,2
"69",69,1,0,2
"70",70,2,0,2
"71",71,2,0,2
"72",72,2,0,2
"73",73,1,0,2
"74",74,2,0,2
"75",75,2,0,2
"76",76,1,0,2
"77",77,1,0,2
"78",78,2,0,2
"79",79,2,0,2
"80",80,1,0,2
"81",81,2,0,2
"82",82,1,0,2
"83",83,2,0,2
"84",84,2,0,2
"85",85,1,0,2
"86",86,1,0,2
"87",87,1,0,2
"88",88,2,0,2
"89",89,2,0,2
"90",90,1,0,2
"91",91,2,0,2
"92",92,2,0,2
"93",93,2,0,2
"94",94,2,0,2
"95",95,2,0,2
"96",96,2,0,2
"97",97,2,0,2
"98",98,2,0,2
"99",99,2,0,2
"100",100,2,0,2
"101",101,2,0,2
"102",102,2,0,2
"103",103,2,0,2
"104",104,2,0,2
"105",105,1,0,2
"106",106,1,0,2
"107",107,1,0,2
"108",108,2,0,2
"109",109,1,0,2
"110",110,1,0,2
"111",111,2,0,2
"112",112,2,0,2
"113",113,2,1,3
"114",114,2,0,3
"115",115,2,0,3
"116",116,1,0,3
"117",117,2,0,3
"118",118,2,0,3
"119",119,1,0,3
"120",120,2,0,3
"121",121,1,0,3
"122",122,1,0,3
"123",123,2,0,3
"124",124,2,0,3
"125",125,1,0,3
"126",126,1,0,3
"127",127,1,0,3
"128",128,2,0,3
"129",129,2,0,3
"130",130,1,0,3
"131",131,1,0,3
"132",132,2,0,3
"133",133,1,0,3
"134",134,1,0,3
"135",135,2,0,3
"136",136,2,0,3
"137",137,1,0,3
"138",138,1,0,3
"139",139,2,0,3
"140",140,2,0,3
"141",141,1,0,3
"142",142,2,0,3
"143",143,2,0,3
"144",144,2,0,3
"145",145,1,0,3
"146",146,2,0,3
"147",147,1,0,3
"148",148,2,0,3
"149",149,2,0,3
"150",150,2,0,3
"151",151,2,0,3
"152",152,2,0,3
"153",153,2,0,3
"154",154,2,0,3
"155",155,1,0,3
"156",156,1,0,3
"157",157,2,0,3
"158",158,1,0,3
"159",159,1,0,3
"160",160,1,0,3
"161",161,2,0,3
"162",162,2,0,3
"163",163,1,0,3
"164",164,2,0,3
"165",165,2,0,3
"166",166,2,0,3
"167",167,1,0,3
"168",168,2,0,3
"169",169,2,0,3
"170",170,2,0,3
"171",171,2,0,3
"172",172,2,0,3
"173",173,2,0,3
"174",174,2,0,3
"175",175,1,0,3
"176",176,1,0,3
"177",177,2,0,3
"178",178,2,0,3
"179",179,1,0,3
"180",180,2,0,3
"181",181,2,0,3
"182",182,2,0,3
"183",183,2,0,3
"184",184,1,0,3
"185",185,2,0,3
"186",186,2,0,3
"187",187,2,0,3
"188",188,1,0,3
"189",189,1,0,3
"190",190,1,0,3
"191",191,1,0,3
"192",192,2,0,3
"193",193,2,0,3
"194",194,2,0,3
"195",195,2,0,3
"196",196,1,0,3
"197",197,2,0,3
"198",198,1,0,3
"199",199,1,0,3
"200",200,2,0,3
"201",201,1,0,3
"202",202,2,0,3
"203",203,2,0,3
"204",204,1,0,3
"205",205,1,0,3
"206",206,1,0,3
"207",207,2,0,3
"208",208,2,0,3
"209",209,1,0,3
"210",210,1,0,3
"211",211,1,0,3
"212",212,1,0,3
"213",213,2,0,3
"214",214,2,0,3
"215",215,2,0,3
"216",216,1,0,3
"217",217,2,0,3
"218",218,2,0,3
"219",219,2,0,3
"220",220,2,0,3
"221",221,2,0,3
"222",222,2,0,3
"223",223,1,0,3
"224",224,2,0,3
"225",225,2,0,3
"226",226,1,0,3
"227",227,2,0,3
"228",228,2,0,3
"229",229,2,0,3
"230",230,2,0,3
"231",231,1,0,3
"232",232,1,0,3
"233",233,2,0,3
"234",234,1,0,3
"235",235,2,0,3
"236",236,1,0,3
"237",237,2,0,3
"238",238,1,0,3
"239",239,1,0,3
"240",240,2,0,3
"241",241,2,0,3
"242",242,1,0,3
"243",243,1,0,3
"244",244,1,0,3
"245",245,1,0,3
"246",246,2,0,3
"247",247,2,0,3
"248",248,2,0,3
"249",249,1,0,3
"250",250,1,0,3
"251",251,2,0,3
"252",252,1,0,3
"253",253,1,0,3
"254",254,1,0,3
"255",255,2,0,3
"256",256,1,0,3
"257",257,1,0,3
"258",258,1,0,3
"259",259,1,0,3
"260",260,1,0,3
"261",261,2,0,3
"262",262,2,0,3
"263",263,2,0,3
"264",264,2,0,3
"265",265,2,0,3
"266",266,2,0,3
"267",267,2,0,3
"268",268,2,0,3
"269",269,1,0,3
"270",270,1,0,3
"271",271,1,0,3
"272",272,2,0,3
"273",273,2,0,3
"274",274,1,0,3
