"","T","ChosenArm","Reward","CumulativeReward"
"1",1,2,0,0
"2",2,1,0,0
"3",3,2,0,0
"4",4,2,0,0
"5",5,1,0,0
"6",6,1,0,0
"7",7,2,0,0
"8",8,1,0,0
"9",9,2,0,0
"10",10,2,0,0
"11",11,1,0,0
"12",12,1,0,0
"13",13,2,0,0
"14",14,2,0,0
"15",15,1,0,0
"16",16,2,0,0
"17",17,1,0,0
"18",18,1,0,0
"19",19,1,0,0
"20",20,2,0,0
"21",21,2,0,0
"22",22,2,0,0
"23",23,2,0,0
"24",24,2,0,0
"25",25,2,0,0
"26",26,1,0,0
"27",27,1,0,0
"28",28,1,0,0
"29",29,1,1,1
"30",30,1,0,1
"31",31,1,0,1
"32",32,1,0,1
"33",33,1,0,1
"34",34,1,0,1
"35",35,2,0,1
"36",36,2,0,1
"37",37,2,0,1
"38",38,1,0,1
"39",39,1,0,1
"40",40,2,0,1
"41",41,2,0,1
"42",42,2,0,1
"43",43,1,0,1
"44",44,2,0,1
"45",45,1,0,1
"46",46,1,0,1
"47",47,1,0,1
"48",48,2,0,1
"49",49,2,0,1
"50",50,2,1,2
"51",51,1,0,2
"52",52,1,0,2
"53",53,2,1,3
"54",54,2,0,3
"55",55,2,0,3
"56",56,1,1,4
"57",57,1,0,4
"58",58,1,0,4
"59",59,2,1,5
"60",60,1,0,5
"61",61,1,0,5
"62",62,2,1,6
"63",63,2,1,7
"64",64,1,1,8
"65",65,1,0,8
"66",66,2,1,9
"67",67,2,0,9
"68",68,2,0,9
"69",69,2,0,9
"70",70,2,0,9
"71",71,2,1,10
"72",72,2,1,11
"73",73,1,0,11
"74",74,2,0,11
"75",75,2,1,12
"76",76,2,1,13
"77",77,1,0,13
"78",78,2,1,14
"79",79,2,1,15
"80",80,1,0,15
"81",81,2,0,15
"82",82,1,0,15
"83",83,1,0,15
"84",84,2,0,15
"85",85,1,0,15
"86",86,2,0,15
"87",87,1,0,15
"88",88,2,0,15
"89",89,1,0,15
"90",90,1,0,15
"91",91,2,0,15
"92",92,2,1,16
"93",93,2,0,16
"94",94,1,0,16
"95",95,1,0,16
"96",96,2,0,16
"97",97,2,0,16
"98",98,1,0,16
"99",99,1,0,16
"100",100,2,0,16
