"","T","ChosenArm","Reward","CumulativeReward"
"1",1,2,0,0
"2",2,2,0,0
"3",3,1,0,0
"4",4,2,0,0
"5",5,1,0,0
"6",6,1,0,0
"7",7,1,0,0
"8",8,2,0,0
"9",9,2,0,0
"10",10,2,0,0
"11",11,2,0,0
"12",12,1,0,0
"13",13,2,0,0
"14",14,1,0,0
"15",15,2,1,1
"16",16,2,0,1
"17",17,2,0,1
"18",18,2,0,1
"19",19,2,0,1
"20",20,1,0,1
"21",21,1,0,1
"22",22,2,0,1
"23",23,1,0,1
"24",24,2,0,1
"25",25,1,0,1
"26",26,2,0,1
"27",27,2,0,1
"28",28,2,0,1
"29",29,2,0,1
"30",30,2,0,1
"31",31,2,0,1
"32",32,1,0,1
"33",33,2,0,1
"34",34,1,0,1
"35",35,2,0,1
"36",36,1,0,1
"37",37,1,0,1
"38",38,2,0,1
"39",39,2,0,1
"40",40,1,0,1
"41",41,1,0,1
"42",42,2,0,1
"43",43,2,0,1
"44",44,2,0,1
"45",45,2,0,1
"46",46,2,0,1
"47",47,1,0,1
"48",48,2,0,1
"49",49,1,0,1
"50",50,2,0,1
"51",51,2,0,1
"52",52,2,0,1
"53",53,2,0,1
"54",54,1,0,1
"55",55,1,0,1
"56",56,1,0,1
"57",57,1,0,1
"58",58,1,0,1
"59",59,2,0,1
"60",60,2,0,1
"61",61,1,0,1
"62",62,2,0,1
"63",63,2,0,1
"64",64,2,0,1
"65",65,1,0,1
"66",66,2,0,1
"67",67,1,0,1
"68",68,2,0,1
"69",69,2,1,2
"70",70,1,0,2
"71",71,1,1,3
"72",72,1,1,4
"73",73,1,1,5
"74",74,1,0,5
"75",75,2,1,6
"76",76,2,0,6
"77",77,2,0,6
"78",78,2,0,6
"79",79,1,1,7
"80",80,2,0,7
"81",81,1,1,8
"82",82,2,0,8
"83",83,2,0,8
"84",84,1,1,9
"85",85,1,1,10
"86",86,2,0,10
"87",87,1,1,11
"88",88,2,0,11
"89",89,2,0,11
"90",90,2,0,11
"91",91,1,1,12
"92",92,2,0,12
"93",93,1,1,13
"94",94,1,1,14
"95",95,1,0,14
"96",96,1,0,14
"97",97,1,0,14
"98",98,2,0,14
"99",99,1,1,15
"100",100,1,0,15
