"","0.05","0.01"
"1",367,33
"2",360,40
"3",364,36
"4",359,41
"5",368,32
"6",346,54
"7",342,58
"8",212,188
"9",355,45
"10",297,103
"11",364,36
"12",368,32
"13",219,181
"14",318,82
"15",358,42
"16",365,35
"17",369,31
"18",321,79
"19",353,47
"20",304,96
"21",346,54
"22",353,47
"23",350,50
"24",361,39
"25",332,68
"26",365,35
"27",344,56
"28",317,83
"29",362,38
"30",359,41
