"","T","ChosenArm","Reward","CumulativeReward"
"1",1,2,0,0
"2",2,2,1,1
"3",3,2,0,1
"4",4,1,0,1
"5",5,1,0,1
"6",6,2,0,1
"7",7,1,0,1
"8",8,2,0,1
"9",9,1,0,1
"10",10,1,0,1
"11",11,2,0,1
"12",12,1,0,1
"13",13,1,0,1
"14",14,1,0,1
"15",15,1,0,1
"16",16,2,0,1
"17",17,2,0,1
"18",18,2,0,1
"19",19,2,0,1
"20",20,2,0,1
"21",21,1,0,1
"22",22,2,0,1
"23",23,2,0,1
"24",24,1,0,1
"25",25,2,0,1
"26",26,1,0,1
"27",27,2,0,1
"28",28,2,0,1
"29",29,1,0,1
"30",30,1,0,1
"31",31,1,0,1
"32",32,2,0,1
"33",33,1,0,1
"34",34,1,0,1
"35",35,1,0,1
"36",36,1,1,2
"37",37,2,0,2
"38",38,1,0,2
"39",39,2,0,2
"40",40,1,0,2
"41",41,2,0,2
"42",42,2,0,2
"43",43,1,1,3
"44",44,1,1,4
"45",45,1,1,5
"46",46,1,1,6
"47",47,2,0,6
"48",48,2,0,6
"49",49,2,1,7
"50",50,1,1,8
"51",51,1,1,9
"52",52,2,0,9
"53",53,1,0,9
"54",54,1,0,9
"55",55,1,0,9
"56",56,1,1,10
"57",57,1,1,11
"58",58,2,0,11
"59",59,1,0,11
"60",60,1,0,11
"61",61,1,0,11
"62",62,2,1,12
"63",63,1,1,13
"64",64,1,0,13
"65",65,1,1,14
"66",66,2,0,14
"67",67,1,1,15
"68",68,1,1,16
"69",69,2,0,16
"70",70,2,0,16
"71",71,1,1,17
"72",72,2,0,17
"73",73,1,0,17
"74",74,1,1,18
"75",75,1,1,19
"76",76,1,1,20
"77",77,1,1,21
"78",78,2,1,22
"79",79,1,1,23
"80",80,1,0,23
"81",81,1,1,24
"82",82,1,1,25
"83",83,2,0,25
"84",84,1,1,26
"85",85,2,0,26
"86",86,1,1,27
"87",87,1,1,28
"88",88,1,0,28
"89",89,1,0,28
"90",90,2,0,28
"91",91,1,1,29
"92",92,1,0,29
"93",93,1,0,29
"94",94,2,0,29
"95",95,1,0,29
"96",96,1,0,29
"97",97,1,0,29
"98",98,1,0,29
"99",99,1,0,29
"100",100,1,0,29
