"","T","ChosenArm","Reward","CumulativeReward"
"1",1,2,1,1
"2",2,2,1,2
"3",3,1,1,3
"4",4,1,1,4
"5",5,2,0,4
"6",6,2,1,5
"7",7,2,1,6
"8",8,1,0,6
"9",9,2,1,7
"10",10,1,1,8
"11",11,1,0,8
"12",12,2,0,8
"13",13,2,1,9
"14",14,1,1,10
"15",15,1,1,11
"16",16,1,1,12
"17",17,2,1,13
"18",18,1,0,13
"19",19,2,0,13
"20",20,2,1,14
"21",21,2,0,14
"22",22,1,1,15
"23",23,2,0,15
"24",24,2,1,16
"25",25,1,1,17
"26",26,1,0,17
"27",27,2,0,17
"28",28,2,1,18
"29",29,2,1,19
"30",30,1,0,19
"31",31,2,1,20
"32",32,2,1,21
"33",33,1,1,22
"34",34,1,0,22
"35",35,1,1,23
"36",36,1,0,23
"37",37,1,1,24
"38",38,1,0,24
"39",39,1,1,25
"40",40,2,0,25
"41",41,2,0,25
"42",42,2,1,26
"43",43,2,0,26
"44",44,2,1,27
"45",45,2,0,27
"46",46,1,0,27
"47",47,2,0,27
"48",48,2,1,28
"49",49,2,0,28
"50",50,2,0,28
"51",51,2,0,28
"52",52,1,1,29
"53",53,2,1,30
"54",54,2,1,31
"55",55,2,0,31
"56",56,1,0,31
"57",57,2,1,32
"58",58,1,0,32
"59",59,1,0,32
"60",60,2,0,32
"61",61,2,0,32
"62",62,2,1,33
"63",63,1,1,34
"64",64,2,1,35
"65",65,1,0,35
"66",66,2,0,35
"67",67,2,1,36
"68",68,1,0,36
"69",69,1,0,36
"70",70,2,0,36
"71",71,2,1,37
"72",72,2,1,38
"73",73,1,1,39
"74",74,1,0,39
"75",75,2,0,39
"76",76,1,0,39
"77",77,2,0,39
"78",78,1,0,39
"79",79,1,0,39
"80",80,2,0,39
"81",81,1,1,40
"82",82,1,1,41
"83",83,1,0,41
"84",84,1,0,41
"85",85,2,0,41
"86",86,2,1,42
"87",87,2,0,42
"88",88,2,1,43
"89",89,1,0,43
"90",90,2,1,44
"91",91,2,1,45
"92",92,2,1,46
"93",93,2,0,46
"94",94,1,0,46
"95",95,2,0,46
"96",96,1,1,47
"97",97,2,0,47
"98",98,2,0,47
"99",99,2,0,47
"100",100,2,0,47
"101",101,2,1,48
"102",102,1,0,48
"103",103,2,0,48
"104",104,2,1,49
"105",105,1,1,50
"106",106,2,0,50
"107",107,1,1,51
"108",108,2,1,52
"109",109,2,0,52
"110",110,2,1,53
"111",111,1,0,53
"112",112,2,0,53
"113",113,2,0,53
"114",114,1,0,53
"115",115,2,0,53
"116",116,2,0,53
"117",117,2,1,54
"118",118,2,0,54
"119",119,2,0,54
"120",120,1,1,55
"121",121,2,0,55
"122",122,1,1,56
"123",123,2,0,56
"124",124,2,0,56
"125",125,2,1,57
"126",126,1,0,57
"127",127,2,0,57
"128",128,2,0,57
"129",129,2,1,58
"130",130,1,1,59
"131",131,2,0,59
"132",132,1,0,59
"133",133,2,0,59
"134",134,2,0,59
"135",135,1,0,59
"136",136,2,0,59
"137",137,2,1,60
"138",138,2,0,60
"139",139,1,1,61
"140",140,2,0,61
"141",141,2,0,61
"142",142,1,0,61
"143",143,1,0,61
"144",144,2,0,61
"145",145,2,0,61
