"","T","ChosenArm","Reward","CumulativeReward"
"1",1,1,0,0
"2",2,1,0,0
"3",3,1,0,0
"4",4,1,0,0
"5",5,2,0,0
"6",6,1,0,0
"7",7,1,0,0
"8",8,2,0,0
"9",9,2,0,0
"10",10,1,0,0
"11",11,2,0,0
"12",12,2,0,0
"13",13,1,0,0
"14",14,1,0,0
"15",15,1,0,0
"16",16,1,0,0
"17",17,2,0,0
"18",18,2,0,0
"19",19,1,0,0
"20",20,1,0,0
"21",21,1,0,0
"22",22,2,0,0
"23",23,2,0,0
"24",24,1,0,0
"25",25,2,0,0
"26",26,1,0,0
"27",27,2,0,0
"28",28,2,0,0
"29",29,2,0,0
"30",30,2,0,0
"31",31,2,0,0
"32",32,1,0,0
"33",33,1,0,0
"34",34,1,0,0
"35",35,2,0,0
"36",36,2,0,0
"37",37,1,0,0
"38",38,1,0,0
"39",39,1,0,0
"40",40,1,0,0
"41",41,1,0,0
"42",42,1,0,0
"43",43,1,0,0
"44",44,1,0,0
"45",45,2,0,0
"46",46,2,0,0
"47",47,2,0,0
"48",48,2,0,0
"49",49,1,0,0
"50",50,1,0,0
"51",51,2,0,0
"52",52,2,0,0
"53",53,1,0,0
"54",54,1,1,1
"55",55,1,0,1
"56",56,1,0,1
"57",57,1,0,1
"58",58,2,0,1
"59",59,1,0,1
"60",60,2,0,1
"61",61,2,0,1
"62",62,1,0,1
"63",63,2,0,1
"64",64,2,0,1
"65",65,2,0,1
"66",66,2,0,1
"67",67,2,0,1
"68",68,1,0,1
"69",69,2,0,1
"70",70,1,0,1
"71",71,1,0,1
"72",72,1,0,1
"73",73,2,0,1
"74",74,2,0,1
"75",75,2,0,1
"76",76,2,0,1
"77",77,1,0,1
"78",78,2,0,1
"79",79,1,0,1
"80",80,1,0,1
"81",81,2,0,1
"82",82,2,0,1
"83",83,2,0,1
"84",84,2,0,1
"85",85,1,0,1
"86",86,1,0,1
"87",87,2,0,1
"88",88,1,0,1
"89",89,1,0,1
"90",90,2,0,1
"91",91,2,1,2
"92",92,2,0,2
"93",93,1,0,2
"94",94,2,0,2
"95",95,2,0,2
"96",96,1,0,2
"97",97,2,0,2
"98",98,1,0,2
"99",99,1,0,2
"100",100,2,0,2
"101",101,1,0,2
"102",102,1,0,2
"103",103,2,0,2
"104",104,2,0,2
"105",105,1,0,2
"106",106,2,0,2
"107",107,1,0,2
"108",108,1,0,2
"109",109,2,0,2
"110",110,2,0,2
"111",111,1,0,2
"112",112,1,0,2
"113",113,2,0,2
"114",114,1,0,2
"115",115,2,0,2
"116",116,1,0,2
"117",117,1,0,2
"118",118,1,0,2
"119",119,2,0,2
"120",120,2,0,2
"121",121,1,0,2
"122",122,2,0,2
"123",123,2,0,2
"124",124,2,0,2
"125",125,2,0,2
"126",126,2,0,2
"127",127,2,0,2
"128",128,2,0,2
"129",129,2,0,2
"130",130,2,0,2
"131",131,1,0,2
"132",132,1,0,2
"133",133,1,0,2
"134",134,2,0,2
"135",135,2,0,2
"136",136,1,0,2
"137",137,1,0,2
"138",138,2,0,2
"139",139,1,0,2
"140",140,2,0,2
"141",141,2,0,2
"142",142,2,0,2
"143",143,1,0,2
"144",144,1,0,2
"145",145,1,0,2
"146",146,2,0,2
"147",147,2,0,2
"148",148,2,0,2
"149",149,1,0,2
"150",150,2,0,2
"151",151,1,0,2
"152",152,2,0,2
"153",153,1,0,2
"154",154,2,0,2
"155",155,2,0,2
"156",156,1,0,2
"157",157,2,0,2
"158",158,1,0,2
"159",159,1,0,2
"160",160,1,0,2
"161",161,2,0,2
"162",162,1,0,2
"163",163,1,0,2
"164",164,2,0,2
"165",165,1,0,2
"166",166,1,0,2
"167",167,2,0,2
"168",168,2,0,2
"169",169,1,0,2
"170",170,2,0,2
"171",171,2,0,2
"172",172,1,0,2
"173",173,2,0,2
"174",174,2,0,2
"175",175,1,0,2
"176",176,1,0,2
"177",177,1,0,2
"178",178,1,0,2
"179",179,2,1,3
"180",180,1,0,3
"181",181,2,0,3
"182",182,1,0,3
"183",183,1,0,3
"184",184,2,0,3
"185",185,2,0,3
"186",186,1,0,3
"187",187,1,0,3
"188",188,2,0,3
"189",189,2,0,3
"190",190,1,0,3
"191",191,2,0,3
"192",192,1,0,3
"193",193,1,0,3
"194",194,1,0,3
"195",195,1,0,3
"196",196,2,0,3
"197",197,2,0,3
"198",198,2,0,3
"199",199,1,0,3
"200",200,2,0,3
"201",201,2,0,3
"202",202,2,0,3
"203",203,1,0,3
"204",204,2,0,3
"205",205,2,0,3
"206",206,2,0,3
"207",207,2,0,3
"208",208,1,0,3
"209",209,2,0,3
"210",210,2,0,3
