"","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.03","0.03","0.03"
"1",19,20,11,85,13,46,24,17,16,20,18,36,17,24,14,20
"2",71,18,18,17,21,25,10,27,22,22,18,19,21,57,16,18
"3",15,12,14,15,19,15,15,13,10,13,9,13,14,17,189,17
"4",19,16,19,17,18,16,18,21,14,24,19,18,18,131,18,14
"5",15,14,16,14,21,15,14,17,18,57,15,12,9,126,18,19
