"","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.03","0.03","0.03"
"1",17,28,31,40,28,30,24,44,189,27,19,26,122,35,253,87
"2",30,25,82,84,40,30,29,69,47,27,37,37,201,180,28,54
"3",19,26,272,47,158,27,33,23,25,24,27,22,212,27,27,31
"4",61,20,29,25,25,24,21,21,22,29,25,55,202,20,399,22
"5",27,88,20,24,19,22,24,146,21,18,23,28,53,209,211,67
"6",32,26,26,23,26,38,46,27,25,22,64,23,48,379,21,174
"7",23,125,23,22,55,27,22,109,25,167,26,22,27,33,24,270
"8",107,23,17,34,23,29,25,169,24,153,20,123,25,21,30,177
"9",34,118,23,209,234,22,36,34,28,29,34,32,28,93,25,21
"10",20,29,319,27,25,34,308,30,24,28,25,27,36,29,23,16
