"","times","ChosenArm","Reward","CumulativeReward","pA","wins.by.A.timeline"
"1",1,1,0,0,0.5,0
"2",2,1,1,1,0.5,0
"3",3,2,0,1,0.52497918747894,-1
"4",4,2,0,1,0.52497918747894,-1
"5",5,2,0,1,0.52497918747894,-1
"6",6,1,0,1,0.52497918747894,0
"7",7,2,0,1,0.52497918747894,-1
"8",8,1,0,1,0.52497918747894,0
"9",9,1,0,1,0.52497918747894,0
"10",10,2,0,1,0.52497918747894,-1
"11",11,2,1,2,0.52497918747894,-1
"12",12,1,0,2,0.5,0
"13",13,2,0,2,0.5,-1
"14",14,2,0,2,0.5,-1
"15",15,2,0,2,0.5,-1
"16",16,1,0,2,0.5,0
"17",17,1,0,2,0.5,0
"18",18,2,0,2,0.5,-1
"19",19,2,0,2,0.5,-1
"20",20,2,1,3,0.5,-1
"21",21,2,0,3,0.47502081252106,-1
"22",22,1,0,3,0.47502081252106,0
"23",23,1,0,3,0.47502081252106,0
"24",24,2,0,3,0.47502081252106,-1
"25",25,2,0,3,0.47502081252106,-1
"26",26,1,0,3,0.47502081252106,0
"27",27,2,0,3,0.47502081252106,-1
"28",28,2,0,3,0.47502081252106,-1
"29",29,2,0,3,0.47502081252106,-1
"30",30,1,0,3,0.47502081252106,0
"31",31,2,0,3,0.47502081252106,-1
"32",32,1,0,3,0.47502081252106,0
"33",33,2,0,3,0.47502081252106,-1
"34",34,2,0,3,0.47502081252106,-1
"35",35,2,0,3,0.47502081252106,-1
"36",36,2,0,3,0.47502081252106,-1
"37",37,1,0,3,0.47502081252106,0
"38",38,2,0,3,0.47502081252106,-1
"39",39,2,0,3,0.47502081252106,-1
"40",40,1,0,3,0.47502081252106,0
"41",41,1,0,3,0.47502081252106,0
"42",42,2,0,3,0.47502081252106,-1
"43",43,1,0,3,0.47502081252106,0
"44",44,1,0,3,0.47502081252106,0
"45",45,1,0,3,0.47502081252106,0
"46",46,2,0,3,0.47502081252106,-1
"47",47,2,0,3,0.47502081252106,-1
"48",48,1,0,3,0.47502081252106,0
"49",49,2,0,3,0.47502081252106,-1
"50",50,2,0,3,0.47502081252106,-1
"51",51,1,0,3,0.47502081252106,0
"52",52,1,0,3,0.47502081252106,0
"53",53,2,0,3,0.47502081252106,-1
"54",54,2,0,3,0.47502081252106,-1
"55",55,2,0,3,0.47502081252106,-1
"56",56,2,0,3,0.47502081252106,-1
"57",57,1,0,3,0.47502081252106,0
"58",58,1,0,3,0.47502081252106,0
"59",59,2,0,3,0.47502081252106,-1
"60",60,1,0,3,0.47502081252106,0
"61",61,1,0,3,0.47502081252106,0
"62",62,1,0,3,0.47502081252106,0
"63",63,2,0,3,0.47502081252106,-1
"64",64,2,0,3,0.47502081252106,-1
"65",65,1,0,3,0.47502081252106,0
"66",66,1,0,3,0.47502081252106,0
"67",67,1,0,3,0.47502081252106,0
"68",68,2,0,3,0.47502081252106,-1
"69",69,1,0,3,0.47502081252106,0
"70",70,1,0,3,0.47502081252106,0
"71",71,2,0,3,0.47502081252106,-1
"72",72,2,0,3,0.47502081252106,-1
"73",73,1,0,3,0.47502081252106,0
"74",74,2,0,3,0.47502081252106,-1
"75",75,2,0,3,0.47502081252106,-1
"76",76,1,0,3,0.47502081252106,0
"77",77,2,0,3,0.47502081252106,-1
"78",78,2,0,3,0.47502081252106,-1
"79",79,2,0,3,0.47502081252106,-1
"80",80,2,0,3,0.47502081252106,-1
"81",81,2,0,3,0.47502081252106,-1
"82",82,1,1,4,0.47502081252106,0
"83",83,1,0,4,0.5,0
"84",84,2,0,4,0.5,-1
"85",85,2,0,4,0.5,-1
"86",86,2,0,4,0.5,-1
"87",87,1,0,4,0.5,0
"88",88,2,0,4,0.5,-1
"89",89,2,0,4,0.5,-1
"90",90,2,0,4,0.5,-1
"91",91,2,0,4,0.5,-1
"92",92,2,0,4,0.5,-1
"93",93,2,0,4,0.5,-1
"94",94,2,0,4,0.5,-1
"95",95,1,0,4,0.5,0
"96",96,2,0,4,0.5,-1
"97",97,1,0,4,0.5,0
"98",98,1,0,4,0.5,0
"99",99,2,0,4,0.5,-1
"100",100,1,0,4,0.5,0
"101",101,1,0,4,0.5,0
"102",102,2,0,4,0.5,-1
"103",103,2,0,4,0.5,-1
"104",104,1,0,4,0.5,0
"105",105,1,0,4,0.5,0
"106",106,1,0,4,0.5,0
"107",107,1,0,4,0.5,0
"108",108,1,0,4,0.5,0
"109",109,1,0,4,0.5,0
"110",110,1,0,4,0.5,0
"111",111,2,0,4,0.5,-1
"112",112,1,0,4,0.5,0
"113",113,1,0,4,0.5,0
"114",114,1,0,4,0.5,0
"115",115,2,0,4,0.5,-1
"116",116,2,0,4,0.5,-1
"117",117,2,0,4,0.5,-1
"118",118,1,0,4,0.5,0
"119",119,1,0,4,0.5,0
"120",120,2,0,4,0.5,-1
"121",121,1,0,4,0.5,0
"122",122,1,0,4,0.5,0
"123",123,2,0,4,0.5,-1
"124",124,2,0,4,0.5,-1
"125",125,1,0,4,0.5,0
"126",126,2,0,4,0.5,-1
"127",127,2,0,4,0.5,-1
"128",128,1,0,4,0.5,0
"129",129,2,0,4,0.5,-1
"130",130,2,0,4,0.5,-1
"131",131,1,0,4,0.5,0
"132",132,2,0,4,0.5,-1
"133",133,2,0,4,0.5,-1
"134",134,2,0,4,0.5,-1
"135",135,2,0,4,0.5,-1
"136",136,1,0,4,0.5,0
"137",137,2,0,4,0.5,-1
"138",138,1,0,4,0.5,0
"139",139,2,0,4,0.5,-1
"140",140,1,0,4,0.5,0
"141",141,1,0,4,0.5,0
"142",142,2,0,4,0.5,-1
"143",143,2,0,4,0.5,-1
"144",144,2,0,4,0.5,-1
"145",145,1,0,4,0.5,0
"146",146,1,0,4,0.5,0
"147",147,2,0,4,0.5,-1
"148",148,1,0,4,0.5,0
"149",149,1,0,4,0.5,0
"150",150,1,0,4,0.5,0
"151",151,1,1,5,0.5,0
"152",152,1,0,5,0.52497918747894,0
"153",153,1,0,5,0.52497918747894,0
"154",154,1,0,5,0.52497918747894,0
"155",155,1,0,5,0.52497918747894,0
"156",156,2,0,5,0.52497918747894,-1
"157",157,1,0,5,0.52497918747894,0
"158",158,2,0,5,0.52497918747894,-1
"159",159,1,0,5,0.52497918747894,0
"160",160,1,0,5,0.52497918747894,0
"161",161,1,0,5,0.52497918747894,0
"162",162,2,0,5,0.52497918747894,-1
"163",163,2,0,5,0.52497918747894,-1
"164",164,1,0,5,0.52497918747894,0
"165",165,1,0,5,0.52497918747894,0
"166",166,2,0,5,0.52497918747894,-1
"167",167,2,0,5,0.52497918747894,-1
"168",168,2,0,5,0.52497918747894,-1
"169",169,2,0,5,0.52497918747894,-1
"170",170,1,0,5,0.52497918747894,0
"171",171,2,0,5,0.52497918747894,-1
"172",172,2,0,5,0.52497918747894,-1
"173",173,1,0,5,0.52497918747894,0
"174",174,1,0,5,0.52497918747894,0
"175",175,2,0,5,0.52497918747894,-1
"176",176,1,0,5,0.52497918747894,0
"177",177,1,0,5,0.52497918747894,0
"178",178,2,0,5,0.52497918747894,-1
"179",179,1,0,5,0.52497918747894,0
"180",180,1,1,6,0.52497918747894,0
"181",181,2,0,6,0.549833997312478,-1
"182",182,1,0,6,0.549833997312478,0
"183",183,1,0,6,0.549833997312478,0
"184",184,1,0,6,0.549833997312478,0
"185",185,1,0,6,0.549833997312478,0
"186",186,1,0,6,0.549833997312478,0
"187",187,1,0,6,0.549833997312478,0
"188",188,1,0,6,0.549833997312478,0
"189",189,2,0,6,0.549833997312478,-1
"190",190,1,0,6,0.549833997312478,0
"191",191,1,0,6,0.549833997312478,0
"192",192,1,0,6,0.549833997312478,0
"193",193,1,0,6,0.549833997312478,0
"194",194,2,0,6,0.549833997312478,-1
"195",195,2,0,6,0.549833997312478,-1
"196",196,1,1,7,0.549833997312478,0
"197",197,1,0,7,0.574442516811659,0
"198",198,1,0,7,0.574442516811659,0
"199",199,1,0,7,0.574442516811659,0
"200",200,1,0,7,0.574442516811659,0
"201",201,1,0,7,0.574442516811659,0
"202",202,1,0,7,0.574442516811659,0
"203",203,1,0,7,0.574442516811659,0
"204",204,1,0,7,0.574442516811659,0
"205",205,2,0,7,0.574442516811659,-1
"206",206,2,0,7,0.574442516811659,-1
"207",207,1,0,7,0.574442516811659,0
"208",208,2,0,7,0.574442516811659,-1
"209",209,2,0,7,0.574442516811659,-1
"210",210,1,0,7,0.574442516811659,0
"211",211,1,0,7,0.574442516811659,0
"212",212,2,0,7,0.574442516811659,-1
"213",213,1,0,7,0.574442516811659,0
"214",214,1,0,7,0.574442516811659,0
"215",215,1,0,7,0.574442516811659,0
"216",216,2,0,7,0.574442516811659,-1
"217",217,1,0,7,0.574442516811659,0
"218",218,2,0,7,0.574442516811659,-1
"219",219,2,0,7,0.574442516811659,-1
"220",220,1,0,7,0.574442516811659,0
"221",221,1,0,7,0.574442516811659,0
"222",222,2,0,7,0.574442516811659,-1
"223",223,1,0,7,0.574442516811659,0
"224",224,1,0,7,0.574442516811659,0
"225",225,2,0,7,0.574442516811659,-1
"226",226,1,0,7,0.574442516811659,0
"227",227,1,0,7,0.574442516811659,0
"228",228,2,0,7,0.574442516811659,-1
"229",229,1,0,7,0.574442516811659,0
"230",230,2,0,7,0.574442516811659,-1
"231",231,1,0,7,0.574442516811659,0
"232",232,1,0,7,0.574442516811659,0
"233",233,1,0,7,0.574442516811659,0
"234",234,1,0,7,0.574442516811659,0
"235",235,1,0,7,0.574442516811659,0
"236",236,2,0,7,0.574442516811659,-1
"237",237,2,0,7,0.574442516811659,-1
"238",238,2,0,7,0.574442516811659,-1
"239",239,1,0,7,0.574442516811659,0
"240",240,2,0,7,0.574442516811659,-1
"241",241,2,0,7,0.574442516811659,-1
"242",242,1,0,7,0.574442516811659,0
"243",243,1,0,7,0.574442516811659,0
"244",244,1,0,7,0.574442516811659,0
"245",245,1,1,8,0.574442516811659,0
"246",246,2,0,8,0.598687660112452,-1
