"","times","ChosenArm","Reward","CumulativeReward","pA","wins.by.A.timeline"
"164",164,1,0,6,0.5,0
"165",165,1,0,6,0.5,0
"166",166,1,0,6,0.5,0
"167",167,1,0,6,0.5,0
"168",168,1,0,6,0.5,0
"169",169,2,0,6,0.5,-1
"170",170,2,0,6,0.5,-1
"171",171,1,0,6,0.5,0
"172",172,2,0,6,0.5,-1
"173",173,2,0,6,0.5,-1
"174",174,2,0,6,0.5,-1
"175",175,1,0,6,0.5,0
"176",176,2,0,6,0.5,-1
"177",177,2,0,6,0.5,-1
"178",178,2,1,7,0.5,-1
"179",179,1,0,7,0.47502081252106,0
"180",180,1,0,7,0.47502081252106,0
"181",181,2,0,7,0.47502081252106,-1
"182",182,1,0,7,0.47502081252106,0
"183",183,2,0,7,0.47502081252106,-1
"184",184,1,0,7,0.47502081252106,0
"185",185,1,0,7,0.47502081252106,0
"186",186,2,0,7,0.47502081252106,-1
"187",187,1,1,8,0.47502081252106,0
"188",188,1,0,8,0.5,0
"189",189,2,0,8,0.5,-1
"190",190,2,0,8,0.5,-1
"191",191,1,0,8,0.5,0
"192",192,2,0,8,0.5,-1
"193",193,2,0,8,0.5,-1
"194",194,1,0,8,0.5,0
"195",195,1,0,8,0.5,0
"196",196,1,0,8,0.5,0
"197",197,2,1,9,0.5,-1
"198",198,1,0,9,0.47502081252106,0
"199",199,2,0,9,0.47502081252106,-1
"200",200,2,0,9,0.47502081252106,-1
"201",201,2,0,9,0.47502081252106,-1
"202",202,2,0,9,0.47502081252106,-1
"203",203,2,0,9,0.47502081252106,-1
"204",204,1,0,9,0.47502081252106,0
"205",205,2,0,9,0.47502081252106,-1
"206",206,1,0,9,0.47502081252106,0
"207",207,1,0,9,0.47502081252106,0
"208",208,2,0,9,0.47502081252106,-1
"209",209,2,0,9,0.47502081252106,-1
"210",210,2,0,9,0.47502081252106,-1
"211",211,2,0,9,0.47502081252106,-1
"212",212,1,0,9,0.47502081252106,0
"213",213,1,0,9,0.47502081252106,0
"214",214,2,1,10,0.47502081252106,-1
"215",215,2,0,10,0.450166002687522,-1
"216",216,2,0,10,0.450166002687522,-1
"217",217,2,0,10,0.450166002687522,-1
"218",218,2,0,10,0.450166002687522,-1
"219",219,2,0,10,0.450166002687522,-1
"220",220,1,0,10,0.450166002687522,0
"221",221,2,0,10,0.450166002687522,-1
"222",222,1,0,10,0.450166002687522,0
"223",223,2,0,10,0.450166002687522,-1
"224",224,2,0,10,0.450166002687522,-1
"225",225,2,0,10,0.450166002687522,-1
"226",226,2,0,10,0.450166002687522,-1
"227",227,2,0,10,0.450166002687522,-1
"228",228,2,0,10,0.450166002687522,-1
"229",229,2,0,10,0.450166002687522,-1
"230",230,2,0,10,0.450166002687522,-1
"231",231,2,0,10,0.450166002687522,-1
"232",232,1,0,10,0.450166002687522,0
"233",233,2,0,10,0.450166002687522,-1
"234",234,2,0,10,0.450166002687522,-1
"235",235,1,0,10,0.450166002687522,0
"236",236,1,0,10,0.450166002687522,0
"237",237,2,0,10,0.450166002687522,-1
"238",238,2,0,10,0.450166002687522,-1
"239",239,2,0,10,0.450166002687522,-1
"240",240,2,0,10,0.450166002687522,-1
"241",241,1,0,10,0.450166002687522,0
"242",242,2,0,10,0.450166002687522,-1
"243",243,2,0,10,0.450166002687522,-1
"244",244,1,0,10,0.450166002687522,0
"245",245,1,0,10,0.450166002687522,0
"246",246,1,0,10,0.450166002687522,0
"247",247,1,0,10,0.450166002687522,0
"248",248,1,0,10,0.450166002687522,0
"249",249,2,0,10,0.450166002687522,-1
"250",250,1,0,10,0.450166002687522,0
"251",251,2,0,10,0.450166002687522,-1
"252",252,1,0,10,0.450166002687522,0
"253",253,2,0,10,0.450166002687522,-1
"254",254,1,0,10,0.450166002687522,0
"255",255,2,0,10,0.450166002687522,-1
"256",256,1,0,10,0.450166002687522,0
"257",257,1,0,10,0.450166002687522,0
"258",258,2,0,10,0.450166002687522,-1
"259",259,1,1,11,0.450166002687522,0
"260",260,1,0,11,0.47502081252106,0
"261",261,1,0,11,0.47502081252106,0
"262",262,1,0,11,0.47502081252106,0
"263",263,2,0,11,0.47502081252106,-1
"264",264,1,0,11,0.47502081252106,0
"265",265,2,0,11,0.47502081252106,-1
"266",266,1,0,11,0.47502081252106,0
"267",267,1,0,11,0.47502081252106,0
"268",268,1,0,11,0.47502081252106,0
"269",269,2,0,11,0.47502081252106,-1
"270",270,2,0,11,0.47502081252106,-1
"271",271,2,0,11,0.47502081252106,-1
"272",272,1,0,11,0.47502081252106,0
"273",273,2,0,11,0.47502081252106,-1
"274",274,1,0,11,0.47502081252106,0
"275",275,1,0,11,0.47502081252106,0
"276",276,2,0,11,0.47502081252106,-1
"277",277,2,0,11,0.47502081252106,-1
"278",278,2,1,12,0.47502081252106,-1
"279",279,1,0,12,0.450166002687522,0
"280",280,1,0,12,0.450166002687522,0
"281",281,2,0,12,0.450166002687522,-1
"282",282,2,0,12,0.450166002687522,-1
"283",283,2,0,12,0.450166002687522,-1
"284",284,1,0,12,0.450166002687522,0
"285",285,1,0,12,0.450166002687522,0
"286",286,2,0,12,0.450166002687522,-1
"287",287,1,0,12,0.450166002687522,0
"288",288,2,0,12,0.450166002687522,-1
"289",289,1,0,12,0.450166002687522,0
"290",290,2,0,12,0.450166002687522,-1
