"","T","ChosenArm","Reward","CumulativeReward"
"1",1,1,0,0
"2",2,2,0,0
"3",3,1,0,0
"4",4,2,0,0
"5",5,1,0,0
"6",6,1,0,0
"7",7,2,0,0
"8",8,1,0,0
"9",9,1,0,0
"10",10,1,1,1
"11",11,2,0,1
"12",12,1,1,2
"13",13,2,0,2
"14",14,2,0,2
"15",15,2,0,2
"16",16,1,1,3
"17",17,2,0,3
"18",18,1,1,4
"19",19,1,1,5
"20",20,1,0,5
"21",21,1,1,6
"22",22,2,0,6
"23",23,2,0,6
"24",24,2,0,6
"25",25,1,1,7
"26",26,2,0,7
"27",27,1,0,7
"28",28,1,1,8
"29",29,1,1,9
"30",30,1,1,10
"31",31,2,1,11
"32",32,1,1,12
"33",33,1,1,13
"34",34,2,0,13
"35",35,2,0,13
"36",36,2,0,13
"37",37,1,0,13
"38",38,1,0,13
"39",39,1,1,14
"40",40,1,0,14
"41",41,1,1,15
"42",42,1,1,16
"43",43,1,1,17
"44",44,1,1,18
"45",45,1,0,18
"46",46,1,0,18
"47",47,1,1,19
"48",48,1,1,20
"49",49,1,1,21
"50",50,1,1,22
"51",51,1,1,23
"52",52,1,0,23
"53",53,2,0,23
"54",54,1,1,24
"55",55,1,1,25
"56",56,1,0,25
"57",57,1,1,26
"58",58,1,0,26
"59",59,2,0,26
"60",60,1,0,26
"61",61,1,0,26
"62",62,1,1,27
"63",63,2,0,27
"64",64,2,0,27
"65",65,1,1,28
"66",66,1,1,29
"67",67,2,0,29
"68",68,1,1,30
"69",69,1,1,31
"70",70,1,1,32
"71",71,2,0,32
"72",72,1,1,33
"73",73,1,1,34
"74",74,2,0,34
"75",75,1,1,35
"76",76,1,1,36
"77",77,1,0,36
"78",78,1,0,36
"79",79,1,0,36
"80",80,1,0,36
"81",81,1,0,36
"82",82,1,0,36
"83",83,1,0,36
"84",84,1,0,36
"85",85,1,1,37
"86",86,1,0,37
"87",87,1,0,37
"88",88,1,0,37
"89",89,1,0,37
"90",90,1,0,37
"91",91,1,0,37
"92",92,1,0,37
"93",93,1,1,38
"94",94,2,0,38
"95",95,1,0,38
"96",96,1,0,38
"97",97,1,1,39
"98",98,1,0,39
"99",99,1,0,39
"100",100,1,0,39
