"","T","ChosenArm","Reward","CumulativeReward"
"1",1,1,0,0
"2",2,1,0,0
"3",3,2,0,0
"4",4,2,0,0
"5",5,1,0,0
"6",6,2,0,0
"7",7,2,0,0
"8",8,1,0,0
"9",9,1,0,0
"10",10,2,0,0
"11",11,2,0,0
"12",12,2,0,0
"13",13,1,0,0
"14",14,2,0,0
"15",15,2,0,0
"16",16,2,1,1
"17",17,1,0,1
"18",18,1,0,1
"19",19,1,0,1
"20",20,2,0,1
"21",21,2,0,1
"22",22,1,0,1
"23",23,1,0,1
"24",24,1,0,1
"25",25,2,0,1
"26",26,1,0,1
"27",27,2,1,2
"28",28,2,0,2
"29",29,2,1,3
"30",30,1,0,3
"31",31,1,0,3
"32",32,1,0,3
"33",33,2,0,3
"34",34,1,0,3
"35",35,1,0,3
"36",36,2,0,3
"37",37,1,0,3
"38",38,1,0,3
"39",39,2,0,3
"40",40,2,0,3
"41",41,2,1,4
"42",42,1,0,4
"43",43,2,0,4
"44",44,2,0,4
"45",45,2,0,4
"46",46,2,1,5
"47",47,1,0,5
"48",48,1,0,5
"49",49,1,0,5
"50",50,2,0,5
"51",51,2,1,6
"52",52,1,0,6
"53",53,2,0,6
"54",54,2,0,6
"55",55,2,0,6
"56",56,1,0,6
"57",57,2,0,6
"58",58,2,0,6
"59",59,2,0,6
"60",60,2,0,6
"61",61,2,0,6
"62",62,2,0,6
"63",63,1,0,6
"64",64,2,0,6
"65",65,2,0,6
"66",66,1,0,6
"67",67,1,0,6
"68",68,1,0,6
"69",69,2,0,6
"70",70,1,0,6
"71",71,1,0,6
"72",72,2,0,6
"73",73,2,0,6
"74",74,1,0,6
"75",75,2,0,6
"76",76,2,0,6
"77",77,1,0,6
"78",78,2,0,6
"79",79,1,0,6
"80",80,2,0,6
"81",81,2,0,6
"82",82,2,0,6
"83",83,2,0,6
"84",84,2,0,6
"85",85,2,0,6
"86",86,2,0,6
"87",87,2,1,7
"88",88,2,0,7
"89",89,2,0,7
"90",90,2,1,8
"91",91,1,0,8
"92",92,2,1,9
"93",93,1,0,9
"94",94,1,0,9
"95",95,2,1,10
"96",96,2,1,11
"97",97,2,1,12
"98",98,1,0,12
"99",99,2,0,12
"100",100,1,0,12
