"","T","ChosenArm","Reward","CumulativeReward"
"1",1,2,0,0
"2",2,1,0,0
"3",3,1,0,0
"4",4,1,0,0
"5",5,1,0,0
"6",6,2,1,1
"7",7,1,0,1
"8",8,2,0,1
"9",9,2,0,1
"10",10,2,0,1
"11",11,1,0,1
"12",12,1,0,1
"13",13,2,0,1
"14",14,2,0,1
"15",15,2,0,1
"16",16,1,0,1
"17",17,2,0,1
"18",18,1,0,1
"19",19,2,0,1
"20",20,2,0,1
"21",21,1,0,1
"22",22,2,0,1
"23",23,2,0,1
"24",24,1,0,1
"25",25,1,0,1
"26",26,2,0,1
"27",27,1,0,1
"28",28,2,0,1
"29",29,2,0,1
"30",30,2,0,1
"31",31,1,0,1
"32",32,2,0,1
"33",33,1,0,1
"34",34,1,0,1
"35",35,1,0,1
"36",36,2,0,1
"37",37,1,0,1
"38",38,2,0,1
"39",39,2,0,1
"40",40,2,0,1
"41",41,1,0,1
"42",42,2,0,1
"43",43,1,0,1
"44",44,2,0,1
"45",45,1,1,2
"46",46,2,0,2
"47",47,2,1,3
"48",48,2,0,3
"49",49,2,0,3
"50",50,2,0,3
"51",51,2,0,3
"52",52,2,0,3
"53",53,2,0,3
"54",54,1,0,3
"55",55,1,1,4
"56",56,2,0,4
"57",57,2,0,4
"58",58,2,0,4
"59",59,1,1,5
"60",60,1,0,5
"61",61,2,0,5
"62",62,1,0,5
"63",63,1,1,6
"64",64,2,0,6
"65",65,2,0,6
"66",66,2,0,6
"67",67,2,0,6
"68",68,2,0,6
"69",69,1,1,7
"70",70,2,0,7
"71",71,2,0,7
"72",72,1,0,7
"73",73,1,1,8
"74",74,1,0,8
"75",75,2,0,8
"76",76,1,0,8
"77",77,1,1,9
"78",78,1,1,10
"79",79,1,0,10
"80",80,1,0,10
"81",81,2,0,10
"82",82,2,0,10
"83",83,1,0,10
"84",84,1,0,10
"85",85,1,0,10
"86",86,1,1,11
"87",87,1,0,11
"88",88,2,0,11
"89",89,1,0,11
"90",90,1,1,12
"91",91,1,1,13
"92",92,2,0,13
"93",93,1,1,14
"94",94,1,0,14
"95",95,1,1,15
"96",96,1,0,15
"97",97,1,0,15
"98",98,1,0,15
"99",99,2,0,15
"100",100,2,0,15
