"","times","ChosenArm","Reward","CumulativeReward","pA","wins.by.A.timeline"
"1",1,1,0,0,0.5,0
"2",2,2,0,0,0.5,-1
"3",3,2,0,0,0.5,-1
"4",4,1,0,0,0.5,0
"5",5,1,0,0,0.5,0
"6",6,1,0,0,0.5,0
"7",7,2,0,0,0.5,-1
"8",8,1,0,0,0.5,0
"9",9,2,0,0,0.5,-1
"10",10,1,0,0,0.5,0
"11",11,1,0,0,0.5,0
"12",12,1,0,0,0.5,0
"13",13,1,0,0,0.5,0
"14",14,1,0,0,0.5,0
"15",15,2,0,0,0.5,-1
"16",16,1,0,0,0.5,0
"17",17,1,0,0,0.5,0
"18",18,2,0,0,0.5,-1
"19",19,2,1,1,0.5,-1
"20",20,1,0,1,0.47502081252106,0
"21",21,2,0,1,0.47502081252106,-1
"22",22,1,0,1,0.47502081252106,0
"23",23,2,0,1,0.47502081252106,-1
"24",24,1,0,1,0.47502081252106,0
"25",25,1,0,1,0.47502081252106,0
"26",26,2,0,1,0.47502081252106,-1
"27",27,2,0,1,0.47502081252106,-1
"28",28,1,0,1,0.47502081252106,0
"29",29,2,0,1,0.47502081252106,-1
"30",30,1,0,1,0.47502081252106,0
"31",31,1,0,1,0.47502081252106,0
"32",32,1,0,1,0.47502081252106,0
"33",33,1,0,1,0.47502081252106,0
"34",34,1,0,1,0.47502081252106,0
"35",35,2,0,1,0.47502081252106,-1
"36",36,1,0,1,0.47502081252106,0
"37",37,2,0,1,0.47502081252106,-1
"38",38,1,0,1,0.47502081252106,0
"39",39,1,0,1,0.47502081252106,0
"40",40,2,0,1,0.47502081252106,-1
"41",41,2,1,2,0.47502081252106,-1
"42",42,2,0,2,0.450166002687522,-1
"43",43,1,0,2,0.450166002687522,0
"44",44,1,0,2,0.450166002687522,0
"45",45,1,0,2,0.450166002687522,0
"46",46,2,0,2,0.450166002687522,-1
"47",47,2,0,2,0.450166002687522,-1
"48",48,2,0,2,0.450166002687522,-1
"49",49,2,0,2,0.450166002687522,-1
"50",50,1,0,2,0.450166002687522,0
"51",51,2,0,2,0.450166002687522,-1
"52",52,2,0,2,0.450166002687522,-1
"53",53,1,0,2,0.450166002687522,0
"54",54,2,0,2,0.450166002687522,-1
"55",55,2,0,2,0.450166002687522,-1
"56",56,1,0,2,0.450166002687522,0
"57",57,1,0,2,0.450166002687522,0
"58",58,2,0,2,0.450166002687522,-1
"59",59,2,0,2,0.450166002687522,-1
"60",60,1,0,2,0.450166002687522,0
"61",61,2,0,2,0.450166002687522,-1
"62",62,1,0,2,0.450166002687522,0
"63",63,1,0,2,0.450166002687522,0
"64",64,1,0,2,0.450166002687522,0
"65",65,1,0,2,0.450166002687522,0
"66",66,2,0,2,0.450166002687522,-1
"67",67,2,0,2,0.450166002687522,-1
"68",68,2,0,2,0.450166002687522,-1
"69",69,1,0,2,0.450166002687522,0
"70",70,2,0,2,0.450166002687522,-1
"71",71,2,0,2,0.450166002687522,-1
"72",72,2,0,2,0.450166002687522,-1
"73",73,1,0,2,0.450166002687522,0
"74",74,1,0,2,0.450166002687522,0
"75",75,2,0,2,0.450166002687522,-1
"76",76,1,0,2,0.450166002687522,0
"77",77,2,0,2,0.450166002687522,-1
"78",78,2,0,2,0.450166002687522,-1
"79",79,2,0,2,0.450166002687522,-1
"80",80,1,0,2,0.450166002687522,0
"81",81,2,0,2,0.450166002687522,-1
"82",82,2,0,2,0.450166002687522,-1
"83",83,2,0,2,0.450166002687522,-1
"84",84,1,0,2,0.450166002687522,0
"85",85,2,0,2,0.450166002687522,-1
"86",86,2,0,2,0.450166002687522,-1
