"","times","ChosenArm","Reward","CumulativeReward","pA","wins.by.A.timeline"
"1",1,2,0,0,0.5,-1
"2",2,1,0,0,0.5,0
"3",3,1,0,0,0.5,0
"4",4,2,0,0,0.5,-1
"5",5,1,0,0,0.5,0
"6",6,2,0,0,0.5,-1
"7",7,2,0,0,0.5,-1
"8",8,1,0,0,0.5,0
"9",9,2,0,0,0.5,-1
"10",10,2,0,0,0.5,-1
"11",11,1,0,0,0.5,0
"12",12,1,0,0,0.5,0
"13",13,2,0,0,0.5,-1
"14",14,2,0,0,0.5,-1
"15",15,1,0,0,0.5,0
"16",16,2,0,0,0.5,-1
"17",17,1,0,0,0.5,0
"18",18,1,0,0,0.5,0
"19",19,2,0,0,0.5,-1
"20",20,1,0,0,0.5,0
"21",21,1,0,0,0.5,0
"22",22,2,0,0,0.5,-1
"23",23,1,0,0,0.5,0
"24",24,2,0,0,0.5,-1
"25",25,2,0,0,0.5,-1
"26",26,1,0,0,0.5,0
"27",27,1,0,0,0.5,0
"28",28,1,0,0,0.5,0
"29",29,2,0,0,0.5,-1
"30",30,1,0,0,0.5,0
"31",31,1,0,0,0.5,0
"32",32,1,0,0,0.5,0
"33",33,1,0,0,0.5,0
"34",34,2,0,0,0.5,-1
"35",35,2,0,0,0.5,-1
"36",36,2,0,0,0.5,-1
"37",37,1,0,0,0.5,0
"38",38,2,0,0,0.5,-1
"39",39,1,1,1,0.5,0
"40",40,2,1,2,0.52497918747894,-1
"41",41,2,1,3,0.5,-1
"42",42,1,0,3,0.47502081252106,1
"43",43,2,0,3,0.47502081252106,-1
"44",44,1,0,3,0.47502081252106,0
"45",45,1,0,3,0.47502081252106,0
"46",46,2,0,3,0.47502081252106,-1
"47",47,1,0,3,0.47502081252106,0
"48",48,1,0,3,0.47502081252106,0
"49",49,1,0,3,0.47502081252106,0
"50",50,1,0,3,0.47502081252106,0
"51",51,2,0,3,0.47502081252106,-1
"52",52,1,0,3,0.47502081252106,0
"53",53,2,0,3,0.47502081252106,-1
"54",54,2,0,3,0.47502081252106,-1
"55",55,2,0,3,0.47502081252106,-1
"56",56,1,0,3,0.47502081252106,0
"57",57,1,1,4,0.47502081252106,0
"58",58,2,0,4,0.5,-1
"59",59,2,0,4,0.5,-1
"60",60,2,0,4,0.5,-1
"61",61,1,0,4,0.5,1
"62",62,2,0,4,0.5,-1
"63",63,2,0,4,0.5,-1
"64",64,2,0,4,0.5,-1
"65",65,2,0,4,0.5,-1
"66",66,1,0,4,0.5,0
"67",67,2,0,4,0.5,-1
"68",68,2,0,4,0.5,-1
"69",69,2,0,4,0.5,-1
"70",70,1,0,4,0.5,0
"71",71,2,0,4,0.5,-1
"72",72,1,0,4,0.5,0
"73",73,2,0,4,0.5,-1
"74",74,2,0,4,0.5,-1
"75",75,2,0,4,0.5,-1
"76",76,2,0,4,0.5,-1
"77",77,2,0,4,0.5,-1
"78",78,2,0,4,0.5,-1
"79",79,1,0,4,0.5,0
"80",80,1,0,4,0.5,0
"81",81,2,0,4,0.5,-1
"82",82,2,0,4,0.5,-1
"83",83,2,0,4,0.5,-1
"84",84,1,0,4,0.5,0
"85",85,1,0,4,0.5,0
"86",86,1,0,4,0.5,0
"87",87,1,0,4,0.5,0
"88",88,1,0,4,0.5,0
"89",89,2,0,4,0.5,-1
"90",90,1,0,4,0.5,0
"91",91,2,0,4,0.5,-1
"92",92,2,0,4,0.5,-1
"93",93,1,0,4,0.5,0
"94",94,1,0,4,0.5,0
"95",95,2,1,5,0.5,-1
"96",96,1,0,5,0.47502081252106,0
"97",97,1,0,5,0.47502081252106,0
"98",98,2,0,5,0.47502081252106,-1
"99",99,1,0,5,0.47502081252106,0
"100",100,1,0,5,0.47502081252106,0
"101",101,1,0,5,0.47502081252106,0
"102",102,1,0,5,0.47502081252106,0
"103",103,1,0,5,0.47502081252106,0
"104",104,2,0,5,0.47502081252106,-1
"105",105,2,0,5,0.47502081252106,-1
"106",106,2,0,5,0.47502081252106,-1
"107",107,1,0,5,0.47502081252106,0
"108",108,2,0,5,0.47502081252106,-1
"109",109,1,0,5,0.47502081252106,0
"110",110,1,0,5,0.47502081252106,0
"111",111,1,0,5,0.47502081252106,0
"112",112,2,0,5,0.47502081252106,-1
"113",113,1,0,5,0.47502081252106,0
"114",114,2,0,5,0.47502081252106,-1
"115",115,2,0,5,0.47502081252106,-1
"116",116,2,0,5,0.47502081252106,-1
"117",117,1,0,5,0.47502081252106,0
"118",118,1,0,5,0.47502081252106,0
"119",119,2,0,5,0.47502081252106,-1
"120",120,1,0,5,0.47502081252106,0
"121",121,1,0,5,0.47502081252106,0
"122",122,1,0,5,0.47502081252106,0
"123",123,1,0,5,0.47502081252106,0
"124",124,1,0,5,0.47502081252106,0
"125",125,2,0,5,0.47502081252106,-1
"126",126,1,0,5,0.47502081252106,0
"127",127,1,0,5,0.47502081252106,0
"128",128,2,0,5,0.47502081252106,-1
"129",129,1,0,5,0.47502081252106,0
"130",130,2,1,6,0.47502081252106,-1
"131",131,1,0,6,0.450166002687522,0
"132",132,2,0,6,0.450166002687522,-1
"133",133,2,0,6,0.450166002687522,-1
"134",134,2,0,6,0.450166002687522,-1
"135",135,1,0,6,0.450166002687522,0
"136",136,1,0,6,0.450166002687522,0
"137",137,1,0,6,0.450166002687522,0
"138",138,2,0,6,0.450166002687522,-1
"139",139,2,0,6,0.450166002687522,-1
"140",140,1,0,6,0.450166002687522,0
"141",141,2,0,6,0.450166002687522,-1
"142",142,1,0,6,0.450166002687522,0
"143",143,2,0,6,0.450166002687522,-1
"144",144,2,0,6,0.450166002687522,-1
