"","times","ChosenArm","Reward","CumulativeReward","pA","wins.by.A.timeline"
"1",1,2,0,0,0.5,-1
"2",2,1,0,0,0.5,0
"3",3,2,0,0,0.5,-1
"4",4,2,0,0,0.5,-1
"5",5,1,0,0,0.5,0
"6",6,2,0,0,0.5,-1
"7",7,1,0,0,0.5,0
"8",8,1,0,0,0.5,0
"9",9,2,0,0,0.5,-1
"10",10,2,0,0,0.5,-1
"11",11,1,0,0,0.5,0
"12",12,1,0,0,0.5,0
"13",13,1,0,0,0.5,0
"14",14,1,0,0,0.5,0
"15",15,2,0,0,0.5,-1
"16",16,2,0,0,0.5,-1
"17",17,2,0,0,0.5,-1
"18",18,1,0,0,0.5,0
"19",19,2,0,0,0.5,-1
"20",20,1,0,0,0.5,0
"21",21,2,0,0,0.5,-1
"22",22,2,0,0,0.5,-1
"23",23,2,0,0,0.5,-1
"24",24,1,0,0,0.5,0
"25",25,1,0,0,0.5,0
"26",26,1,0,0,0.5,0
"27",27,2,0,0,0.5,-1
"28",28,1,0,0,0.5,0
"29",29,1,0,0,0.5,0
"30",30,1,0,0,0.5,0
"31",31,1,0,0,0.5,0
"32",32,1,0,0,0.5,0
"33",33,1,0,0,0.5,0
"34",34,2,0,0,0.5,-1
"35",35,1,0,0,0.5,0
"36",36,2,0,0,0.5,-1
"37",37,2,0,0,0.5,-1
"38",38,2,0,0,0.5,-1
"39",39,1,0,0,0.5,0
"40",40,2,0,0,0.5,-1
"41",41,1,0,0,0.5,0
"42",42,1,0,0,0.5,0
"43",43,1,0,0,0.5,0
"44",44,1,0,0,0.5,0
"45",45,2,0,0,0.5,-1
"46",46,1,0,0,0.5,0
"47",47,1,0,0,0.5,0
"48",48,2,0,0,0.5,-1
"49",49,1,0,0,0.5,0
"50",50,1,0,0,0.5,0
"51",51,2,0,0,0.5,-1
"52",52,2,0,0,0.5,-1
"53",53,2,0,0,0.5,-1
"54",54,2,0,0,0.5,-1
"55",55,2,0,0,0.5,-1
"56",56,1,0,0,0.5,0
"57",57,1,0,0,0.5,0
"58",58,2,0,0,0.5,-1
"59",59,2,0,0,0.5,-1
"60",60,2,0,0,0.5,-1
"61",61,1,0,0,0.5,0
"62",62,1,0,0,0.5,0
"63",63,2,0,0,0.5,-1
"64",64,2,0,0,0.5,-1
"65",65,2,0,0,0.5,-1
"66",66,2,0,0,0.5,-1
"67",67,2,0,0,0.5,-1
"68",68,1,0,0,0.5,0
"69",69,2,0,0,0.5,-1
"70",70,2,0,0,0.5,-1
"71",71,1,0,0,0.5,0
"72",72,2,1,1,0.5,-1
"73",73,1,0,1,0.47502081252106,0
"74",74,1,0,1,0.47502081252106,0
"75",75,2,0,1,0.47502081252106,-1
"76",76,1,0,1,0.47502081252106,0
"77",77,2,0,1,0.47502081252106,-1
"78",78,2,0,1,0.47502081252106,-1
"79",79,2,0,1,0.47502081252106,-1
"80",80,2,1,2,0.47502081252106,-1
"81",81,1,0,2,0.450166002687522,0
"82",82,1,0,2,0.450166002687522,0
"83",83,2,0,2,0.450166002687522,-1
"84",84,2,0,2,0.450166002687522,-1
"85",85,1,0,2,0.450166002687522,0
"86",86,2,0,2,0.450166002687522,-1
"87",87,1,0,2,0.450166002687522,0
"88",88,1,0,2,0.450166002687522,0
"89",89,2,0,2,0.450166002687522,-1
"90",90,2,0,2,0.450166002687522,-1
"91",91,1,0,2,0.450166002687522,0
"92",92,1,0,2,0.450166002687522,0
"93",93,1,0,2,0.450166002687522,0
"94",94,1,0,2,0.450166002687522,0
"95",95,1,0,2,0.450166002687522,0
"96",96,2,0,2,0.450166002687522,-1
"97",97,1,0,2,0.450166002687522,0
"98",98,2,0,2,0.450166002687522,-1
"99",99,2,0,2,0.450166002687522,-1
"100",100,1,0,2,0.450166002687522,0
"101",101,1,0,2,0.450166002687522,0
"102",102,2,0,2,0.450166002687522,-1
"103",103,2,0,2,0.450166002687522,-1
"104",104,2,0,2,0.450166002687522,-1
"105",105,1,0,2,0.450166002687522,0
"106",106,1,0,2,0.450166002687522,0
"107",107,2,0,2,0.450166002687522,-1
"108",108,2,0,2,0.450166002687522,-1
"109",109,2,1,3,0.450166002687522,-1
"110",110,1,0,3,0.425557483188341,0
"111",111,2,0,3,0.425557483188341,-1
"112",112,1,0,3,0.425557483188341,0
"113",113,2,0,3,0.425557483188341,-1
"114",114,1,0,3,0.425557483188341,0
"115",115,2,0,3,0.425557483188341,-1
"116",116,1,0,3,0.425557483188341,0
"117",117,1,0,3,0.425557483188341,0
"118",118,1,0,3,0.425557483188341,0
"119",119,2,0,3,0.425557483188341,-1
"120",120,1,0,3,0.425557483188341,0
"121",121,2,0,3,0.425557483188341,-1
"122",122,1,0,3,0.425557483188341,0
"123",123,1,0,3,0.425557483188341,0
"124",124,2,0,3,0.425557483188341,-1
"125",125,2,0,3,0.425557483188341,-1
"126",126,1,0,3,0.425557483188341,0
"127",127,2,0,3,0.425557483188341,-1
"128",128,2,0,3,0.425557483188341,-1
"129",129,2,0,3,0.425557483188341,-1
"130",130,1,0,3,0.425557483188341,0
"131",131,2,0,3,0.425557483188341,-1
"132",132,2,0,3,0.425557483188341,-1
"133",133,2,0,3,0.425557483188341,-1
"134",134,2,0,3,0.425557483188341,-1
"135",135,2,0,3,0.425557483188341,-1
"136",136,1,0,3,0.425557483188341,0
"137",137,1,0,3,0.425557483188341,0
"138",138,2,0,3,0.425557483188341,-1
"139",139,2,0,3,0.425557483188341,-1
"140",140,2,0,3,0.425557483188341,-1
"141",141,2,0,3,0.425557483188341,-1
"142",142,2,0,3,0.425557483188341,-1
