"","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.03","0.03","0.03"
"1",38,34,24,43,25,20,24,27,33,26,25,153,21,224,199,84
"2",35,34,25,32,88,87,24,28,161,129,65,25,132,49,45,41
"3",27,25,131,19,24,71,21,25,24,140,163,24,29,32,40,205
"4",32,41,285,29,101,38,36,46,27,46,38,29,80,64,38,70
"5",24,41,47,142,30,149,63,31,28,25,26,29,22,277,22,44
"6",42,44,39,38,111,41,151,34,50,23,38,44,148,53,91,53
"7",23,33,37,30,31,26,27,150,29,24,65,171,32,23,42,257
"8",45,55,30,25,156,217,34,24,22,28,24,28,30,33,219,30
"9",37,138,27,105,149,33,33,34,29,75,34,176,36,34,26,34
"10",34,31,178,43,28,185,26,24,28,221,27,35,33,26,31,50
