"","T","ChosenArm","Reward","CumulativeReward"
"1",1,2,0,0
"2",2,2,0,0
"3",3,1,0,0
"4",4,1,0,0
"5",5,1,0,0
"6",6,2,0,0
"7",7,1,0,0
"8",8,1,0,0
"9",9,1,0,0
"10",10,2,0,0
"11",11,1,0,0
"12",12,2,0,0
"13",13,2,0,0
"14",14,2,0,0
"15",15,2,0,0
"16",16,1,0,0
"17",17,2,0,0
"18",18,1,0,0
"19",19,2,0,0
"20",20,1,0,0
"21",21,1,0,0
"22",22,2,0,0
"23",23,1,0,0
"24",24,1,0,0
"25",25,2,0,0
"26",26,2,0,0
"27",27,1,0,0
"28",28,1,0,0
"29",29,2,0,0
"30",30,1,0,0
"31",31,1,0,0
"32",32,2,0,0
"33",33,1,0,0
"34",34,2,0,0
"35",35,2,0,0
"36",36,2,0,0
"37",37,2,0,0
"38",38,2,0,0
"39",39,1,0,0
"40",40,1,0,0
"41",41,1,0,0
"42",42,2,0,0
"43",43,1,0,0
"44",44,1,0,0
"45",45,2,0,0
"46",46,1,0,0
"47",47,2,0,0
"48",48,1,0,0
"49",49,1,0,0
"50",50,2,0,0
"51",51,1,0,0
"52",52,1,0,0
"53",53,2,0,0
"54",54,1,0,0
"55",55,2,0,0
"56",56,2,0,0
"57",57,1,1,1
"58",58,2,0,1
"59",59,2,0,1
"60",60,2,0,1
"61",61,1,0,1
"62",62,2,0,1
"63",63,1,0,1
"64",64,2,0,1
"65",65,1,0,1
"66",66,2,0,1
"67",67,2,0,1
"68",68,1,0,1
"69",69,1,0,1
"70",70,1,0,1
"71",71,2,0,1
"72",72,2,0,1
"73",73,2,0,1
"74",74,1,0,1
"75",75,1,0,1
"76",76,2,0,1
"77",77,1,0,1
"78",78,1,0,1
"79",79,2,0,1
"80",80,1,0,1
"81",81,2,0,1
"82",82,1,0,1
"83",83,2,0,1
"84",84,1,1,2
"85",85,2,0,2
"86",86,2,0,2
"87",87,2,0,2
"88",88,1,0,2
"89",89,1,0,2
"90",90,2,0,2
"91",91,2,0,2
"92",92,2,0,2
"93",93,1,0,2
"94",94,2,0,2
"95",95,2,0,2
"96",96,1,0,2
"97",97,1,0,2
"98",98,1,1,3
"99",99,2,0,3
"100",100,1,0,3
"101",101,2,0,3
"102",102,1,0,3
"103",103,1,0,3
"104",104,1,0,3
"105",105,1,0,3
"106",106,2,0,3
"107",107,1,0,3
"108",108,2,0,3
"109",109,1,0,3
"110",110,2,0,3
"111",111,1,0,3
"112",112,2,0,3
"113",113,2,0,3
"114",114,1,0,3
"115",115,2,0,3
"116",116,2,0,3
"117",117,2,0,3
"118",118,2,0,3
"119",119,1,0,3
"120",120,2,0,3
"121",121,2,0,3
"122",122,1,0,3
"123",123,1,0,3
"124",124,1,0,3
"125",125,2,0,3
"126",126,2,0,3
"127",127,1,0,3
"128",128,1,0,3
"129",129,1,0,3
"130",130,1,0,3
"131",131,2,0,3
"132",132,1,0,3
"133",133,2,0,3
"134",134,2,0,3
"135",135,1,1,4
"136",136,2,0,4
"137",137,2,0,4
"138",138,2,0,4
"139",139,1,0,4
"140",140,2,1,5
"141",141,2,0,5
"142",142,1,0,5
"143",143,1,0,5
"144",144,2,0,5
"145",145,2,0,5
"146",146,1,0,5
"147",147,1,0,5
"148",148,2,0,5
"149",149,2,0,5
"150",150,2,0,5
"151",151,1,0,5
"152",152,1,0,5
"153",153,2,0,5
"154",154,2,0,5
"155",155,1,0,5
"156",156,1,0,5
"157",157,1,0,5
"158",158,2,0,5
"159",159,2,0,5
"160",160,2,0,5
"161",161,1,0,5
"162",162,2,0,5
"163",163,1,0,5
"164",164,1,0,5
"165",165,1,0,5
"166",166,1,0,5
"167",167,2,0,5
"168",168,2,0,5
"169",169,1,0,5
"170",170,1,0,5
"171",171,2,0,5
"172",172,2,0,5
"173",173,1,0,5
"174",174,2,0,5
"175",175,2,0,5
"176",176,1,0,5
"177",177,2,0,5
"178",178,1,0,5
"179",179,2,0,5
"180",180,1,0,5
"181",181,2,0,5
"182",182,1,0,5
"183",183,1,0,5
"184",184,2,0,5
"185",185,2,0,5
"186",186,2,0,5
"187",187,1,0,5
"188",188,1,0,5
"189",189,1,0,5
"190",190,1,0,5
"191",191,1,0,5
"192",192,1,0,5
"193",193,1,0,5
"194",194,1,0,5
"195",195,1,0,5
"196",196,2,0,5
"197",197,1,0,5
"198",198,1,0,5
"199",199,2,0,5
"200",200,1,0,5
"201",201,2,0,5
"202",202,1,0,5
"203",203,2,0,5
"204",204,1,0,5
"205",205,1,0,5
"206",206,2,0,5
"207",207,1,0,5
"208",208,1,0,5
"209",209,1,0,5
"210",210,2,0,5
"211",211,1,0,5
"212",212,1,0,5
"213",213,1,0,5
"214",214,2,1,6
"215",215,2,0,6
"216",216,2,0,6
"217",217,2,0,6
"218",218,1,1,7
"219",219,1,0,7
"220",220,1,0,7
"221",221,2,0,7
"222",222,2,0,7
"223",223,2,0,7
"224",224,1,0,7
"225",225,1,0,7
"226",226,2,0,7
"227",227,1,0,7
"228",228,1,0,7
"229",229,2,0,7
"230",230,2,0,7
"231",231,2,0,7
"232",232,2,0,7
"233",233,2,0,7
"234",234,1,0,7
"235",235,1,0,7
"236",236,2,0,7
"237",237,2,0,7
"238",238,2,0,7
"239",239,1,0,7
"240",240,1,0,7
"241",241,1,0,7
"242",242,2,0,7
"243",243,2,0,7
"244",244,1,0,7
"245",245,1,0,7
"246",246,2,0,7
"247",247,1,0,7
"248",248,1,0,7
"249",249,1,0,7
"250",250,2,0,7
"251",251,1,0,7
"252",252,1,0,7
"253",253,1,0,7
"254",254,1,0,7
"255",255,2,0,7
"256",256,1,0,7
"257",257,2,0,7
"258",258,1,0,7
"259",259,1,0,7
"260",260,2,0,7
"261",261,1,0,7
"262",262,2,0,7
"263",263,1,1,8
"264",264,2,0,8
"265",265,1,0,8
"266",266,2,0,8
"267",267,2,0,8
"268",268,2,0,8
"269",269,2,0,8
"270",270,1,0,8
"271",271,2,0,8
"272",272,2,0,8
"273",273,1,0,8
"274",274,1,0,8
"275",275,2,0,8
"276",276,2,0,8
"277",277,1,0,8
"278",278,1,0,8
"279",279,1,0,8
"280",280,1,0,8
"281",281,1,0,8
"282",282,1,0,8
"283",283,2,0,8
"284",284,2,0,8
"285",285,1,0,8
"286",286,1,0,8
"287",287,1,0,8
"288",288,2,0,8
"289",289,2,0,8
"290",290,1,1,9
"291",291,2,0,9
"292",292,1,0,9
"293",293,2,0,9
"294",294,1,0,9
"295",295,1,0,9
"296",296,2,0,9
"297",297,2,0,9
"298",298,1,0,9
"299",299,2,0,9
"300",300,1,0,9
"301",301,1,0,9
"302",302,2,0,9
"303",303,1,0,9
"304",304,2,0,9
"305",305,2,0,9
"306",306,2,0,9
"307",307,2,0,9
"308",308,1,0,9
"309",309,1,0,9
"310",310,1,0,9
"311",311,1,0,9
"312",312,2,0,9
"313",313,1,0,9
"314",314,1,0,9
"315",315,1,0,9
"316",316,1,0,9
"317",317,1,0,9
"318",318,1,0,9
"319",319,2,0,9
"320",320,1,0,9
"321",321,2,0,9
"322",322,2,0,9
"323",323,2,0,9
"324",324,1,0,9
"325",325,1,0,9
"326",326,1,0,9
"327",327,1,0,9
"328",328,2,0,9
"329",329,2,0,9
"330",330,1,0,9
"331",331,2,0,9
"332",332,1,0,9
"333",333,2,0,9
"334",334,1,0,9
"335",335,1,0,9
"336",336,1,0,9
"337",337,1,0,9
"338",338,1,0,9
"339",339,1,0,9
"340",340,1,0,9
"341",341,1,0,9
"342",342,1,0,9
"343",343,2,0,9
"344",344,1,0,9
"345",345,1,0,9
"346",346,2,0,9
"347",347,2,0,9
"348",348,1,0,9
"349",349,1,1,10
"350",350,1,0,10
"351",351,2,0,10
"352",352,1,0,10
"353",353,1,0,10
"354",354,2,0,10
"355",355,1,0,10
"356",356,1,0,10
"357",357,1,0,10
"358",358,2,0,10
"359",359,1,0,10
"360",360,1,0,10
"361",361,1,0,10
"362",362,2,0,10
"363",363,2,0,10
"364",364,1,0,10
"365",365,2,0,10
"366",366,2,0,10
"367",367,2,0,10
"368",368,1,0,10
"369",369,2,0,10
"370",370,2,0,10
"371",371,1,0,10
"372",372,1,0,10
"373",373,1,0,10
"374",374,1,0,10
"375",375,1,0,10
"376",376,1,0,10
"377",377,1,0,10
"378",378,1,0,10
"379",379,1,0,10
"380",380,2,0,10
"381",381,1,0,10
"382",382,1,0,10
"383",383,2,0,10
"384",384,2,0,10
"385",385,2,0,10
"386",386,1,0,10
"387",387,1,0,10
"388",388,1,0,10
"389",389,2,0,10
"390",390,1,0,10
"391",391,1,0,10
"392",392,1,0,10
"393",393,2,0,10
"394",394,2,0,10
"395",395,2,0,10
"396",396,1,0,10
"397",397,1,0,10
"398",398,1,0,10
"399",399,1,0,10
"400",400,1,0,10
"401",401,1,0,10
"402",402,1,0,10
"403",403,1,0,10
"404",404,1,0,10
"405",405,1,1,11
"406",406,1,0,11
"407",407,1,0,11
"408",408,1,0,11
"409",409,2,0,11
"410",410,1,0,11
"411",411,1,0,11
"412",412,1,0,11
"413",413,1,0,11
"414",414,1,0,11
"415",415,1,0,11
"416",416,1,0,11
"417",417,1,0,11
"418",418,1,0,11
"419",419,1,0,11
"420",420,1,0,11
"421",421,1,0,11
"422",422,2,0,11
"423",423,1,0,11
"424",424,1,0,11
"425",425,1,0,11
"426",426,2,0,11
"427",427,2,0,11
"428",428,1,0,11
"429",429,2,0,11
"430",430,1,0,11
"431",431,1,0,11
"432",432,2,0,11
"433",433,1,0,11
"434",434,1,0,11
"435",435,2,0,11
"436",436,1,0,11
"437",437,2,0,11
"438",438,1,0,11
"439",439,1,0,11
"440",440,1,0,11
"441",441,1,0,11
"442",442,2,0,11
"443",443,1,0,11
"444",444,1,0,11
"445",445,2,0,11
"446",446,2,0,11
"447",447,1,0,11
"448",448,1,0,11
"449",449,2,0,11
"450",450,2,0,11
"451",451,2,0,11
"452",452,1,1,12
"453",453,2,0,12
"454",454,2,0,12
"455",455,2,0,12
"456",456,2,0,12
"457",457,2,0,12
"458",458,2,0,12
"459",459,1,0,12
"460",460,1,0,12
"461",461,2,0,12
"462",462,1,0,12
"463",463,2,0,12
"464",464,1,0,12
"465",465,1,0,12
"466",466,2,0,12
"467",467,1,0,12
"468",468,2,0,12
"469",469,1,0,12
"470",470,1,0,12
"471",471,1,0,12
"472",472,2,0,12
"473",473,1,0,12
"474",474,1,0,12
"475",475,1,0,12
"476",476,1,0,12
"477",477,1,0,12
"478",478,2,0,12
"479",479,1,0,12
"480",480,1,0,12
"481",481,1,0,12
"482",482,1,0,12
"483",483,2,0,12
"484",484,1,0,12
"485",485,2,0,12
"486",486,2,0,12
"487",487,2,0,12
"488",488,1,0,12
"489",489,1,0,12
"490",490,2,0,12
"491",491,1,0,12
"492",492,2,0,12
"493",493,1,0,12
"494",494,1,0,12
"495",495,2,0,12
"496",496,1,0,12
"497",497,1,0,12
"498",498,1,0,12
"499",499,1,0,12
"500",500,1,0,12
"501",501,1,0,12
"502",502,1,0,12
"503",503,2,0,12
"504",504,1,0,12
"505",505,1,0,12
"506",506,1,0,12
"507",507,1,0,12
