"","times","ChosenArm","Reward","CumulativeReward","pA","wins.by.A.timeline"
"1",1,2,0,0,0.5,-1
"2",2,1,0,0,0.5,0
"3",3,1,0,0,0.5,0
"4",4,2,0,0,0.5,-1
"5",5,1,0,0,0.5,0
"6",6,2,0,0,0.5,-1
"7",7,1,0,0,0.5,0
"8",8,1,0,0,0.5,0
"9",9,1,0,0,0.5,0
"10",10,1,0,0,0.5,0
"11",11,1,0,0,0.5,0
"12",12,1,0,0,0.5,0
"13",13,2,0,0,0.5,-1
"14",14,2,0,0,0.5,-1
"15",15,1,0,0,0.5,0
"16",16,2,0,0,0.5,-1
"17",17,2,0,0,0.5,-1
"18",18,2,0,0,0.5,-1
"19",19,2,0,0,0.5,-1
"20",20,1,0,0,0.5,0
"21",21,1,0,0,0.5,0
"22",22,1,0,0,0.5,0
"23",23,2,0,0,0.5,-1
"24",24,2,0,0,0.5,-1
"25",25,2,0,0,0.5,-1
"26",26,2,0,0,0.5,-1
"27",27,2,0,0,0.5,-1
"28",28,2,0,0,0.5,-1
"29",29,2,0,0,0.5,-1
"30",30,2,1,1,0.5,-1
"31",31,2,0,1,0.47502081252106,-1
"32",32,2,0,1,0.47502081252106,-1
"33",33,2,0,1,0.47502081252106,-1
"34",34,2,0,1,0.47502081252106,-1
"35",35,1,0,1,0.47502081252106,0
"36",36,2,0,1,0.47502081252106,-1
"37",37,1,0,1,0.47502081252106,0
"38",38,2,0,1,0.47502081252106,-1
"39",39,1,0,1,0.47502081252106,0
"40",40,1,0,1,0.47502081252106,0
"41",41,1,0,1,0.47502081252106,0
"42",42,2,0,1,0.47502081252106,-1
"43",43,2,0,1,0.47502081252106,-1
"44",44,1,0,1,0.47502081252106,0
"45",45,2,0,1,0.47502081252106,-1
"46",46,2,0,1,0.47502081252106,-1
"47",47,2,0,1,0.47502081252106,-1
"48",48,2,0,1,0.47502081252106,-1
"49",49,2,0,1,0.47502081252106,-1
"50",50,1,0,1,0.47502081252106,0
"51",51,2,0,1,0.47502081252106,-1
"52",52,2,0,1,0.47502081252106,-1
"53",53,2,0,1,0.47502081252106,-1
"54",54,1,0,1,0.47502081252106,0
"55",55,1,0,1,0.47502081252106,0
"56",56,2,0,1,0.47502081252106,-1
"57",57,1,0,1,0.47502081252106,0
"58",58,2,0,1,0.47502081252106,-1
"59",59,2,0,1,0.47502081252106,-1
"60",60,2,0,1,0.47502081252106,-1
"61",61,1,0,1,0.47502081252106,0
"62",62,1,0,1,0.47502081252106,0
"63",63,2,0,1,0.47502081252106,-1
"64",64,2,0,1,0.47502081252106,-1
"65",65,1,0,1,0.47502081252106,0
"66",66,2,0,1,0.47502081252106,-1
"67",67,1,0,1,0.47502081252106,0
"68",68,2,0,1,0.47502081252106,-1
"69",69,2,0,1,0.47502081252106,-1
"70",70,2,0,1,0.47502081252106,-1
"71",71,2,0,1,0.47502081252106,-1
"72",72,1,0,1,0.47502081252106,0
"73",73,2,0,1,0.47502081252106,-1
"74",74,2,0,1,0.47502081252106,-1
"75",75,2,0,1,0.47502081252106,-1
"76",76,2,0,1,0.47502081252106,-1
"77",77,1,0,1,0.47502081252106,0
"78",78,2,0,1,0.47502081252106,-1
"79",79,1,0,1,0.47502081252106,0
"80",80,1,0,1,0.47502081252106,0
"81",81,2,0,1,0.47502081252106,-1
"82",82,2,0,1,0.47502081252106,-1
"83",83,2,0,1,0.47502081252106,-1
"84",84,2,0,1,0.47502081252106,-1
"85",85,2,0,1,0.47502081252106,-1
"86",86,2,0,1,0.47502081252106,-1
"87",87,2,0,1,0.47502081252106,-1
"88",88,1,0,1,0.47502081252106,0
"89",89,2,0,1,0.47502081252106,-1
"90",90,1,0,1,0.47502081252106,0
"91",91,1,0,1,0.47502081252106,0
"92",92,2,0,1,0.47502081252106,-1
"93",93,2,0,1,0.47502081252106,-1
"94",94,1,0,1,0.47502081252106,0
"95",95,1,0,1,0.47502081252106,0
"96",96,2,0,1,0.47502081252106,-1
"97",97,1,0,1,0.47502081252106,0
"98",98,2,0,1,0.47502081252106,-1
"99",99,1,0,1,0.47502081252106,0
"100",100,1,0,1,0.47502081252106,0
"101",101,2,0,1,0.47502081252106,-1
"102",102,1,0,1,0.47502081252106,0
"103",103,1,0,1,0.47502081252106,0
"104",104,1,0,1,0.47502081252106,0
"105",105,1,0,1,0.47502081252106,0
"106",106,2,0,1,0.47502081252106,-1
"107",107,1,0,1,0.47502081252106,0
"108",108,2,0,1,0.47502081252106,-1
"109",109,1,0,1,0.47502081252106,0
"110",110,1,0,1,0.47502081252106,0
"111",111,2,0,1,0.47502081252106,-1
"112",112,1,0,1,0.47502081252106,0
"113",113,2,0,1,0.47502081252106,-1
"114",114,1,0,1,0.47502081252106,0
"115",115,1,0,1,0.47502081252106,0
"116",116,2,0,1,0.47502081252106,-1
"117",117,2,0,1,0.47502081252106,-1
"118",118,2,0,1,0.47502081252106,-1
"119",119,1,0,1,0.47502081252106,0
"120",120,2,0,1,0.47502081252106,-1
"121",121,1,0,1,0.47502081252106,0
"122",122,1,0,1,0.47502081252106,0
"123",123,1,0,1,0.47502081252106,0
"124",124,2,0,1,0.47502081252106,-1
"125",125,1,0,1,0.47502081252106,0
"126",126,2,0,1,0.47502081252106,-1
"127",127,1,0,1,0.47502081252106,0
"128",128,2,0,1,0.47502081252106,-1
"129",129,1,0,1,0.47502081252106,0
"130",130,1,0,1,0.47502081252106,0
"131",131,2,0,1,0.47502081252106,-1
"132",132,2,0,1,0.47502081252106,-1
"133",133,2,0,1,0.47502081252106,-1
"134",134,2,0,1,0.47502081252106,-1
