"","T","ChosenArm","Reward","CumulativeReward"
"1",1,2,0,0
"2",2,1,0,0
"3",3,2,0,0
"4",4,1,0,0
"5",5,1,0,0
"6",6,1,0,0
"7",7,1,0,0
"8",8,1,0,0
"9",9,2,0,0
"10",10,1,0,0
"11",11,2,0,0
"12",12,2,0,0
"13",13,2,0,0
"14",14,1,0,0
"15",15,2,0,0
"16",16,2,0,0
"17",17,2,0,0
"18",18,1,0,0
"19",19,1,0,0
"20",20,2,0,0
"21",21,1,0,0
"22",22,2,0,0
"23",23,2,0,0
"24",24,2,0,0
"25",25,2,0,0
"26",26,2,0,0
"27",27,1,0,0
"28",28,2,0,0
"29",29,2,0,0
"30",30,2,0,0
"31",31,2,0,0
"32",32,2,0,0
"33",33,1,0,0
"34",34,1,0,0
"35",35,1,0,0
"36",36,1,0,0
"37",37,2,0,0
"38",38,1,0,0
"39",39,1,0,0
"40",40,2,0,0
"41",41,1,0,0
"42",42,2,0,0
"43",43,2,0,0
"44",44,2,0,0
"45",45,1,0,0
"46",46,1,0,0
"47",47,2,0,0
"48",48,1,0,0
"49",49,1,0,0
"50",50,2,0,0
"51",51,2,0,0
"52",52,2,0,0
"53",53,1,0,0
"54",54,2,1,1
"55",55,2,0,1
"56",56,1,0,1
"57",57,2,0,1
"58",58,1,0,1
"59",59,1,0,1
"60",60,2,0,1
"61",61,1,0,1
"62",62,2,0,1
"63",63,1,0,1
"64",64,1,0,1
"65",65,2,0,1
"66",66,1,0,1
"67",67,1,0,1
"68",68,1,0,1
"69",69,2,0,1
"70",70,2,0,1
"71",71,2,0,1
"72",72,2,0,1
"73",73,2,0,1
"74",74,1,0,1
"75",75,2,0,1
"76",76,2,0,1
"77",77,2,0,1
"78",78,2,0,1
"79",79,1,0,1
"80",80,2,0,1
"81",81,1,0,1
"82",82,1,0,1
"83",83,2,0,1
"84",84,1,0,1
"85",85,1,0,1
"86",86,1,0,1
"87",87,2,0,1
"88",88,2,0,1
"89",89,1,0,1
"90",90,1,0,1
"91",91,2,0,1
"92",92,2,0,1
"93",93,2,0,1
"94",94,2,0,1
"95",95,1,0,1
"96",96,2,0,1
"97",97,2,0,1
"98",98,2,0,1
"99",99,2,0,1
"100",100,2,0,1
