"","T","ChosenArm","Reward","CumulativeReward"
"1",1,1,0,0
"2",2,2,0,0
"3",3,1,0,0
"4",4,1,0,0
"5",5,2,0,0
"6",6,1,0,0
"7",7,2,0,0
"8",8,2,0,0
"9",9,2,0,0
"10",10,2,0,0
"11",11,1,0,0
"12",12,1,0,0
"13",13,2,0,0
"14",14,1,0,0
"15",15,1,0,0
"16",16,2,0,0
"17",17,1,0,0
"18",18,2,0,0
"19",19,2,0,0
"20",20,2,0,0
"21",21,1,0,0
"22",22,1,0,0
"23",23,1,0,0
"24",24,2,0,0
"25",25,2,0,0
"26",26,1,0,0
"27",27,1,0,0
"28",28,1,0,0
"29",29,1,0,0
"30",30,1,0,0
"31",31,1,0,0
"32",32,1,0,0
"33",33,1,0,0
"34",34,2,0,0
"35",35,1,0,0
"36",36,1,0,0
"37",37,2,0,0
"38",38,1,0,0
"39",39,2,1,1
"40",40,2,1,2
"41",41,2,0,2
"42",42,1,0,2
"43",43,2,1,3
"44",44,1,0,3
"45",45,1,0,3
"46",46,1,0,3
"47",47,2,1,4
"48",48,2,1,5
"49",49,1,0,5
"50",50,1,0,5
"51",51,2,0,5
"52",52,2,0,5
"53",53,1,0,5
"54",54,2,0,5
"55",55,1,0,5
"56",56,2,1,6
"57",57,2,0,6
"58",58,1,0,6
"59",59,2,0,6
"60",60,2,0,6
"61",61,1,0,6
"62",62,2,1,7
"63",63,2,0,7
"64",64,2,0,7
"65",65,2,0,7
"66",66,2,0,7
"67",67,2,1,8
"68",68,2,0,8
"69",69,1,0,8
"70",70,2,0,8
"71",71,2,0,8
"72",72,2,0,8
"73",73,2,0,8
"74",74,2,0,8
"75",75,2,0,8
"76",76,1,0,8
"77",77,1,0,8
"78",78,2,0,8
"79",79,2,0,8
"80",80,2,0,8
"81",81,2,0,8
"82",82,1,0,8
"83",83,2,0,8
"84",84,2,0,8
"85",85,1,0,8
"86",86,2,0,8
"87",87,2,0,8
"88",88,2,0,8
"89",89,1,0,8
"90",90,2,0,8
"91",91,1,0,8
"92",92,1,0,8
"93",93,2,0,8
"94",94,1,0,8
"95",95,2,0,8
"96",96,2,0,8
"97",97,2,0,8
"98",98,2,0,8
"99",99,2,0,8
"100",100,2,0,8
