"","T","ChosenArm","Reward","CumulativeReward"
"1",1,2,0,0
"2",2,2,-1,-1
"3",3,1,0,-1
"4",4,1,0,-1
"5",5,1,0,-1
"6",6,2,0,-1
"7",7,1,0,-1
"8",8,2,0,-1
"9",9,2,0,-1
"10",10,1,0,-1
"11",11,2,0,-1
"12",12,2,0,-1
"13",13,2,0,-1
"14",14,2,0,-1
"15",15,2,0,-1
"16",16,1,0,-1
"17",17,2,0,-1
"18",18,1,0,-1
"19",19,1,0,-1
"20",20,1,0,-1
"21",21,1,-1,-2
"22",22,2,-1,-3
"23",23,1,-1,-4
"24",24,1,-1,-5
"25",25,2,0,-5
"26",26,2,0,-5
"27",27,1,-1,-6
"28",28,2,0,-6
"29",29,1,-1,-7
"30",30,2,-1,-8
"31",31,2,0,-8
"32",32,1,-1,-9
"33",33,2,-1,-10
"34",34,1,-1,-11
"35",35,2,0,-11
"36",36,2,0,-11
"37",37,2,0,-11
"38",38,2,-1,-12
"39",39,2,0,-12
"40",40,2,0,-12
"41",41,2,0,-12
"42",42,2,0,-12
"43",43,2,0,-12
"44",44,1,-1,-13
"45",45,2,0,-13
"46",46,2,0,-13
"47",47,2,-1,-14
"48",48,2,0,-14
"49",49,2,0,-14
"50",50,1,-1,-15
"51",51,2,-1,-16
"52",52,1,-1,-17
"53",53,2,0,-17
"54",54,1,-1,-18
"55",55,1,-1,-19
"56",56,2,0,-19
"57",57,2,0,-19
"58",58,2,-1,-20
"59",59,2,0,-20
"60",60,1,-1,-21
"61",61,2,0,-21
"62",62,2,0,-21
"63",63,2,0,-21
"64",64,2,0,-21
"65",65,1,-1,-22
"66",66,2,0,-22
"67",67,1,-1,-23
"68",68,2,0,-23
"69",69,2,0,-23
"70",70,1,-1,-24
"71",71,2,0,-24
"72",72,2,-1,-25
"73",73,2,0,-25
"74",74,2,-1,-26
"75",75,2,-1,-27
"76",76,2,-1,-28
"77",77,1,-1,-29
"78",78,2,0,-29
"79",79,2,0,-29
"80",80,2,0,-29
"81",81,2,0,-29
"82",82,2,0,-29
"83",83,2,-1,-30
"84",84,2,0,-30
"85",85,2,0,-30
"86",86,2,0,-30
"87",87,2,0,-30
"88",88,2,0,-30
"89",89,2,0,-30
"90",90,2,0,-30
"91",91,2,0,-30
"92",92,2,0,-30
"93",93,2,0,-30
"94",94,2,0,-30
"95",95,2,0,-30
"96",96,1,-1,-31
"97",97,2,0,-31
"98",98,2,0,-31
"99",99,2,0,-31
"100",100,2,-1,-32
