"","T","ChosenArm","Reward","CumulativeReward"
"1",1,2,0,0
"2",2,2,0,0
"3",3,2,0,0
"4",4,1,0,0
"5",5,2,0,0
"6",6,1,0,0
"7",7,2,0,0
"8",8,1,0,0
"9",9,2,0,0
"10",10,2,0,0
"11",11,1,0,0
"12",12,2,0,0
"13",13,2,0,0
"14",14,2,0,0
"15",15,2,0,0
"16",16,2,0,0
"17",17,2,0,0
"18",18,2,0,0
"19",19,1,0,0
"20",20,1,0,0
"21",21,2,0,0
"22",22,2,0,0
"23",23,1,0,0
"24",24,2,0,0
"25",25,2,0,0
"26",26,2,0,0
"27",27,2,0,0
"28",28,2,1,1
"29",29,2,0,1
"30",30,1,0,1
"31",31,2,0,1
"32",32,2,0,1
"33",33,2,0,1
"34",34,1,0,1
"35",35,1,0,1
"36",36,2,0,1
"37",37,2,0,1
"38",38,2,0,1
"39",39,1,0,1
"40",40,1,0,1
"41",41,1,0,1
"42",42,2,0,1
"43",43,2,0,1
"44",44,1,0,1
"45",45,2,0,1
"46",46,1,0,1
"47",47,2,0,1
"48",48,2,0,1
"49",49,2,0,1
"50",50,2,0,1
"51",51,1,0,1
"52",52,2,0,1
"53",53,2,0,1
"54",54,1,0,1
"55",55,2,0,1
"56",56,2,0,1
"57",57,2,0,1
"58",58,2,0,1
"59",59,1,0,1
"60",60,2,0,1
"61",61,2,0,1
"62",62,1,0,1
"63",63,1,0,1
"64",64,1,0,1
"65",65,1,0,1
"66",66,2,0,1
"67",67,1,0,1
"68",68,1,0,1
"69",69,1,0,1
"70",70,2,0,1
"71",71,2,0,1
"72",72,1,0,1
"73",73,1,0,1
"74",74,2,0,1
"75",75,2,0,1
"76",76,2,0,1
"77",77,2,0,1
"78",78,1,0,1
"79",79,1,0,1
"80",80,2,0,1
"81",81,2,0,1
"82",82,1,0,1
"83",83,1,1,2
"84",84,2,0,2
"85",85,2,0,2
"86",86,1,0,2
"87",87,1,0,2
"88",88,2,0,2
"89",89,1,0,2
"90",90,1,0,2
"91",91,1,0,2
"92",92,1,0,2
"93",93,2,1,3
"94",94,1,0,3
"95",95,2,0,3
"96",96,2,0,3
"97",97,1,0,3
"98",98,2,0,3
"99",99,1,0,3
"100",100,2,0,3
"101",101,2,0,3
"102",102,1,0,3
"103",103,1,0,3
"104",104,2,0,3
"105",105,2,0,3
"106",106,2,0,3
"107",107,2,0,3
"108",108,1,0,3
"109",109,1,0,3
"110",110,2,0,3
"111",111,2,0,3
"112",112,1,0,3
"113",113,1,0,3
"114",114,2,0,3
"115",115,2,0,3
"116",116,1,0,3
"117",117,1,0,3
"118",118,2,0,3
"119",119,1,0,3
"120",120,1,0,3
"121",121,2,0,3
"122",122,2,0,3
"123",123,1,0,3
"124",124,1,1,4
"125",125,1,0,4
"126",126,1,0,4
"127",127,1,0,4
"128",128,1,0,4
"129",129,1,0,4
"130",130,1,0,4
"131",131,1,0,4
"132",132,2,0,4
"133",133,2,0,4
"134",134,2,0,4
"135",135,2,0,4
"136",136,1,0,4
"137",137,2,0,4
"138",138,2,0,4
"139",139,2,0,4
"140",140,2,0,4
"141",141,1,0,4
"142",142,1,0,4
"143",143,2,0,4
"144",144,2,0,4
"145",145,1,0,4
"146",146,2,0,4
"147",147,1,0,4
"148",148,2,0,4
"149",149,1,0,4
"150",150,2,0,4
"151",151,1,0,4
"152",152,2,0,4
"153",153,2,0,4
"154",154,2,0,4
"155",155,1,0,4
"156",156,1,0,4
"157",157,1,0,4
"158",158,1,0,4
"159",159,2,1,5
"160",160,1,0,5
"161",161,1,0,5
"162",162,1,0,5
"163",163,1,0,5
"164",164,1,0,5
"165",165,1,0,5
"166",166,1,0,5
"167",167,2,0,5
"168",168,1,0,5
"169",169,2,0,5
"170",170,1,0,5
"171",171,2,0,5
"172",172,2,0,5
"173",173,1,0,5
"174",174,1,0,5
"175",175,2,0,5
"176",176,2,0,5
"177",177,2,0,5
"178",178,1,0,5
"179",179,1,0,5
"180",180,2,0,5
"181",181,2,0,5
"182",182,1,0,5
"183",183,1,0,5
"184",184,2,0,5
"185",185,2,0,5
"186",186,2,0,5
"187",187,2,0,5
"188",188,1,0,5
"189",189,1,0,5
"190",190,1,0,5
"191",191,1,0,5
"192",192,1,0,5
"193",193,1,1,6
"194",194,2,0,6
"195",195,1,1,7
"196",196,2,0,7
"197",197,1,0,7
"198",198,1,0,7
"199",199,1,0,7
"200",200,2,0,7
"201",201,1,0,7
"202",202,2,0,7
"203",203,1,0,7
"204",204,2,1,8
"205",205,1,0,8
"206",206,2,0,8
"207",207,2,0,8
"208",208,1,0,8
"209",209,1,0,8
"210",210,2,0,8
"211",211,1,0,8
"212",212,1,0,8
"213",213,2,0,8
"214",214,2,0,8
"215",215,2,0,8
"216",216,2,0,8
"217",217,2,0,8
"218",218,1,0,8
"219",219,1,0,8
"220",220,2,0,8
"221",221,1,0,8
"222",222,2,0,8
"223",223,2,0,8
"224",224,2,0,8
"225",225,2,0,8
"226",226,1,0,8
"227",227,1,0,8
"228",228,1,1,9
"229",229,2,0,9
"230",230,2,0,9
"231",231,2,0,9
"232",232,1,0,9
"233",233,2,1,10
"234",234,2,0,10
"235",235,1,0,10
"236",236,1,0,10
"237",237,1,0,10
"238",238,2,0,10
"239",239,2,0,10
"240",240,1,0,10
"241",241,2,0,10
"242",242,2,0,10
"243",243,2,0,10
"244",244,2,0,10
"245",245,1,0,10
"246",246,2,0,10
"247",247,1,0,10
"248",248,1,0,10
"249",249,2,0,10
"250",250,2,0,10
"251",251,1,0,10
"252",252,2,0,10
"253",253,2,0,10
"254",254,1,1,11
"255",255,1,0,11
"256",256,2,0,11
"257",257,1,0,11
"258",258,2,0,11
"259",259,1,0,11
"260",260,2,0,11
"261",261,2,0,11
"262",262,2,0,11
"263",263,2,0,11
"264",264,2,0,11
"265",265,2,0,11
"266",266,2,0,11
"267",267,1,0,11
"268",268,1,0,11
"269",269,1,0,11
"270",270,1,0,11
"271",271,1,0,11
"272",272,1,0,11
"273",273,2,0,11
"274",274,1,0,11
"275",275,1,0,11
"276",276,2,0,11
"277",277,2,0,11
"278",278,1,0,11
"279",279,1,0,11
"280",280,2,0,11
"281",281,2,0,11
"282",282,1,0,11
"283",283,1,0,11
"284",284,2,0,11
"285",285,1,0,11
"286",286,1,0,11
"287",287,2,0,11
"288",288,2,0,11
"289",289,2,0,11
"290",290,1,0,11
"291",291,2,0,11
"292",292,2,0,11
"293",293,2,0,11
"294",294,2,0,11
"295",295,1,0,11
"296",296,1,0,11
"297",297,1,0,11
"298",298,2,0,11
"299",299,1,0,11
"300",300,2,0,11
"301",301,2,1,12
"302",302,1,0,12
"303",303,1,0,12
"304",304,1,0,12
"305",305,2,0,12
"306",306,1,0,12
"307",307,2,0,12
"308",308,1,0,12
"309",309,1,0,12
"310",310,1,0,12
"311",311,1,0,12
"312",312,1,0,12
"313",313,1,0,12
"314",314,1,0,12
"315",315,2,0,12
"316",316,1,0,12
"317",317,1,0,12
"318",318,2,0,12
"319",319,2,0,12
"320",320,2,0,12
"321",321,1,0,12
"322",322,1,0,12
"323",323,1,0,12
"324",324,1,0,12
"325",325,2,0,12
"326",326,1,0,12
"327",327,2,0,12
"328",328,1,0,12
"329",329,1,1,13
"330",330,2,0,13
"331",331,1,0,13
"332",332,1,0,13
"333",333,2,0,13
"334",334,2,0,13
"335",335,2,0,13
"336",336,1,0,13
"337",337,2,0,13
"338",338,2,1,14
"339",339,2,0,14
"340",340,1,0,14
"341",341,1,0,14
"342",342,1,0,14
"343",343,1,0,14
"344",344,1,0,14
"345",345,1,0,14
"346",346,2,0,14
"347",347,1,0,14
"348",348,2,0,14
"349",349,1,0,14
"350",350,1,0,14
"351",351,1,0,14
"352",352,2,0,14
"353",353,1,0,14
"354",354,1,0,14
"355",355,2,0,14
"356",356,1,0,14
"357",357,1,0,14
"358",358,2,0,14
"359",359,1,0,14
"360",360,1,0,14
"361",361,2,0,14
"362",362,1,0,14
"363",363,1,0,14
"364",364,2,0,14
"365",365,1,0,14
"366",366,1,0,14
"367",367,1,0,14
"368",368,2,0,14
"369",369,2,0,14
"370",370,2,0,14
"371",371,1,0,14
"372",372,2,0,14
"373",373,2,0,14
"374",374,2,0,14
"375",375,2,0,14
"376",376,1,0,14
"377",377,2,0,14
"378",378,2,0,14
"379",379,1,0,14
"380",380,1,0,14
"381",381,1,0,14
"382",382,1,0,14
"383",383,2,0,14
"384",384,2,0,14
"385",385,1,0,14
"386",386,1,0,14
"387",387,1,0,14
"388",388,1,0,14
"389",389,2,0,14
"390",390,1,0,14
"391",391,2,0,14
"392",392,2,0,14
"393",393,1,0,14
"394",394,2,1,15
"395",395,1,0,15
"396",396,2,0,15
"397",397,2,0,15
"398",398,1,0,15
"399",399,2,0,15
"400",400,2,0,15
"401",401,1,0,15
"402",402,2,0,15
"403",403,1,0,15
"404",404,2,0,15
"405",405,2,0,15
"406",406,2,0,15
"407",407,1,0,15
"408",408,2,1,16
"409",409,2,0,16
"410",410,2,0,16
"411",411,2,0,16
"412",412,2,0,16
"413",413,2,0,16
"414",414,1,0,16
"415",415,2,0,16
"416",416,1,0,16
"417",417,2,0,16
"418",418,2,0,16
"419",419,1,0,16
"420",420,2,0,16
"421",421,2,0,16
"422",422,1,0,16
"423",423,2,0,16
"424",424,1,0,16
"425",425,1,0,16
"426",426,1,0,16
"427",427,2,0,16
"428",428,1,0,16
"429",429,1,0,16
"430",430,2,0,16
"431",431,1,0,16
"432",432,2,0,16
"433",433,2,0,16
"434",434,1,0,16
"435",435,2,0,16
"436",436,2,0,16
"437",437,1,0,16
"438",438,2,0,16
"439",439,2,0,16
"440",440,2,0,16
"441",441,2,0,16
"442",442,1,0,16
"443",443,1,0,16
"444",444,1,0,16
"445",445,1,0,16
"446",446,2,0,16
"447",447,1,0,16
"448",448,2,0,16
"449",449,2,0,16
"450",450,2,1,17
"451",451,2,0,17
"452",452,2,0,17
"453",453,2,0,17
"454",454,1,0,17
"455",455,1,0,17
"456",456,2,0,17
"457",457,2,0,17
"458",458,1,0,17
"459",459,2,0,17
"460",460,1,0,17
"461",461,2,0,17
"462",462,2,0,17
"463",463,1,0,17
"464",464,2,0,17
"465",465,2,0,17
"466",466,1,0,17
"467",467,1,0,17
"468",468,1,0,17
"469",469,2,0,17
"470",470,1,0,17
"471",471,2,0,17
"472",472,2,0,17
"473",473,1,0,17
"474",474,2,0,17
"475",475,2,0,17
"476",476,1,0,17
"477",477,2,0,17
"478",478,1,0,17
"479",479,1,0,17
"480",480,1,0,17
"481",481,2,0,17
"482",482,1,0,17
"483",483,1,0,17
"484",484,1,0,17
"485",485,2,0,17
"486",486,2,0,17
"487",487,2,0,17
"488",488,1,0,17
"489",489,1,0,17
"490",490,2,0,17
"491",491,1,0,17
"492",492,2,0,17
"493",493,1,0,17
"494",494,1,0,17
"495",495,1,1,18
"496",496,2,0,18
"497",497,1,0,18
"498",498,2,0,18
"499",499,1,0,18
"500",500,2,0,18
"501",501,2,0,18
"502",502,1,0,18
"503",503,2,0,18
"504",504,2,0,18
"505",505,2,0,18
"506",506,1,0,18
"507",507,2,0,18
