"","0.02","0.03"
"1",24,76
"2",41,59
"3",40,60
"4",24,76
"5",51,49
"6",39,61
"7",67,33
"8",38,62
"9",52,48
"10",72,28
"11",44,56
"12",25,75
"13",34,66
"14",53,47
"15",41,59
"16",38,62
"17",42,58
"18",44,56
"19",57,43
"20",36,64
"21",52,48
"22",40,60
"23",38,62
"24",59,41
"25",43,57
"26",20,80
"27",45,55
"28",31,69
"29",43,57
"30",21,79
"31",19,81
"32",60,40
"33",51,49
"34",33,67
"35",49,51
"36",42,58
"37",33,67
"38",23,77
"39",22,78
"40",29,71
