"","times","ChosenArm","Reward","pA","wins.by.A.timeline"
"1",1,2,0,NA,0
"2",2,1,0,NA,0
"3",3,1,0,NA,0
"4",4,1,0,NA,0
"5",5,1,0,NA,0
"6",6,2,0,NA,0
"7",7,1,0,NA,0
"8",8,2,0,NA,0
"9",9,1,0,NA,0
"10",10,1,0,NA,0
"11",11,1,0,NA,0
"12",12,1,0,NA,0
"13",13,2,0,NA,0
"14",14,1,0,NA,0
"15",15,1,0,NA,0
"16",16,2,0,NA,0
"17",17,1,0,NA,0
"18",18,2,0,NA,0
"19",19,1,0,NA,0
"20",20,2,0,NA,0
"21",21,2,0,NA,0
"22",22,2,0,NA,0
"23",23,2,0,NA,0
"24",24,2,0,NA,0
"25",25,2,0,NA,0
"26",26,2,0,NA,0
"27",27,1,0,NA,0
"28",28,2,0,NA,0
"29",29,1,0,NA,0
"30",30,2,0,NA,0
"31",31,1,0,NA,0
"32",32,2,0,NA,0
"33",33,2,0,NA,0
"34",34,1,0,NA,0
"35",35,2,0,NA,0
"36",36,1,0,NA,0
"37",37,1,0,NA,0
"38",38,1,0,NA,0
"39",39,2,0,NA,0
"40",40,1,0,NA,0
"41",41,2,0,NA,0
"42",42,1,0,NA,0
"43",43,2,0,NA,0
"44",44,2,0,NA,0
"45",45,2,0,NA,0
"46",46,2,0,NA,0
"47",47,2,0,NA,0
"48",48,1,0,NA,0
"49",49,1,0,NA,0
"50",50,2,0,NA,0
"51",51,1,0,NA,0
"52",52,2,0,NA,0
"53",53,1,0,NA,0
"54",54,1,0,NA,0
"55",55,2,1,NA,0
"56",56,2,0,NA,0
"57",57,2,0,NA,0
"58",58,2,0,NA,0
"59",59,2,0,NA,0
"60",60,2,0,NA,0
"61",61,2,0,NA,0
"62",62,2,0,NA,0
"63",63,1,0,NA,0
"64",64,1,0,NA,0
"65",65,2,0,NA,0
"66",66,1,0,NA,0
"67",67,2,0,NA,0
"68",68,1,0,NA,0
"69",69,2,0,NA,0
"70",70,2,0,NA,0
"71",71,1,0,NA,0
"72",72,2,0,NA,0
"73",73,2,0,NA,0
"74",74,2,0,NA,0
"75",75,2,0,NA,0
"76",76,1,0,NA,0
"77",77,2,0,NA,0
"78",78,1,0,NA,0
"79",79,1,0,NA,0
"80",80,2,0,NA,0
"81",81,2,0,NA,0
"82",82,2,1,NA,0
"83",83,2,0,NA,0
"84",84,1,0,NA,0
"85",85,2,0,NA,0
"86",86,2,0,NA,0
"87",87,2,0,NA,0
"88",88,2,0,NA,0
"89",89,1,0,NA,0
"90",90,2,0,NA,0
"91",91,2,0,NA,0
"92",92,2,0,NA,0
"93",93,1,0,NA,0
"94",94,1,0,NA,0
"95",95,2,0,NA,0
"96",96,1,0,NA,0
"97",97,1,0,NA,0
"98",98,1,0,NA,0
"99",99,1,0,NA,0
"100",100,1,0,NA,0
"101",101,1,0,NA,0
"102",102,1,0,NA,0
"103",103,2,0,NA,0
"104",104,1,0,NA,0
"105",105,1,0,NA,0
"106",106,2,0,NA,0
"107",107,2,0,NA,0
"108",108,2,0,NA,0
"109",109,1,0,NA,0
"110",110,2,0,NA,0
"111",111,2,0,NA,0
"112",112,1,0,NA,0
"113",113,2,0,NA,0
"114",114,1,0,NA,0
"115",115,2,0,NA,0
"116",116,1,0,NA,0
"117",117,2,0,NA,0
"118",118,2,0,NA,0
"119",119,1,0,NA,0
"120",120,1,0,NA,0
"121",121,1,0,NA,0
"122",122,1,0,NA,0
"123",123,2,0,NA,0
"124",124,2,0,NA,0
"125",125,2,0,NA,0
"126",126,1,0,NA,0
"127",127,2,0,NA,0
"128",128,2,0,NA,0
"129",129,1,1,NA,0
"130",130,1,0,NA,0
"131",131,2,0,NA,0
"132",132,2,0,NA,0
"133",133,1,0,NA,0
"134",134,2,0,NA,0
"135",135,2,0,NA,0
"136",136,1,0,NA,0
"137",137,2,0,NA,0
"138",138,2,0,NA,0
"139",139,1,0,NA,0
"140",140,1,0,NA,0
"141",141,1,0,NA,0
"142",142,1,0,NA,0
"143",143,2,0,NA,0
"144",144,2,0,NA,0
"145",145,2,0,NA,0
"146",146,2,0,NA,0
"147",147,1,0,NA,0
"148",148,1,0,NA,0
"149",149,2,0,NA,0
"150",150,2,0,NA,0
"151",151,2,0,NA,0
"152",152,2,0,NA,0
"153",153,1,0,NA,0
"154",154,2,0,NA,0
"155",155,1,0,NA,0
"156",156,2,0,NA,0
"157",157,2,0,NA,0
"158",158,2,0,NA,0
"159",159,2,0,NA,0
"160",160,1,0,NA,0
"161",161,1,0,NA,0
"162",162,2,0,NA,0
"163",163,1,0,NA,0
"164",164,1,0,NA,0
"165",165,2,0,NA,0
"166",166,2,0,NA,0
"167",167,2,0,NA,0
