"","0.02","0.03"
"1",156,244
"2",331,69
"3",152,248
"4",173,227
"5",280,120
"6",170,230
"7",355,45
"8",69,331
"9",151,249
"10",174,226
"11",345,55
"12",160,240
"13",185,215
"14",348,52
"15",345,55
"16",136,264
"17",40,360
"18",123,277
"19",46,354
"20",293,107
"21",336,64
"22",183,217
"23",150,250
"24",58,342
"25",53,347
"26",183,217
"27",61,339
"28",54,346
"29",229,171
"30",170,230
