"Ranking","occult.prob","X","Y","unicode"
"96","0","222989.014215628","8179848.54535596","1.24.1.108B"
"97","0","223001.339650386","8179849.76249943","1.24.1.108C"
"98","0","223027.443647986","8179877.42905019","1.24.1.109"
"99","0","222531.235348279","8179795.52281054","1.24.1.11"
"100","0","223027.004335577","8179861.09422965","1.24.1.110"
"101","0","223022.84407367","8179837.8445663","1.24.1.111"
"102","0","223045.193507338","8179838.64757133","1.24.1.112"
"103","0","223070.605143296","8179834.44706597","1.24.1.113"
"104","0","223104.947457597","8179827.06096849","1.24.1.114"
"105","0","223115.247921218","8179825.98054299","1.24.1.115"
"106","0","223122.937074081","8179820.59284859","1.24.1.115A"
"107","0","223133.961890029","8179820.2143711","1.24.1.116"
"108","0","223147.016787016","8179840.73562986","1.24.1.117"
"109","0","223152.130236361","8180139.21708034","1.24.1.118"
"110","0","223160.363093489","8180284.67835975","1.24.1.119"
"111","0","222540.42171646","8179775.1769722","1.24.1.12"
"112","0","223124.920430203","8180337.85663169","1.24.1.120"
"113","0","223202.286112857","8180251.81837393","1.24.1.121"
"114","0","223195.920899235","8180221.48587185","1.24.1.122"
"115","0","223200.09848142","8180112.54310649","1.24.1.123"
"116","0","223179.02982596","8179845.28847066","1.24.1.124"
"117","0","223170.989499104","8179819.3042816","1.24.1.125"
"118","0","223182.234134254","8179819.6753344","1.24.1.126"
"119","0","223194.353545564","8179820.06302744","1.24.1.127"
"120","0","223201.935751166","8179816.84714803","1.24.1.128"
"121","0","223211.686894002","8179816.42776598","1.24.1.129"
"122","0","222549.911152927","8179773.92129487","1.24.1.13"
"123","0","223219.472626176","8179817.30644981","1.24.1.130"
"124","0","223231.117274593","8179816.36618769","1.24.1.131"
"125","0","223258.26423745","8179814.51710566","1.24.1.132"
"126","0","223274.988073479","8179812.31392437","1.24.1.133"
"127","0","223289.545135825","8179811.0745981","1.24.1.134"
"128","0","223305.83715395","8179813.65980009","1.24.1.135"
"129","0","223334.238794486","8179802.24058124","1.24.1.136"
"130","0","223339.913552293","8179800.96297737","1.24.1.137"
"131","0","223347.159351003","8179799.46633117","1.24.1.138"
"132","0","223352.97319681","8179798.75759862","1.24.1.139"
"133","0","222543.34669566","8179792.69980729","1.24.1.14"
"134","0","223362.869896588","8179799.79577878","1.24.1.140"
"135","0","223376.13713066","8179799.37267314","1.24.1.141"
"136","0","223388.978742145","8179797.92176883","1.24.1.142"
"137","0","223398.188169208","8179797.14503928","1.24.1.143"
"138","0","223402.41221905","8179796.36594124","1.24.1.143A"
"139","0","223410.997918002","8179796.53304708","1.24.1.143B"
"140","0","223418.035726487","8179796.67002124","1.24.1.143C"
"141","0","223423.661094946","8179797.87195072","1.24.1.144"
"142","0","223429.096315681","8179797.741302","1.24.1.145"
"143","0","223441.167013348","8179795.50217997","1.24.1.146"
"144","0","223453.239988168","8179792.74259463","1.24.1.147"
"145","0","223462.775786393","8179792.6834163","1.24.1.148"
"146","0","223474.193107298","8179791.81386901","1.24.1.149"
"147","0","222572.59025387","8179788.11838857","1.24.1.15"
"148","0","223487.704774844","8179791.38019805","1.24.1.150"
"149","0","223504.37384123","8179787.43331462","1.24.1.151"
"150","0","223430.02356937","8179762.94064728","1.24.1.152"
"151","0","223458.135910723","8179766.48646782","1.24.1.153"
"152","0","223464.897647155","8179764.92784622","1.24.1.154"
"153","0","223472.898422497","8179764.81573424","1.24.1.155"
"154","0","223482.014824925","8179763.14730143","1.24.1.156"
"155","0","223490.63034671","8179761.79918679","1.24.1.157"
"156","0","223497.943287989","8179761.87040133","1.24.1.158"
"157","0","223508.921159549","8179758.80520049","1.24.1.159"
"158","0","222571.730082448","8179832.88540227","1.24.1.16"
"159","0","223485.141515869","8179733.2786056","1.24.1.160"
"160","0","223447.458712166","8179708.37101881","1.24.1.161"
"161","0","223457.96104749","8179687.11752305","1.24.1.162"
"162","0","223455.441131751","8179675.37832306","1.24.1.163"
"163","0","223452.236675622","8179667.71742057","1.24.1.164"
"164","0","223453.161885854","8179654.61714497","1.24.1.165"
"165","0","223451.742678176","8179649.42618787","1.24.1.166"
"166","0","223449.301255182","8179640.94394536","1.24.1.167"
"167","0","223443.258521535","8179630.4675915","1.24.1.168"
"168","0","223436.343617233","8179634.7807785","1.24.1.169"
"169","0","222570.548703269","8179873.72023957","1.24.1.17"
"170","0","223427.460201078","8179636.96027634","1.24.1.170"
"171","0","223422.293221848","8179638.57484584","1.24.1.171"
"172","0","223415.363907141","8179641.44690463","1.24.1.172"
"173","0","223411.502434418","8179643.80569956","1.24.1.173"
"174","0","223408.144321554","8179644.74888833","1.24.1.174"
"175","0","223404.343840605","8179645.3803121","1.24.1.174A"
"176","0","223402.140461244","8179647.76932412","1.24.1.175"
"177","0","223398.873186259","8179649.20696476","1.24.1.175A"
"178","0","223395.798789593","8179649.95988116","1.24.1.176"
"179","0","223388.271570126","8179651.22536529","1.24.1.177"
"180","0","223382.769472232","8179653.97032921","1.24.1.178"
"181","0","223373.448582111","8179657.10420377","1.24.1.179"
"182","0","222572.013285775","8179890.11562653","1.24.1.18"
"183","0","223378.080620027","8179665.67249824","1.24.1.180"
"184","0","223380.941982172","8179671.98020585","1.24.1.181"
"185","0","223387.337786242","8179681.03962305","1.24.1.182"
"186","0","223390.147114405","8179690.88692988","1.24.1.183"
"187","0","223391.379192748","8179695.6669142","1.24.1.184"
"188","0","223395.802947085","8179700.29775423","1.24.1.184A"
"189","0","223396.615698303","8179704.9459267","1.24.1.184B"
"190","0","223397.98078534","8179708.07265234","1.24.1.184C"
"191","0","223403.407254016","8179713.43496861","1.24.1.185"
"192","0","223430.787261927","8179706.40835021","1.24.1.186"
"193","0","223406.127282016","8179721.52380039","1.24.1.187"
"194","0","223376.679649759","8179710.68499476","1.24.1.188"
"195","0","223371.894781345","8179704.22914378","1.24.1.189"
"196","0","222558.966449956","8179895.4668435","1.24.1.19"
"197","0","223370.106339658","8179691.34833702","1.24.1.190"
"198","0","223364.492922957","8179679.91864377","1.24.1.191"
"199","0","223357.463705918","8179667.68963248","1.24.1.192"
"200","0","223348.377586528","8179668.35640858","1.24.1.193"
"201","0","223340.721674497","8179671.28708206","1.24.1.194"
"202","0","223330.211954532","8179672.94755217","1.24.1.195"
"203","0","223333.948904516","8179670.7119226","1.24.1.195A"
"204","0","223325.72972481","8179673.79981406","1.24.1.196"
"205","0","223321.153186305","8179680.16662604","1.24.1.197"
"206","0","223302.542771772","8179685.64428163","1.24.1.198"
"207","0","223286.429901053","8179690.21450387","1.24.1.199"
"208","0","222351.387887209","8179853.04476341","1.24.1.2"
"209","0","222548.224307188","8179902.09230702","1.24.1.20"
"210","0","223289.023408286","8179702.57858324","1.24.1.200"
"211","0","223294.541568426","8179713.4628591","1.24.1.201"
"212","0","223301.568572723","8179725.7613216","1.24.1.202"
"213","0","223308.204660088","8179724.34468183","1.24.1.203"
"214","0","223317.358641803","8179722.95566718","1.24.1.204"
"215","0","223323.534520984","8179719.89415472","1.24.1.205"
"216","0","223345.332370768","8179716.37934091","1.24.1.206"
"217","0","223353.75827672","8179714.64460507","1.24.1.207"
"218","0","223365.964416395","8179713.07263219","1.24.1.208"
"219","0","223381.110101562","8179746.10758","1.24.1.209"
"220","0","222537.398850241","8179915.20543954","1.24.1.21"
"221","0","223361.966960643","8179733.34985724","1.24.1.210"
"222","0","223350.548792828","8179734.18319412","1.24.1.211"
"223","0","223337.946319186","8179739.2411967","1.24.1.212"
"224","0","223310.772122858","8179743.21791754","1.24.1.213"
"225","0","223315.945203389","8179752.91626011","1.24.1.214"
"226","0","223323.207274336","8179762.18740583","1.24.1.215"
"227","0","223323.510438705","8179770.00490975","1.24.1.216"
"228","0","223323.591199541","8179773.31695746","1.24.1.216A"
"229","0","223330.13714321","8179783.74327367","1.24.1.217"
"230","0","223342.613090188","8179781.17858091","1.24.1.218"
"231","0","223351.743807159","8179779.12399373","1.24.1.219"
"232","0","222530.487159053","8179925.4219234","1.24.1.22"
"233","0","223371.104126791","8179775.81051907","1.24.1.220"
"234","0","223293.549931764","8179785.81429208","1.24.1.221"
"235","0","223270.903622664","8179763.66250907","1.24.1.222"
"236","0","223258.47574371","8179764.17284419","1.24.1.223"
"237","0","223247.597090516","8179767.2651204","1.24.1.224"
"238","0","223251.532206702","8179774.19920089","1.24.1.225"
"239","0","223257.580615293","8179790.49618501","1.24.1.226"
"240","0","223234.515359866","8179793.08563123","1.24.1.227"
"241","0","223231.885643765","8179780.38662152","1.24.1.228"
"242","0","223226.465568839","8179767.35074769","1.24.1.229"
"243","0","222520.879353273","8179940.80276571","1.24.1.23"
"244","0","223208.951330612","8179759.24163765","1.24.1.230"
"245","0","223213.245169682","8179755.74178153","1.24.1.231"
"246","0","223221.855962828","8179755.51974599","1.24.1.232"
"247","0","223230.839547049","8179752.41391556","1.24.1.233"
"248","0","223238.589106411","8179749.62551213","1.24.1.234"
"249","0","223247.79000703","8179746.96704038","1.24.1.235"
"250","0","223257.091451528","8179744.42967666","1.24.1.236"
"251","0","223264.705187765","8179739.787851","1.24.1.237"
"252","0","223273.855562175","8179736.27135973","1.24.1.238"
"253","0","223284.677564897","8179735.99545568","1.24.1.239"
"254","0","222465.21400663","8179906.32391684","1.24.1.24"
"255","0","223267.381288082","8179697.04532554","1.24.1.240"
"256","0","223256.693995283","8179701.42795851","1.24.1.241"
"257","0","223246.620314712","8179705.82233969","1.24.1.242"
"258","0","223228.400002876","8179712.25767079","1.24.1.243"
"259","0","223217.616213727","8179722.15297397","1.24.1.244"
"260","0","223206.526225798","8179721.95603872","1.24.1.245"
"261","0","223198.985378445","8179721.96576183","1.24.1.245A"
"262","0","223194.315152761","8179725.54403237","1.24.1.246"
"263","0","223184.270890855","8179727.62730873","1.24.1.247"
"264","0","223175.120769392","8179732.51232693","1.24.1.248"
"265","0","223161.318860966","8179745.38915507","1.24.1.249"
"266","0","222547.54372431","8179955.88216213","1.24.1.25"
"267","0","223165.391884446","8179782.83056033","1.24.1.250"
"268","0","223162.136779363","8179797.97517973","1.24.1.251"
"269","0","223169.757420939","8179796.27178222","1.24.1.252"
"270","0","223177.551679867","8179796.29287743","1.24.1.253"
"271","0","223186.983615312","8179798.24777606","1.24.1.254"
"272","0","223196.928360336","8179793.49983941","1.24.1.255"
"273","0","223205.099829906","8179798.10304428","1.24.1.256"
"274","0","223211.28277594","8179798.09538091","1.24.1.257"
"275","0","223222.261753362","8179795.95095918","1.24.1.258"
"276","0","223099.056181277","8179771.9042418","1.24.1.259"
"277","0","222551.964087095","8179942.53186575","1.24.1.26"
"278","0","223103.404791748","8179763.55841297","1.24.1.260"
"279","0","223105.336225926","8179756.41323937","1.24.1.261"
"280","0","223111.592078902","8179749.90917946","1.24.1.263"
"281","0","223110.14286063","8179728.76302195","1.24.1.264"
"282","0","223120.095327054","8179726.68783322","1.24.1.265"
"283","0","223126.173987957","8179719.53452977","1.24.1.266"
"284","0","223137.914313365","8179713.94745259","1.24.1.267"
"285","0","223144.89768421","8179711.39092929","1.24.1.268"
"286","0","223151.514588128","8179711.50521801","1.24.1.269"
"287","0","222564.796011663","8179921.81236067","1.24.1.27"
"288","0","223158.122642409","8179710.18604615","1.24.1.270"
"289","0","223166.153042008","8179707.87605263","1.24.1.271"
"290","0","223164.086562974","8179701.57894582","1.24.1.272"
"291","0","223161.535644097","8179697.10445413","1.24.1.272A"
"292","0","223158.80733072","8179692.72867267","1.24.1.273"
"293","0","223154.312302656","8179684.35229386","1.24.1.274"
"294","0","223148.964337229","8179673.3641847","1.24.1.275"
"295","0","223143.179937","8179657.29536389","1.24.1.276"
"296","0","223133.077176939","8179642.6230824","1.24.1.277"
"297","0","223121.158485251","8179641.31484814","1.24.1.278"
"298","0","223109.370593387","8179643.13133638","1.24.1.279"
"299","0","222567.487244545","8179935.89519267","1.24.1.28"
"300","0","223084.187391008","8179652.81181757","1.24.1.280"
"301","0","223071.866928901","8179658.76326572","1.24.1.281"
"302","0","223065.528005025","8179660.48324099","1.24.1.282"
"303","0","223060.316644577","8179664.6605791","1.24.1.283"
"304","0","223062.200872014","8179750.41679769","1.24.1.284"
"305","0","223078.569622344","8179760.7600354","1.24.1.285"
"306","0","223017.459173981","8179682.61514595","1.24.1.286"
"307","0","223011.288596773","8179677.74150801","1.24.1.287"
"308","0","222996.714023748","8179674.93372892","1.24.1.288"
"309","0","222979.734667344","8179652.58986631","1.24.1.289"
"310","0","222576.409366347","8179968.02389634","1.24.1.29"
"311","0","222371.696194068","8179544.36473013","1.24.1.290"
"312","0","222357.809182096","8179541.49501595","1.24.1.290A"
"313","0","222498.215519316","8179447.55180814","1.24.1.291"
"314","0","222501.196911356","8179462.27961162","1.24.1.291A"
"315","0","222763.179958782","8179638.7302767","1.24.1.292"
"316","0","222853.611329395","8179629.53567761","1.24.1.293"
"317","0","222873.384226401","8179626.74662587","1.24.1.294"
"318","0","222883.875896374","8179624.02241069","1.24.1.295"
"319","0","223081.625871705","8179640.17562412","1.24.1.296"
"320","0","223078.38043685","8179636.79430926","1.24.1.297"
"321","0","223077.38908855","8179633.15310767","1.24.1.297A"
"322","0","223076.204023838","8179629.69189425","1.24.1.297B"
"323","0","223074.915426629","8179626.97067483","1.24.1.297C"
"324","0","223078.67331764","8179612.38282621","1.24.1.298"
"325","0","223083.316423078","8179611.39522419","1.24.1.298A"
"326","0","223087.001295564","8179616.67073005","1.24.1.298B"
"327","0","223089.342969802","8179621.21534111","1.24.1.298C"
"328","0","223090.911676217","8179625.09524195","1.24.1.299"
"329","0","222336.436288517","8179840.74587122","1.24.1.3"
"330","0","222577.877486252","8179955.38328726","1.24.1.30"
"331","0","223089.476732496","8179634.08254149","1.24.1.300"
"332","0","223096.83902159","8179596.61775737","1.24.1.301"
"333","0","223086.929166836","8179549.82136123","1.24.1.302"
"334","0","223075.9049301","8179526.63609477","1.24.1.303"
"335","0","223046.124281798","8179528.11795059","1.24.1.304"
"336","0","223059.58639433","8179514.40478051","1.24.1.305"
"337","0","223076.314966581","8179518.95691848","1.24.1.306"
"338","0","223073.794763285","8179510.15826489","1.24.1.307"
"339","0","223068.765898075","8179503.00055356","1.24.1.308"
"340","0","223063.745780478","8179494.44363186","1.24.1.309"
"341","0","222576.477618067","8179915.1207711","1.24.1.31"
"342","0","223058.414587664","8179485.09385621","1.24.1.310"
"343","0","222990.374696069","8179453.23096989","1.24.1.311"
"344","0","223089.596100085","8179416.11230922","1.24.1.312"
"345","0","223101.414232339","8179487.75677831","1.24.1.313"
"346","0","223137.268383537","8179529.76372392","1.24.1.314"
"347","0","223123.2817285","8179535.15150039","1.24.1.315"
"348","0","223112.637636747","8179540.8686845","1.24.1.316"
"349","0","223147.916791658","8179560.3467753","1.24.1.317"
"350","0","223147.132961141","8179548.5609557","1.24.1.318"
"351","0","223157.632281784","8179572.78749247","1.24.1.319"
"352","0","222585.936933406","8179911.5075408","1.24.1.32"
"353","0","223131.347755449","8179586.08196005","1.24.1.320"
"354","0","223150.228430349","8179608.39325082","1.24.1.321"
"355","0","223162.385768293","8179606.18658705","1.24.1.322"
"356","0","223173.085949462","8179603.00103459","1.24.1.323"
"357","0","223170.119832706","8179595.64430677","1.24.1.324"
"358","0","223167.509016833","8179587.28416987","1.24.1.325"
"359","0","223165.513198341","8179581.48581538","1.24.1.326"
"360","0","223181.684328106","8179617.93336023","1.24.1.327"
"361","0","223174.363524577","8179623.21534757","1.24.1.328"
"362","0","223166.002838604","8179626.27989725","1.24.1.329"
"363","0","222610.971000897","8179911.62581926","1.24.1.33"
"364","0","223155.031989885","8179629.83008526","1.24.1.330"
"365","0","223161.323607918","8179641.94448818","1.24.1.331"
"366","0","223165.678488988","8179651.71071012","1.24.1.332"
"367","0","223177.819491547","8179650.35508521","1.24.1.333"
"368","0","223191.09748637","8179647.11313809","1.24.1.334"
"369","0","223188.287259703","8179639.9581181","1.24.1.335"
"370","0","223184.732003361","8179631.11930391","1.24.1.336"
"371","0","223200.031806407","8179659.14168479","1.24.1.337"
"372","0","223188.922623308","8179663.81174783","1.24.1.338"
"373","0","223177.439653824","8179667.3523737","1.24.1.339"
"374","0","222610.154327675","8179931.5433511","1.24.1.34"
"375","0","223171.999028452","8179674.26708754","1.24.1.340"
"376","0","223184.491353869","8179701.12289394","1.24.1.341"
"377","0","223190.993209425","8179699.19191137","1.24.1.342"
"378","0","223197.869858283","8179697.89499006","1.24.1.343"
"379","0","223205.535533178","8179694.96817506","1.24.1.344"
"380","0","223210.251024694","8179693.45301413","1.24.1.344A"
"381","0","223214.341823106","8179691.17086111","1.24.1.345"
"382","0","223227.944040071","8179683.76544658","1.24.1.346"
"383","0","223236.956394041","8179681.33969612","1.24.1.347"
"384","0","223243.927717227","8179679.14918559","1.24.1.348"
"385","0","223249.518902703","8179675.5654383","1.24.1.349"
"386","0","222617.007695313","8179950.13723217","1.24.1.35"
"387","0","223257.602057453","8179672.263579","1.24.1.350"
"388","0","223252.911927959","8179656.77307517","1.24.1.351"
"389","0","223245.865621075","8179646.00314267","1.24.1.352"
"390","0","223238.015722217","8179646.86453584","1.24.1.353"
"391","0","223232.759916392","8179650.8145396","1.24.1.354"
"392","0","223224.73095187","8179652.59618213","1.24.1.355"
"393","0","223217.821251712","8179655.78599246","1.24.1.356"
"394","0","223214.30542416","8179638.26454423","1.24.1.357"
"395","0","223225.722867694","8179633.90777004","1.24.1.358"
"396","0","223238.248210376","8179629.18234429","1.24.1.359"
"397","0","222630.301596125","8179947.47978662","1.24.1.36"
"398","0","223233.415075808","8179621.45765042","1.24.1.360"
"399","0","223227.297546493","8179614.06654169","1.24.1.361"
"400","0","223224.121109416","8179604.82859645","1.24.1.362"
"401","0","223213.468386894","8179607.89347676","1.24.1.363"
"402","0","223200.386461054","8179611.32399154","1.24.1.364"
"403","0","223201.272430722","8179617.88068693","1.24.1.365"
"404","0","223204.748605364","8179625.90688973","1.24.1.366"
"405","0","223209.38229095","8179632.53321883","1.24.1.367"
"406","0","223194.724988768","8179593.6327728","1.24.1.368"
"407","0","223205.5014955","8179589.46253548","1.24.1.369"
"408","0","222627.294619775","8179933.9091329","1.24.1.37"
"409","0","223215.778758537","8179584.44399212","1.24.1.370"
"410","0","223207.65447101","8179556.33331871","1.24.1.371"
"411","0","223179.516544872","8179566.18387182","1.24.1.372"
"412","0","223182.045128741","8179572.11769523","1.24.1.373"
"413","0","223184.458694344","8179577.14330037","1.24.1.374"
"414","0","223188.67784566","8179582.81341104","1.24.1.375"
"415","0","223169.762420846","8179548.886295","1.24.1.376"
"416","0","223175.118942857","8179545.22625384","1.24.1.377"
"417","0","223180.181828874","8179543.75704179","1.24.1.378"
"418","0","223186.930917117","8179541.29367172","1.24.1.379"
"419","0","222621.969798095","8179913.30360932","1.24.1.38"
"420","0","223191.455239023","8179539.83507326","1.24.1.380"
"421","0","223198.542112382","8179537.27717187","1.24.1.381"
"422","0","223186.627890563","8179513.63338982","1.24.1.382"
"423","0","223178.321529317","8179515.68656188","1.24.1.383"
"424","0","223164.261432051","8179521.27986674","1.24.1.385"
"425","0","223158.132591216","8179523.77141305","1.24.1.386"
"426","0","223151.316934527","8179502.67163755","1.24.1.387"
"427","0","223172.567735384","8179495.0953689","1.24.1.388"
"428","0","223166.495482073","8179483.18558059","1.24.1.389"
"429","0","222627.08104333","8179912.58552204","1.24.1.39"
"430","0","223164.961519821","8179471.88767162","1.24.1.390"
"431","0","223162.16445554","8179466.48675826","1.24.1.391"
"432","0","223161.07027002","8179460.53561126","1.24.1.392"
"433","0","223156.075400105","8179454.67429833","1.24.1.393"
"434","0","223153.792003774","8179447.88715308","1.24.1.394"
"435","0","223148.340834928","8179434.41841515","1.24.1.395"
"436","0","223143.789335538","8179425.94945275","1.24.1.396"
"437","0","223140.27851542","8179417.3656973","1.24.1.397"
"438","0","223116.332845904","8179427.59127462","1.24.1.398"
"439","0","223122.27567448","8179442.37157718","1.24.1.399"
"440","0","222371.98971027","8179842.35190259","1.24.1.4"
"441","0","222635.309797937","8179911.63423259","1.24.1.40"
"442","0","223131.359494801","8179453.62738878","1.24.1.400"
"443","0","223134.490495433","8179464.63491792","1.24.1.401"
"444","0","223137.943893286","8179471.14444178","1.24.1.402"
"445","0","223141.052893832","8179476.30692608","1.24.1.403"
"446","0","223144.101728595","8179484.79628129","1.24.1.404"
"447","0","223147.413319237","8179492.64462824","1.24.1.405"
"448","0","223069.056384007","8179270.55737944","1.24.1.406"
"449","0","222999.988410979","8179233.32666025","1.24.1.407"
"450","0","222791.443326312","8179180.51679751","1.24.1.408"
"451","0","223118.175617613","8178938.46307686","1.24.1.409"
"452","0","222641.763250089","8179911.81773943","1.24.1.41"
"453","0","222846.631675709","8179170.55148304","1.24.1.410"
"454","0","222989.503097118","8179114.89033076","1.24.1.411"
"455","0","223002.414787949","8179194.87936661","1.24.1.412"
"456","0","223112.229900982","8179310.04905046","1.24.1.414"
"457","0","223117.291768151","8179318.75015206","1.24.1.415"
"458","0","223120.843459995","8179326.14815049","1.24.1.416"
"459","0","223125.963217919","8179334.73433756","1.24.1.417"
"460","0","223130.670661234","8179344.21838892","1.24.1.418"
"461","0","223155.090951282","8179324.78832173","1.24.1.419"
"462","0","222648.971194257","8179910.75167967","1.24.1.42"
"463","0","223160.381287082","8179341.1839275","1.24.1.420"
"464","0","223177.677422683","8179340.56452694","1.24.1.421"
"465","0","223187.817483578","8179343.83306975","1.24.1.422"
"466","0","223190.043208134","8179348.06912441","1.24.1.423"
"467","0","223192.212937537","8179354.91913534","1.24.1.424"
"468","0","223181.607808818","8179354.32007587","1.24.1.425"
"469","0","223172.986250807","8179357.45097515","1.24.1.426"
"470","0","223166.544723889","8179360.48537039","1.24.1.427"
"471","0","223156.618452361","8179359.30429097","1.24.1.428"
"472","0","223144.591239012","8179357.25770872","1.24.1.429"
"473","0","222654.511117614","8179910.05074567","1.24.1.43"
"474","0","223132.761421371","8179357.36755368","1.24.1.430"
"475","0","223133.386028226","8179362.40739169","1.24.1.431"
"476","0","223138.36648288","8179367.95992195","1.24.1.432"
"477","0","223176.072711328","8179374.26578182","1.24.1.433"
"478","0","223164.372748427","8179377.59466761","1.24.1.433A"
"479","0","223144.015152573","8179380.57459494","1.24.1.434"
