"","id_manz","P","D","L","X","Y","1_FR_A","2_FR_A","YearLastAFII","ageAP","nbSpray","nbSprayI","nbSprayII","nbPos","DenH","InspH","PosInspH","RocH","PosRocH","Total","nbDen","nbInsp","nbInspProg","nbInspPos","nbRoc","nbRocProg","nbRocPos","IIspray","Unspray","ManzPos2012","ManzPosPre2012","ManzVigPre2012","NextManzPosPre2012","codeLoc","focus","Den1"
"7450","614-7","1","7","41",227289.952364125,8178734.89699688,NA,5,5,7,8,6,7,0,0,0,0,0,0,8,0,0,0,0,0,0,0,5,0,FALSE,FALSE,FALSE,FALSE,"1.7.41",TRUE,FALSE
"7454","615-13","1","13","85",233300.217755087,8183028.94028713,8,NA,9,3,15,15,5,0,0,0,0,0,0,23,0,0,0,0,0,0,0,9,8,FALSE,FALSE,FALSE,FALSE,"1.13.85",TRUE,FALSE
"7455","615-25","1","25","26",232546.211736357,8176688.97678221,6,7,7,5,6,4,6,0,0,0,0,0,0,14,0,0,0,0,0,0,0,7,8,FALSE,FALSE,FALSE,FALSE,"1.25.26",TRUE,FALSE
"7457","615-7","1","7","41",227324.134311222,8178691.23986572,NA,5,5,7,15,15,15,2,0,0,0,0,0,18,0,0,0,0,0,0,0,5,3,FALSE,FALSE,FALSE,FALSE,"1.7.41",TRUE,FALSE
"7462","616-25","1","25","26",232627.689750056,8176749.67801183,6,7,7,5,10,8,10,0,0,0,0,0,0,18,0,0,0,0,0,0,0,7,8,FALSE,FALSE,FALSE,FALSE,"1.25.26",TRUE,FALSE
"7465","61-7","1","7","7",226374.408952278,8179741.80537028,3,4,4,8,15,13,13,2,0,1,0,1,0,18,0,1,3,0,1,1,0,4,3,FALSE,FALSE,TRUE,FALSE,"1.7.7",TRUE,FALSE
"7469","617-13","1","13","85",233190.676272387,8183093.1139271,8,9,9,3,22,22,9,0,0,0,0,0,0,31,0,0,0,0,0,0,0,9,9,FALSE,FALSE,FALSE,FALSE,"1.13.85",TRUE,FALSE
"7470","617-25","1","25","26",232604.392863,8176793.58451975,6,7,7,5,10,7,9,0,0,0,0,0,0,20,0,0,0,0,0,0,0,7,10,FALSE,FALSE,FALSE,FALSE,"1.25.26",TRUE,FALSE
"7472","617-7","1","7","42",225935.1190245,8179560.06125442,NA,5,5,7,12,7,12,1,0,0,0,0,0,12,0,0,0,0,0,0,0,5,0,FALSE,FALSE,FALSE,FALSE,"1.7.42",TRUE,FALSE
"7473","6-18","1","18","1",223370.452017154,8180834.57636223,4,5,5,7,13,12,13,8,0,0,0,0,0,13,0,0,0,0,0,0,0,5,0,FALSE,FALSE,FALSE,FALSE,"1.18.1",TRUE,FALSE
"7474","61-8","1","8","6",231485.0591582,8180007.4142352,7,7.4,8,4,4,3,4,0,0,0,0,0,0,5,0,0,0,0,0,0,0,7.4,1,FALSE,FALSE,FALSE,FALSE,"1.8.6",TRUE,FALSE
"7479","618-25","1","25","26",232565.647760235,8176833.50125512,6,7,7,5,7,6,7,0,0,0,0,0,0,17,0,0,0,0,0,0,0,7,10,FALSE,FALSE,FALSE,FALSE,"1.25.26",TRUE,FALSE
"7481","618-7","1","7","42",225998.038118,8179512.320408,4,5,5,7,1,1,1,1,0,0,0,1,1,1,0,0,0,0,1,1,1,5,0,FALSE,TRUE,TRUE,TRUE,"1.7.42",TRUE,FALSE
"7485","619-13","1","13","85",233312.888352867,8183095.78689393,8,9,9,3,13,13,5,5,0,0,0,0,0,15,0,0,0,0,0,0,0,9,2,FALSE,FALSE,FALSE,FALSE,"1.13.85",TRUE,FALSE
"7486","619-25","1","25","26",232495.935881,8176781.89437192,6,7,7,5,7,7,7,5,0,0,0,0,0,12,0,0,0,0,0,0,0,7,5,FALSE,FALSE,FALSE,FALSE,"1.25.26",TRUE,FALSE
"7488","619-7","1","7","42",225963.7866215,8179505.9821505,4,5,5,7,2,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,5,0,FALSE,FALSE,FALSE,FALSE,"1.7.42",TRUE,FALSE
"7491","620-13","1","13","85",233392.446140656,8183164.77463622,8,NA,9,3,16,16,3,0,0,0,0,0,0,32,0,0,0,0,0,0,0,9,16,FALSE,FALSE,FALSE,FALSE,"1.13.85",TRUE,FALSE
"7492","620-25","1","25","26",232448.6746505,8176811.0937068,6,7,7,5,14,13,10,0,0,0,0,0,0,20,0,0,0,0,0,0,0,7,6,FALSE,FALSE,FALSE,FALSE,"1.25.26",TRUE,FALSE
"7494","620-7","1","7","42",226003.543738,8179460.698688,4,5,5,7,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,FALSE,FALSE,FALSE,FALSE,"1.7.42",TRUE,FALSE
"7501","621-13","1","13","85",233469.0234495,8183155.88576567,8,NA,9,3,3,3,2,0,0,0,0,0,0,6,0,0,0,0,0,0,0,9,3,FALSE,FALSE,FALSE,FALSE,"1.13.85",TRUE,FALSE
"7502","621-25","1","25","26",232420.133752778,8176852.62656617,6,7,7,5,12,10,11,0,0,0,0,0,0,18,0,0,0,0,0,0,0,7,6,FALSE,FALSE,FALSE,FALSE,"1.25.26",TRUE,FALSE
"7506","62-18","1","18","3",224813.7703575,8180191.27118325,4,5,6,6,3,3,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,5,1,FALSE,FALSE,FALSE,FALSE,"1.18.3",TRUE,FALSE
"7510","622-13","1","13","84",232611.001277154,8182445.90783164,8,9,9,3,23,22,18,5,0,2,0,0,0,39,0,2,4,0,0,0,0,9,16,FALSE,FALSE,TRUE,FALSE,"1.13.84",TRUE,FALSE
"7511","622-25","1","25","26",232389.960741421,8176896.53851679,6,7,7,5,12,12,12,0,0,0,0,0,0,19,0,0,0,0,0,0,0,7,7,FALSE,FALSE,FALSE,FALSE,"1.25.26",TRUE,FALSE
"7512","62-23","1","23","5",219738.130904375,8180462.23025087,5,6,6,6,8,7,8,1,0,0,0,0,0,8,0,0,0,0,0,0,0,6,0,FALSE,FALSE,FALSE,FALSE,"1.23.5",TRUE,FALSE
"7515","62-25","1","25","2",229296.366470267,8181161.43591307,5,6,6,6,14,14,14,8,0,0,0,0,0,15,0,0,0,0,0,0,0,6,1,FALSE,FALSE,FALSE,FALSE,"1.25.2",TRUE,FALSE
"7516","622-7","1","7","42",226268.874486333,8179245.2376385,NA,5,5,7,5,3,5,0,0,0,0,0,0,6,0,0,0,0,0,0,0,5,1,FALSE,FALSE,FALSE,FALSE,"1.7.42",TRUE,FALSE
"7517","6-23","1","23","1",218637.7942026,8182134.9371612,5,6,6,6,5,5,4,2,1,3,0,0,0,5,1,3,3,0,0,0,0,6,0,FALSE,FALSE,TRUE,FALSE,"1.23.1",TRUE,TRUE
"7523","623-25","1","25","26",232344.371510714,8176913.04254657,6,7,7,5,4,3,3,0,0,0,0,0,0,7,0,0,0,0,0,0,0,7,3,FALSE,FALSE,FALSE,FALSE,"1.25.26",TRUE,FALSE
"7526","6-24","1","24","1",223199.435164333,8180195.28245067,4,5,5,7,3,2,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,0,FALSE,FALSE,FALSE,FALSE,"1.24.1",TRUE,FALSE
"7530","624-13","1","13","83",232477.802519406,8182446.08959509,8,9,9,3,22,20,12,1,0,0,0,0,0,32,0,0,0,0,0,0,0,9,10,FALSE,FALSE,FALSE,FALSE,"1.13.83",TRUE,FALSE
"7531","624-25","1","25","26",232479.715270889,8176959.68086278,6,7,7,5,8,8,5,0,0,0,0,0,0,18,0,0,0,0,0,0,0,7,10,FALSE,FALSE,FALSE,FALSE,"1.25.26",TRUE,FALSE
"7533","624-7","1","7","42",226180.086785333,8179366.69053467,NA,5,5,7,1,1,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,2,FALSE,FALSE,FALSE,FALSE,"1.7.42",TRUE,FALSE
"7534","6-25","1","25","1",229097.120107647,8181639.111399,5,6,6,6,14,14,14,4,0,0,0,0,0,17,0,0,0,0,0,0,0,6,3,FALSE,FALSE,FALSE,FALSE,"1.25.1",TRUE,FALSE
"7538","625-25","1","25","26",232506.692512056,8176920.44468178,6,7,7,5,12,10,10,0,0,0,0,0,0,18,0,0,0,0,0,0,0,7,6,FALSE,FALSE,FALSE,FALSE,"1.25.26",TRUE,FALSE
