"","UNICODE","NRO_DENUNCIA","D","L","X","Y","id_manz","rocFAstatus","infFAstatus","INSP_POSITIVA","INSP_COMPLETA","DIA_INSP","MES_INSP","ANIO_INSP","infestedRV","complete","DIA_ROC","MES_ROC","ANIO_ROC","VisitVig","PosVig","PosVigNegFA","PosVigNoFA","PosVigPosFA","YearLastAFII","ageAP","TYPO_DENUNCIA","FECHA_ROC","FECHA_INSP","FECHA_VISIT","ANIO_VISIT","firstControl","firstControlBlock","DateFirstSpray","histTreat","TimeSinceFirst","codeLoc","focus"
"1713","1.25.44.268",305,25,"44",229589.596158,8180234.194389,"1020-25",2,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,6,-2006,3,NA,NA,NA,0,FALSE,FALSE,NA,1,NA,"1.25.44",TRUE
"1714","1.25.44.269",305,25,"44",229595.592299,8180223.288705,"1020-25",0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,6,-2006,3,NA,NA,NA,0,FALSE,FALSE,NA,1,NA,"1.25.44",TRUE
"1715","1.25.44.287",305,25,"44",229566.892337,8180213.171795,"1020-25",2,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,6,-2006,3,NA,NA,NA,0,FALSE,FALSE,NA,1,NA,"1.25.44",TRUE
"2521","1.7.8.159",0,7,"8",226021.971914,8179739.389739,"102-7",1,0,0,0,0,0,0,0,1,17,1,2007,TRUE,FALSE,FALSE,FALSE,FALSE,4,3,0,2007-01-17,NA,2007-01-17,2007,TRUE,TRUE,2007-01-17,0,0,"1.7.8",TRUE
"2522","1.7.8.161",0,7,"8",226017.551243,8179765.825359,"102-7",2,0,0,0,0,0,0,0,1,19,2,2007,TRUE,FALSE,FALSE,FALSE,FALSE,4,3,0,2007-02-19,NA,2007-02-19,2007,TRUE,TRUE,2007-01-17,0,33,"1.7.8",TRUE
"2525","1.7.8.163",481,7,"8",226027.704568,8179783.176596,"102-7",2,0,0,1,20,3,2012,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE,FALSE,4,8,1,NA,2012-03-20,2012-03-20,2012,FALSE,FALSE,2007-01-17,1,1889,"1.7.8",TRUE
"2523","1.7.8.161",481,7,"8",226017.551243,8179765.825359,"102-7",2,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,4,8,1,NA,NA,NA,0,FALSE,FALSE,2007-01-17,1,NA,"1.7.8",TRUE
"2524","1.7.8.162",481,7,"8",226023.33657,8179773.502173,"102-7",1,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,4,8,1,NA,NA,NA,0,FALSE,FALSE,2007-01-17,1,NA,"1.7.8",TRUE
"2526","1.7.8.164",481,7,"8",226035.485553,8179778.521353,"102-7",0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,4,8,1,NA,NA,NA,0,FALSE,FALSE,2007-01-17,1,NA,"1.7.8",TRUE
"342","1.13.9.35",19,13,"9",233812.382354,8181509.834525,"1057-13",2,1,0,1,9,2,2009,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE,FALSE,7,2,1,NA,2009-02-09,2009-02-09,2009,FALSE,FALSE,NA,1,NA,"1.13.9",TRUE
"359","1.13.9.44",19,13,"9",233784.635434,8181509.094105,"1057-13",1,0,0,1,9,2,2009,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE,FALSE,7,2,1,NA,2009-02-09,2009-02-09,2009,FALSE,FALSE,NA,1,NA,"1.13.9",TRUE
"589","1.18.4.231A",0,18,"4",224396.10928,8180362.30233,"106-18",2,0,0,0,0,0,0,0,1,5,12,2005,TRUE,FALSE,FALSE,FALSE,FALSE,5,0,0,2005-12-05,NA,2005-12-05,2005,TRUE,TRUE,2005-12-05,0,0,"1.18.4",TRUE
"330","1.13.9.306",280,13,"9",233914.08299,8181319.560236,"1083-13",2,0,0,1,24,11,2010,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE,FALSE,7,3,1,NA,2010-11-24,2010-11-24,2010,FALSE,FALSE,NA,1,NA,"1.13.9",TRUE
"332","1.13.9.307",280,13,"9",233925.444242,8181319.365363,"1083-13",2,1,0,1,24,11,2010,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE,FALSE,7,3,1,NA,2010-11-24,2010-11-24,2010,FALSE,FALSE,NA,1,NA,"1.13.9",TRUE
"334","1.13.9.308",280,13,"9",233935.053926,8181320.051096,"1083-13",2,0,0,1,24,11,2010,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE,FALSE,7,3,1,NA,2010-11-24,2010-11-24,2010,FALSE,FALSE,NA,1,NA,"1.13.9",TRUE
"335","1.13.9.308",418,13,"9",233935.053926,8181320.051096,"1083-13",2,0,0,1,9,10,2011,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE,FALSE,7,4,1,NA,2011-10-09,2011-10-09,2011,FALSE,FALSE,NA,1,NA,"1.13.9",TRUE
"339","1.13.9.323",418,13,"9",233915.71176,8181299.149851,"1083-13",2,0,0,1,9,10,2011,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE,FALSE,7,4,1,NA,2011-10-09,2011-10-09,2011,FALSE,FALSE,NA,1,NA,"1.13.9",TRUE
"331","1.13.9.306",418,13,"9",233914.08299,8181319.560236,"1083-13",2,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,7,4,1,NA,NA,NA,0,FALSE,FALSE,NA,1,NA,"1.13.9",TRUE
"333","1.13.9.307",418,13,"9",233925.444242,8181319.365363,"1083-13",2,1,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,7,4,1,NA,NA,NA,0,FALSE,FALSE,NA,1,NA,"1.13.9",TRUE
