"dist","loc","lon","lat","polygon","unicode","prov","viv","loc_num","block","uniblock","X","Y","clusterID","add.house"
24,"10",-71.5993213402874,-16.434769676684,305,"1.24.10.202",1,"202",10,1,"1.24.10.1",222423.343911231,8181189.57495756,3,0
24,"10",-71.5991151319123,-16.4346945668644,305,"1.24.10.203",1,"203",10,1,"1.24.10.1",222445.270494295,8181198.17375166,3,0
24,"10",-71.5990061056788,-16.4346636242829,305,"1.24.10.204",1,"204",10,1,"1.24.10.1",222456.875964605,8181201.74918032,3,0
24,"10",-71.5989227997334,-16.4346377100942,305,"1.24.10.205",1,"205",10,1,"1.24.10.1",222465.740370719,8181204.73258951,3,0
24,"10",-71.5988155061522,-16.4346161876591,305,"1.24.10.206",1,"206",10,1,"1.24.10.1",222477.174105423,8181207.26267508,3,0
24,"10",-71.5987834706898,-16.4346103212388,305,"1.24.10.206A",1,"206A",10,1,"1.24.10.1",222480.588758838,8181207.95613376,3,0
24,"10",-71.5987138888889,-16.4345881130188,305,"1.24.10.207",1,"207",10,1,"1.24.10.1",222487.992011094,8181210.5103947,3,0
24,"10",-71.5987185736663,-16.4347735595701,305,"1.24.10.208",1,"208",10,1,"1.24.10.1",222487.755094812,8181189.97221103,3,0
24,"10",-71.5986762969048,-16.434876906729,305,"1.24.10.209",1,"209",10,1,"1.24.10.1",222492.419298707,8181178.58811495,3,0
24,"10",-71.5985877202808,-16.4350160746358,305,"1.24.10.210",1,"210",10,1,"1.24.10.1",222502.081561431,8181163.30164253,3,0
24,"10",-71.5985378547445,-16.4351116635291,305,"1.24.10.211",1,"211",10,1,"1.24.10.1",222507.545583897,8181152.78691507,3,0
24,"10",-71.5984995243161,-16.4352006024966,305,"1.24.10.212",1,"212",10,1,"1.24.10.1",222511.767623878,8181142.99260861,3,0
24,"10",-71.5986379545158,-16.4351876762909,305,"1.24.10.213",1,"213",10,1,"1.24.10.1",222496.958005408,8181144.23380376,3,0
24,"10",-71.598726148586,-16.4351625592031,305,"1.24.10.214",1,"214",10,1,"1.24.10.1",222487.4987735,8181146.89363629,3,0
24,"10",-71.5988185701173,-16.4351498128993,305,"1.24.10.215",1,"215",10,1,"1.24.10.1",222477.605423946,8181148.17803001,3,0
24,"10",-71.5989434033855,-16.4351467306955,305,"1.24.10.216",1,"216",10,1,"1.24.10.1",222464.262623698,8181148.34797984,3,0
24,"10",-71.5991202276336,-16.4350917814796,305,"1.24.10.217",1,"217",10,1,"1.24.10.1",222445.290838145,8181154.18904264,3,0
24,"10",-71.5992850539486,-16.4350655126288,305,"1.24.10.218",1,"218",10,1,"1.24.10.1",222427.641803797,8181156.87120221,3,0
24,"10",-71.5993340094191,-16.4348914318313,305,"1.24.10.219",1,"219",10,1,"1.24.10.1",222422.163357485,8181176.07741658,3,0
24,"10",-71.599478523282,-16.434237540532,306,"1.24.10.192",1,"192",10,2,"1.24.10.2",222405.792128809,8181248.27483166,3,0
24,"10",-71.5993582534856,-16.4342591078912,306,"1.24.10.193",1,"193",10,2,"1.24.10.2",222418.673674541,8181246.05205697,3,0
24,"10",-71.5992320890252,-16.4342919652458,306,"1.24.10.194",1,"194",10,2,"1.24.10.2",222432.20111745,8181242.5873897,3,0
24,"10",-71.5990882877386,-16.4343076255174,306,"1.24.10.195",1,"195",10,2,"1.24.10.2",222447.588603111,8181241.05089617,3,0
24,"10",-71.5988472259095,-16.4343321045728,306,"1.24.10.196",1,"196",10,2,"1.24.10.2",222473.380942985,8181238.6714748,3,0
24,"10",-71.5989578746504,-16.4344136593589,306,"1.24.10.197",1,"197",10,2,"1.24.10.2",222461.67404686,8181229.4902899,3,0
24,"10",-71.5991822958904,-16.4344567692575,306,"1.24.10.198",1,"198",10,2,"1.24.10.2",222437.755874456,8181224.40940392,3,0
24,"10",-71.5992343646256,-16.4344597504745,306,"1.24.10.198A",1,"198A",10,2,"1.24.10.2",222432.196555404,8181224.00788227,3,0
24,"10",-71.5992684775492,-16.4344534142665,306,"1.24.10.199",1,"199",10,2,"1.24.10.2",222428.542570235,8181224.66258224,3,0
24,"10",-71.5995030003023,-16.434449614345,306,"1.24.10.200",1,"200",10,2,"1.24.10.2",222403.478343896,8181224.7614272,3,0
24,"10",-71.599521024701,-16.4343342269125,306,"1.24.10.201",1,"201",10,2,"1.24.10.2",222401.388335065,8181237.51184051,3,0
24,"10",-71.5996561874578,-16.4339920049824,307,"1.24.10.180",1,"180",10,3,"1.24.10.3",222386.459440873,8181275.21552542,3,0
24,"10",-71.5996082057473,-16.4339771485451,307,"1.24.10.180A",1,"180A",10,3,"1.24.10.3",222391.565185112,8181276.92621586,3,0
24,"10",-71.5995377068922,-16.4339502074306,307,"1.24.10.181",1,"181",10,3,"1.24.10.3",222399.05971386,8181280.00576751,3,0
24,"10",-71.5994368060483,-16.4338956467751,307,"1.24.10.182",1,"182",10,3,"1.24.10.3",222409.763438147,8181286.18494535,3,0
24,"10",-71.599236290168,-16.4337594076966,307,"1.24.10.183",1,"183",10,3,"1.24.10.3",222430.994954579,8181301.54386826,3,0
24,"10",-71.5991969566299,-16.4339036390459,307,"1.24.10.184",1,"184",10,3,"1.24.10.3",222435.402852765,8181285.62923525,3,0
24,"10",-71.5991534600546,-16.433971075819,307,"1.24.10.185",1,"185",10,3,"1.24.10.3",222440.14637461,8181278.22264538,3,0
24,"10",-71.59910279122,-16.4340516699787,307,"1.24.10.186",1,"186",10,3,"1.24.10.3",222445.674961082,8181269.36917373,3,0
24,"10",-71.5990094174643,-16.4341212532264,307,"1.24.10.187",1,"187",10,3,"1.24.10.3",222455.750927082,8181261.79337717,3,0
24,"10",-71.5990890702472,-16.4341298488172,307,"1.24.10.188",1,"188",10,3,"1.24.10.3",222447.252214011,8181260.7324131,3,0
24,"10",-71.5994754712312,-16.4340924915566,307,"1.24.10.189",1,"189",10,3,"1.24.10.3",222405.911968808,8181264.33815725,3,0
24,"10",-71.5995767926027,-16.4341213344514,307,"1.24.10.190",1,"190",10,3,"1.24.10.3",222395.126749272,8181261.00574751,3,0
24,"10",-71.5996908130157,-16.4340716231672,307,"1.24.10.191",1,"191",10,3,"1.24.10.3",222382.872913594,8181266.35305024,3,0
24,"10",-71.5992183991956,-16.4338301123531,307,"1.24.10.193A",1,"193A",10,3,"1.24.10.3",222433.007152928,8181293.7403361,3,0
24,"10",-71.5996988035811,-16.4353312447129,308,"1.24.10.220",1,"220",10,4,"1.24.10.4",222383.810625606,8181126.88271399,3,0
24,"10",-71.5997509625793,-16.4353126903943,308,"1.24.10.220A",1,"220A",10,4,"1.24.10.4",222378.211055245,8181128.86536402,3,0
24,"10",-71.5996996772739,-16.4348687837066,309,"1.24.10.221",1,"221",10,5,"1.24.10.5",222383.059516621,8181178.08302218,3,0
24,"10",-71.599702165368,-16.4347166966734,309,"1.24.10.221A",1,"221A",10,5,"1.24.10.5",222382.57735498,8181194.9179676,3,0
24,"10",-71.5997203171826,-16.434523967021,309,"1.24.10.222",1,"222",10,5,"1.24.10.5",222380.363718232,8181216.2311723,3,0
24,"10",-71.5997612183804,-16.4342924154396,309,"1.24.10.223",1,"223",10,5,"1.24.10.5",222375.664085728,8181241.81133238,3,0
24,"10",-71.5998102657907,-16.4341170799883,309,"1.24.10.224",1,"224",10,5,"1.24.10.5",222370.173974554,8181261.1563254,3,0
24,"10",-71.5999820704194,-16.4341065555645,309,"1.24.10.226",1,"226",10,5,"1.24.10.5",222351.801593933,8181262.08570947,3,0
24,"10",-71.6010304496786,-16.4340394571142,310,"1.24.10.229",1,"229",10,6,"1.24.10.6",222239.686213711,8181268.07512546,3,0
24,"10",-71.6010101060669,-16.4343397735084,310,"1.24.10.230",1,"230",10,6,"1.24.10.6",222242.287272213,8181234.85341693,3,0
24,"10",-71.6008478486933,-16.4327681320961,311,"1.24.10.159",1,"159",10,7,"1.24.10.7",222257.38842628,8181409.08109254,3,0
